"Plot Title: RLSM"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10592079, SEN S/N: 10592079)","Event, units (LGR S/N: 10592079, SEN S/N: 10592079, LBL: RLSM)","Coupler Detached (LGR S/N: 10592079, SEN S/N: 10592079)","Coupler Attached (LGR S/N: 10592079, SEN S/N: 10592079)","Host Connected (LGR S/N: 10592079, SEN S/N: 10592079)","Stopped (LGR S/N: 10592079, SEN S/N: 10592079)","End Of File (LGR S/N: 10592079, SEN S/N: 10592079)"
178,11/21/18 08:03:50 AM,,0.17,,,,,
179,11/21/18 08:06:06 AM,,0.18,,,,,
180,11/21/18 08:07:31 AM,52.401,,,,,,
181,11/21/18 08:09:12 AM,,0.19,,,,,
182,11/21/18 08:13:15 AM,,0.20,,,,,
183,11/21/18 08:17:13 AM,,0.21,,,,,
184,11/21/18 08:21:36 AM,,0.22,,,,,
185,11/21/18 08:27:12 AM,,0.23,,,,,
186,11/21/18 08:29:21 AM,,0.24,,,,,
187,11/21/18 08:33:33 AM,,0.25,,,,,
188,11/21/18 08:35:53 AM,,0.26,,,,,
189,11/21/18 08:38:17 AM,,0.27,,,,,
190,11/21/18 08:41:00 AM,,0.28,,,,,
191,11/21/18 08:43:51 AM,,0.29,,,,,
192,11/21/18 08:45:00 AM,,0.30,,,,,
193,11/21/18 08:46:02 AM,,0.31,,,,,
194,11/21/18 08:46:52 AM,,0.32,,,,,
195,11/21/18 08:50:05 AM,,0.33,,,,,
196,11/21/18 08:54:02 AM,,0.34,,,,,
197,11/21/18 08:59:35 AM,,0.35,,,,,
198,11/21/18 09:05:25 AM,,0.36,,,,,
199,11/21/18 09:07:31 AM,53.449,,,,,,
200,11/21/18 09:14:15 AM,,0.37,,,,,
201,11/21/18 09:16:41 AM,,0.38,,,,,
202,11/21/18 09:20:41 AM,,0.39,,,,,
203,11/21/18 09:23:31 AM,,0.40,,,,,
204,11/21/18 09:27:10 AM,,0.41,,,,,
205,11/21/18 09:29:38 AM,,0.42,,,,,
206,11/21/18 09:30:50 AM,,0.43,,,,,
207,11/21/18 09:31:25 AM,,0.44,,,,,
208,11/21/18 09:34:41 AM,,0.45,,,,,
209,11/21/18 09:36:06 AM,,0.46,,,,,
210,11/21/18 09:37:52 AM,,0.47,,,,,
211,11/21/18 09:41:39 AM,,0.48,,,,,
212,11/21/18 09:43:35 AM,,0.49,,,,,
213,11/21/18 09:44:04 AM,,0.50,,,,,
214,11/21/18 09:45:00 AM,,0.51,,,,,
215,11/21/18 09:46:23 AM,,0.52,,,,,
216,11/21/18 10:07:31 AM,54.842,,,,,,
217,11/21/18 10:14:01 AM,,0.53,,,,,
218,11/21/18 10:15:56 AM,,0.54,,,,,
219,11/21/18 10:18:04 AM,,0.55,,,,,
220,11/21/18 10:18:59 AM,,0.56,,,,,
221,11/21/18 10:20:29 AM,,0.57,,,,,
222,11/21/18 10:21:14 AM,,0.58,,,,,
223,11/21/18 10:22:30 AM,,0.59,,,,,
224,11/21/18 10:23:01 AM,,0.60,,,,,
225,11/21/18 10:23:58 AM,,0.61,,,,,
226,11/21/18 10:25:08 AM,,0.62,,,,,
227,11/21/18 10:27:15 AM,,0.63,,,,,
228,11/21/18 10:29:27 AM,,0.64,,,,,
229,11/21/18 10:32:47 AM,,0.65,,,,,
230,11/21/18 10:34:25 AM,,0.66,,,,,
231,11/21/18 10:38:06 AM,,0.67,,,,,
232,11/21/18 10:39:33 AM,,0.68,,,,,
233,11/21/18 10:43:37 AM,,0.69,,,,,
234,11/21/18 10:46:13 AM,,0.70,,,,,
235,11/21/18 10:48:49 AM,,0.71,,,,,
236,11/21/18 10:49:50 AM,,0.72,,,,,
237,11/21/18 10:51:25 AM,,0.73,,,,,
238,11/21/18 10:52:24 AM,,0.74,,,,,
239,11/21/18 10:54:52 AM,,0.75,,,,,
240,11/21/18 10:57:59 AM,,0.76,,,,,
241,11/21/18 11:01:08 AM,,0.77,,,,,
242,11/21/18 11:02:48 AM,,0.78,,,,,
243,11/21/18 11:05:01 AM,,0.79,,,,,
244,11/21/18 11:06:22 AM,,0.80,,,,,
245,11/21/18 11:07:31 AM,54.842,,,,,,
246,11/21/18 11:08:15 AM,,0.81,,,,,
247,11/21/18 11:11:10 AM,,0.82,,,,,
248,11/21/18 11:14:18 AM,,0.83,,,,,
249,11/21/18 11:15:58 AM,,0.84,,,,,
250,11/21/18 11:17:50 AM,,0.85,,,,,
251,11/21/18 11:19:01 AM,,0.86,,,,,
