"Plot Title: HS"
"#","Date Time, GMT-07:00","Event, units (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Detached (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Attached (LGR S/N: 9668992, SEN S/N: 9668992)","Stopped (LGR S/N: 9668992, SEN S/N: 9668992)","End Of File (LGR S/N: 9668992, SEN S/N: 9668992)"
279,12/29/10 01:08:59 AM,2.77,,,,
280,12/29/10 01:10:51 AM,2.78,,,,
281,12/29/10 01:14:01 AM,2.79,,,,
282,12/29/10 01:17:25 AM,2.80,,,,
283,12/29/10 01:21:10 AM,2.81,,,,
284,12/29/10 01:26:29 AM,2.82,,,,
285,12/29/10 01:31:53 AM,2.83,,,,
286,12/29/10 01:38:44 AM,2.84,,,,
287,12/29/10 01:44:42 AM,2.85,,,,
288,12/29/10 01:50:10 AM,2.86,,,,
289,12/29/10 01:55:51 AM,2.87,,,,
290,12/29/10 02:00:38 AM,2.88,,,,
291,12/29/10 02:06:16 AM,2.89,,,,
292,12/29/10 02:11:25 AM,2.90,,,,
293,12/29/10 02:16:25 AM,2.91,,,,
294,12/29/10 02:20:03 AM,2.92,,,,
295,12/29/10 02:22:29 AM,2.93,,,,
296,12/29/10 02:27:58 AM,2.94,,,,
297,12/29/10 02:53:07 AM,2.95,,,,
298,12/29/10 04:13:32 AM,2.96,,,,
299,12/29/10 05:30:31 AM,2.97,,,,
300,12/29/10 02:27:36 PM,2.98,,,,
301,01/01/11 03:28:13 AM,2.99,,,,
302,01/01/11 03:31:29 AM,3.00,,,,
303,01/01/11 03:33:12 AM,3.01,,,,
304,01/01/11 03:35:02 AM,3.02,,,,
305,01/01/11 03:38:18 AM,3.03,,,,
306,01/01/11 03:41:36 AM,3.04,,,,
307,01/01/11 03:45:12 AM,3.05,,,,
308,01/01/11 03:49:45 AM,3.06,,,,
309,01/01/11 03:58:07 AM,3.07,,,,
310,01/01/11 04:02:26 AM,3.08,,,,
311,01/01/11 04:09:35 AM,3.09,,,,
312,01/01/11 04:19:27 AM,3.10,,,,
