"Plot Title: UQC"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10592076, SEN S/N: 10592076)","Event, inches (LGR S/N: 10592076, SEN S/N: 10592076)","Coupler Attached (LGR S/N: 10592076, SEN S/N: 10592076)","Host Connected (LGR S/N: 10592076, SEN S/N: 10592076)","Stopped (LGR S/N: 10592076, SEN S/N: 10592076)","End Of File (LGR S/N: 10592076, SEN S/N: 10592076)"
447,01/11/19 09:00:00 AM,54.669,,,,,
448,01/11/19 10:00:00 AM,55.711,,,,,
449,01/11/19 11:00:00 AM,58.476,,,,,
450,01/11/19 12:00:00 PM,57.785,,,,,
451,01/11/19 12:13:02 PM,,2.37,,,,
452,01/11/19 12:18:11 PM,,2.38,,,,
453,01/11/19 12:18:12 PM,,2.39,,,,
454,01/11/19 12:26:53 PM,,2.40,,,,
455,01/11/19 12:56:26 PM,,2.41,,,,
456,01/11/19 12:56:27 PM,,2.42,,,,
457,01/11/19 01:00:00 PM,52.576,,,,,
458,01/11/19 01:00:15 PM,,2.43,,,,
459,01/11/19 01:01:25 PM,,2.44,,,,
460,01/11/19 01:01:26 PM,,2.45,,,,
461,01/11/19 01:03:58 PM,,2.46,,,,
462,01/11/19 01:04:54 PM,,2.47,,,,
463,01/11/19 01:34:50 PM,,2.48,,,,
464,01/11/19 01:37:36 PM,,2.49,,,,
465,01/11/19 01:43:15 PM,,2.50,,,,
466,01/11/19 01:44:16 PM,,2.51,,,,
467,01/11/19 01:45:26 PM,,2.52,,,,
468,01/11/19 01:49:41 PM,,2.53,,,,
469,01/11/19 01:49:42 PM,,2.54,,,,
470,01/11/19 01:53:06 PM,,2.55,,,,
471,01/11/19 01:58:41 PM,,2.56,,,,
472,01/11/19 02:00:00 PM,52.401,,,,,
473,01/11/19 02:03:39 PM,,2.57,,,,
474,01/11/19 02:04:32 PM,,2.58,,,,
475,01/11/19 02:12:47 PM,,2.59,,,,
476,01/11/19 02:23:09 PM,,2.60,,,,
477,01/11/19 02:25:13 PM,,2.61,,,,
478,01/11/19 02:25:14 PM,,2.62,,,,
479,01/11/19 02:26:29 PM,,2.63,,,,
480,01/11/19 02:26:30 PM,,2.64,,,,
481,01/11/19 02:27:51 PM,,2.65,,,,
482,01/11/19 02:28:59 PM,,2.66,,,,
483,01/11/19 02:30:11 PM,,2.67,,,,
484,01/11/19 02:32:51 PM,,2.68,,,,
485,01/11/19 02:34:08 PM,,2.69,,,,
486,01/11/19 02:35:05 PM,,2.70,,,,
487,01/11/19 02:35:06 PM,,2.71,,,,
