"Plot Title: HS"
"#","Date Time, GMT-08:00","Event, units (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Detached (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Attached (LGR S/N: 9668992, SEN S/N: 9668992)","Stopped (LGR S/N: 9668992, SEN S/N: 9668992)","End Of File (LGR S/N: 9668992, SEN S/N: 9668992)"
218,03/24/11 11:07:24 AM,2.16,,,,
219,03/24/11 11:13:28 AM,2.17,,,,
220,03/24/11 11:16:18 AM,2.18,,,,
221,03/24/11 11:18:59 AM,2.19,,,,
222,03/24/11 11:21:11 AM,2.20,,,,
223,03/24/11 11:22:36 AM,2.21,,,,
224,03/24/11 11:23:53 AM,2.22,,,,
225,03/24/11 11:25:43 AM,2.23,,,,
226,03/24/11 11:26:56 AM,2.24,,,,
227,03/24/11 11:28:11 AM,2.25,,,,
228,03/24/11 11:29:11 AM,2.26,,,,
229,03/24/11 11:30:35 AM,2.27,,,,
230,03/24/11 11:31:48 AM,2.28,,,,
231,03/24/11 11:33:36 AM,2.29,,,,
232,03/24/11 11:34:48 AM,2.30,,,,
233,03/24/11 11:35:53 AM,2.31,,,,
234,03/24/11 11:36:54 AM,2.32,,,,
235,03/24/11 11:38:07 AM,2.33,,,,
236,03/24/11 11:40:09 AM,2.34,,,,
237,03/24/11 11:42:33 AM,2.35,,,,
238,03/24/11 11:44:11 AM,2.36,,,,
239,03/24/11 11:46:50 AM,2.37,,,,
240,03/24/11 11:48:46 AM,2.38,,,,
241,03/24/11 11:50:24 AM,2.39,,,,
242,03/24/11 11:50:34 AM,2.40,,,,
243,03/24/11 11:50:51 AM,2.41,,,,
244,03/24/11 11:50:58 AM,2.42,,,,
245,03/24/11 11:51:08 AM,2.43,,,,
246,03/24/11 11:51:17 AM,2.44,,,,
247,03/24/11 11:51:28 AM,2.45,,,,
248,03/24/11 11:51:34 AM,2.46,,,,
249,03/24/11 11:51:42 AM,2.47,,,,
250,03/24/11 11:51:47 AM,2.48,,,,
251,03/24/11 11:51:54 AM,2.49,,,,
252,03/24/11 11:52:01 AM,2.50,,,,
253,03/24/11 11:52:07 AM,2.51,,,,
254,03/24/11 11:52:15 AM,2.52,,,,
255,03/24/11 11:52:41 AM,2.53,,,,
256,03/24/11 11:54:12 AM,2.54,,,,
257,03/24/11 11:55:04 AM,2.55,,,,
258,03/24/11 11:56:21 AM,2.56,,,,
259,03/24/11 11:57:16 AM,2.57,,,,
260,03/24/11 11:57:37 AM,2.58,,,,
261,03/24/11 11:58:04 AM,2.59,,,,
262,03/24/11 11:58:39 AM,2.60,,,,
263,03/24/11 11:59:06 AM,2.61,,,,
264,03/24/11 11:59:23 AM,2.62,,,,
265,03/24/11 11:59:49 AM,2.63,,,,
266,03/24/11 12:00:22 PM,2.64,,,,
267,03/24/11 12:00:44 PM,2.65,,,,
268,03/24/11 12:00:57 PM,2.66,,,,
269,03/24/11 12:01:09 PM,2.67,,,,
270,03/24/11 12:01:21 PM,2.68,,,,
271,03/24/11 12:01:33 PM,2.69,,,,
272,03/24/11 12:01:44 PM,2.70,,,,
273,03/24/11 12:01:51 PM,2.71,,,,
274,03/24/11 12:01:55 PM,2.72,,,,
275,03/24/11 12:02:02 PM,2.73,,,,
276,03/24/11 12:02:18 PM,2.74,,,,
277,03/24/11 12:02:27 PM,2.75,,,,
278,03/24/11 12:02:38 PM,2.76,,,,
279,03/24/11 12:03:14 PM,2.77,,,,
280,03/24/11 12:03:43 PM,2.78,,,,
281,03/24/11 12:03:58 PM,2.79,,,,
282,03/24/11 12:04:12 PM,2.80,,,,
283,03/24/11 12:04:24 PM,2.81,,,,
284,03/24/11 12:04:34 PM,2.82,,,,
285,03/24/11 12:04:51 PM,2.83,,,,
286,03/24/11 12:05:20 PM,2.84,,,,
287,03/24/11 12:06:09 PM,2.85,,,,
288,03/24/11 12:06:32 PM,2.86,,,,
289,03/24/11 12:06:57 PM,2.87,,,,
290,03/24/11 12:07:19 PM,2.88,,,,
291,03/24/11 12:07:40 PM,2.89,,,,
292,03/24/11 12:08:06 PM,2.90,,,,
293,03/24/11 12:09:29 PM,2.91,,,,
294,03/24/11 12:14:19 PM,2.92,,,,
295,03/24/11 12:16:25 PM,2.93,,,,
296,03/24/11 12:17:21 PM,2.94,,,,
297,03/24/11 12:22:04 PM,2.95,,,,
298,03/24/11 12:36:27 PM,2.96,,,,
299,03/24/11 12:37:57 PM,2.97,,,,
300,03/24/11 12:38:52 PM,2.98,,,,
301,03/24/11 12:52:07 PM,2.99,,,,
302,03/24/11 01:00:12 PM,3.00,,,,
303,03/24/11 01:21:25 PM,3.01,,,,
304,03/24/11 01:33:15 PM,3.02,,,,
305,03/24/11 01:38:45 PM,3.03,,,,
306,03/24/11 01:41:55 PM,3.04,,,,
307,03/24/11 01:45:03 PM,3.05,,,,
308,03/24/11 01:47:32 PM,3.06,,,,
309,03/24/11 01:49:22 PM,3.07,,,,
310,03/24/11 01:50:50 PM,3.08,,,,
311,03/24/11 01:52:19 PM,3.09,,,,
312,03/24/11 01:54:19 PM,3.10,,,,
313,03/24/11 01:59:11 PM,3.11,,,,
314,03/24/11 02:04:46 PM,3.12,,,,
315,03/24/11 02:08:36 PM,3.13,,,,
316,03/24/11 02:11:25 PM,3.14,,,,
317,03/24/11 02:15:21 PM,3.15,,,,
318,03/24/11 02:21:17 PM,3.16,,,,
319,03/24/11 02:56:01 PM,3.17,,,,
320,03/24/11 05:24:42 PM,3.18,,,,
321,03/24/11 05:26:19 PM,3.19,,,,
322,03/24/11 05:27:57 PM,3.20,,,,
323,03/24/11 05:29:12 PM,3.21,,,,
324,03/24/11 05:32:13 PM,3.22,,,,
325,03/24/11 05:49:33 PM,3.23,,,,
326,03/24/11 05:53:42 PM,3.24,,,,
327,03/25/11 12:17:34 AM,3.25,,,,
328,03/25/11 12:19:41 AM,3.26,,,,
329,03/25/11 12:21:26 AM,3.27,,,,
330,03/25/11 12:27:43 AM,3.28,,,,
331,03/25/11 02:30:43 AM,3.29,,,,
332,03/25/11 02:35:01 AM,3.30,,,,
333,03/25/11 02:39:20 AM,3.31,,,,
334,03/25/11 03:52:30 AM,3.32,,,,
335,03/25/11 04:52:29 AM,3.33,,,,
336,03/25/11 04:54:51 AM,3.34,,,,
337,03/25/11 04:56:17 AM,3.35,,,,
338,03/25/11 04:57:17 AM,3.36,,,,
339,03/25/11 04:58:02 AM,3.37,,,,
340,03/25/11 05:00:13 AM,3.38,,,,
341,03/25/11 05:09:51 AM,3.39,,,,
342,03/25/11 06:37:02 AM,3.40,,,,
343,03/29/11 10:12:41 AM,,,Logged,,
344,03/29/11 10:12:53 AM,3.40,,,Logged,Logged
