"Plot Title: HS"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 9668992, SEN S/N: 9668992)","Batt, V (LGR S/N: 9668992, SEN S/N: 9668992)","Event, units (LGR S/N: 9668992, SEN S/N: 9668992)","End Of File (LGR S/N: 9668992, SEN S/N: 9668992)"
155,05/11/11 05:02:34 PM,62.425,2.97,,
156,05/11/11 05:02:35 PM,62.425,2.97,,
157,05/11/11 05:02:36 PM,62.425,2.97,,
158,05/11/11 05:02:37 PM,62.425,2.97,,
159,05/11/11 05:02:38 PM,62.425,2.97,,
160,05/11/11 05:02:39 PM,62.425,2.97,,
161,05/11/11 05:02:40 PM,62.425,2.97,,
162,05/11/11 05:02:41 PM,62.425,2.97,,
163,05/11/11 05:02:42 PM,62.425,2.97,,
164,05/11/11 05:02:43 PM,62.425,2.97,,
165,05/11/11 05:02:44 PM,62.425,2.97,,
166,05/11/11 05:02:45 PM,62.425,2.97,,
167,05/11/11 05:02:46 PM,62.425,2.97,,
168,05/11/11 05:02:47 PM,62.425,2.97,,
169,05/11/11 05:02:48 PM,62.425,2.97,,
170,05/11/11 05:02:49 PM,62.425,2.97,,
171,05/11/11 05:02:50 PM,62.425,2.97,,
172,05/11/11 05:02:51 PM,62.425,2.97,,
173,05/11/11 05:02:52 PM,62.425,2.97,,
174,05/11/11 05:02:53 PM,62.425,2.97,,
175,05/11/11 05:02:54 PM,62.425,2.97,,
176,05/11/11 05:02:55 PM,62.425,2.97,,
177,05/11/11 05:02:56 PM,62.425,2.97,,
178,05/11/11 05:02:57 PM,62.425,2.97,,
179,05/11/11 05:02:58 PM,62.425,2.97,,
180,05/11/11 05:02:59 PM,62.425,2.97,,
181,05/11/11 05:03:00 PM,62.425,2.97,,
182,05/11/11 05:03:01 PM,62.425,2.97,,
183,05/11/11 05:03:02 PM,62.425,2.97,,
184,05/11/11 05:03:03 PM,62.425,2.97,,
185,05/11/11 05:03:04 PM,62.425,2.97,,
186,05/11/11 05:03:05 PM,62.425,2.97,,
187,05/11/11 05:03:06 PM,62.425,2.97,,
188,05/11/11 05:03:07 PM,62.425,2.97,,
189,05/11/11 05:03:08 PM,62.425,2.97,,
190,05/11/11 05:03:09 PM,62.425,2.97,,
191,05/11/11 05:03:10 PM,62.425,2.97,,
192,05/11/11 05:03:11 PM,62.425,2.97,,
193,05/11/11 05:03:12 PM,62.425,2.97,,
194,05/11/11 05:03:13 PM,62.425,2.97,,
195,05/11/11 05:03:14 PM,62.425,2.97,,
196,05/11/11 05:03:15 PM,62.425,2.97,,
197,05/11/11 05:03:16 PM,62.425,2.97,,
198,05/11/11 05:03:17 PM,62.425,2.97,,
199,05/11/11 05:03:18 PM,62.425,2.97,,
200,05/11/11 05:03:19 PM,62.425,2.97,,
201,05/11/11 05:03:20 PM,62.425,2.97,,
202,05/11/11 05:03:21 PM,62.425,2.97,,
203,05/11/11 05:03:22 PM,62.425,2.97,,
204,05/11/11 05:03:23 PM,62.425,2.97,,
205,05/11/11 05:03:24 PM,62.425,2.97,,
206,05/11/11 05:03:25 PM,62.425,2.97,,
207,05/11/11 05:03:26 PM,62.598,2.97,,
208,05/11/11 05:03:27 PM,62.425,2.97,,
209,05/11/11 05:03:28 PM,62.598,2.97,,
210,05/11/11 05:03:29 PM,62.425,2.97,,
211,05/11/11 05:03:30 PM,62.598,2.97,,
212,05/11/11 05:03:31 PM,62.598,2.97,,
213,05/11/11 05:03:32 PM,62.598,2.97,,
214,05/11/11 05:03:33 PM,62.598,2.97,,
215,05/11/11 05:03:34 PM,62.598,2.97,,
216,05/11/11 05:03:35 PM,62.598,2.97,,
217,05/11/11 05:03:36 PM,62.598,2.97,,
218,05/11/11 05:03:37 PM,62.598,2.97,,
219,05/11/11 05:03:38 PM,62.598,2.97,,
220,05/11/11 05:03:39 PM,62.598,2.97,,
221,05/11/11 05:03:40 PM,62.598,2.97,,
222,05/11/11 05:03:41 PM,62.598,2.97,,
223,05/11/11 05:03:42 PM,62.598,2.97,,
224,05/11/11 05:03:43 PM,62.598,2.97,,
225,05/11/11 05:03:44 PM,62.598,2.97,,
226,05/11/11 05:03:45 PM,62.598,2.97,,
227,05/11/11 05:03:46 PM,62.598,2.97,,
228,05/11/11 05:03:47 PM,62.598,2.97,,
229,05/11/11 05:03:48 PM,62.598,2.97,,
230,05/11/11 05:03:49 PM,62.598,2.97,,
231,05/11/11 05:03:50 PM,62.598,2.97,,
232,05/11/11 05:03:51 PM,62.598,2.97,,
233,05/11/11 05:03:52 PM,62.769,2.97,,
234,05/11/11 05:03:53 PM,62.598,2.97,,
235,05/11/11 05:03:54 PM,62.598,2.97,,
