"Plot Title: UQC"
"#","Date Time, GMT-07:00","Event, units (LGR S/N: 10592087, SEN S/N: 10592087, LBL: UQC)","Coupler Attached (LGR S/N: 10592087, SEN S/N: 10592087)","Stopped (LGR S/N: 10592087, SEN S/N: 10592087)","End Of File (LGR S/N: 10592087, SEN S/N: 10592087)"
160,09/22/40 05:59:03 PM,1.59,,,
161,09/22/40 06:01:40 PM,1.60,,,
162,09/22/40 06:04:37 PM,1.61,,,
163,09/22/40 06:07:40 PM,1.62,,,
164,09/22/40 06:12:13 PM,1.63,,,
165,09/22/40 06:18:55 PM,1.64,,,
166,09/22/40 06:25:56 PM,1.65,,,
167,09/22/40 06:28:02 PM,1.66,,,
168,09/22/40 06:29:09 PM,1.67,,,
169,09/22/40 06:31:11 PM,1.68,,,
170,09/22/40 06:32:48 PM,1.69,,,
171,09/22/40 06:35:57 PM,1.70,,,
172,09/22/40 06:42:45 PM,1.71,,,
173,09/22/40 06:47:36 PM,1.72,,,
174,09/22/40 06:52:46 PM,1.73,,,
175,09/22/40 07:08:26 PM,1.74,,,
176,09/22/40 09:44:52 PM,1.75,,,
177,09/22/40 09:48:20 PM,1.76,,,
178,09/22/40 11:43:33 PM,1.77,,,
179,09/23/40 12:12:51 AM,1.78,,,
180,09/23/40 01:19:54 AM,1.79,,,
181,09/23/40 03:16:08 AM,1.80,,,
182,09/23/40 03:17:50 AM,1.81,,,
183,09/23/40 03:18:24 AM,1.82,,,
184,09/23/40 04:37:50 AM,1.83,,,
185,09/23/40 05:41:01 AM,1.84,,,
186,09/28/40 03:50:31 AM,1.85,,,
187,09/28/40 03:55:23 AM,1.86,,,
188,09/28/40 04:04:12 AM,1.87,,,
189,09/28/40 04:12:03 AM,1.88,,,
190,09/28/40 04:30:33 AM,1.89,,,
191,09/28/40 04:40:30 AM,1.90,,,
192,09/28/40 04:44:36 AM,1.91,,,
193,09/28/40 04:47:58 AM,1.92,,,
194,09/28/40 04:52:52 AM,1.93,,,
195,09/28/40 04:59:19 AM,1.94,,,
196,09/28/40 05:06:24 AM,1.95,,,
197,09/28/40 05:14:00 AM,1.96,,,
198,09/28/40 05:20:52 AM,1.97,,,
199,09/28/40 05:26:10 AM,1.98,,,
200,09/28/40 05:28:21 AM,1.99,,,
201,09/28/40 05:29:15 AM,2.00,,,
202,09/28/40 05:31:00 AM,2.01,,,
203,09/28/40 05:37:47 AM,2.02,,,
204,09/28/40 05:57:16 AM,2.03,,,
205,09/28/40 06:13:20 AM,2.04,,,
206,09/28/40 06:31:06 AM,2.05,,,
207,09/28/40 06:51:07 AM,2.06,,,
208,09/28/40 07:04:09 AM,2.07,,,
209,09/28/40 07:08:52 AM,2.08,,,
210,09/28/40 07:12:45 AM,2.09,,,
211,09/28/40 07:18:28 AM,2.10,,,
212,09/28/40 07:22:27 AM,2.11,,,
213,09/28/40 07:26:31 AM,2.12,,,
214,09/28/40 07:33:02 AM,2.13,,,
215,09/28/40 07:43:31 AM,2.14,,,
216,09/28/40 07:43:32 AM,2.15,,,
217,09/28/40 07:48:39 AM,2.16,,,
218,09/28/40 07:59:27 AM,2.17,,,
219,09/28/40 08:13:09 AM,2.18,,,
220,09/28/40 08:21:42 AM,2.19,,,
221,09/28/40 01:00:49 PM,2.20,,,
222,09/28/40 02:33:40 PM,2.21,,,
223,09/28/40 02:37:14 PM,2.22,,,
224,09/28/40 03:56:37 PM,2.23,,,
225,09/28/40 03:56:38 PM,2.24,,,
226,09/29/40 10:48:22 PM,2.25,,,
227,09/29/40 10:55:44 PM,2.26,,,
228,09/29/40 11:22:46 PM,2.27,,,
229,09/29/40 11:36:48 PM,2.28,,,
230,09/29/40 11:47:51 PM,2.29,,,
231,09/29/40 11:54:22 PM,2.30,,,
232,09/30/40 12:05:10 AM,2.31,,,
233,09/30/40 12:22:25 AM,2.32,,,
234,09/30/40 12:37:47 AM,2.33,,,
235,09/30/40 12:40:58 AM,2.34,,,
236,09/30/40 12:45:48 AM,2.35,,,
237,09/30/40 12:52:49 AM,2.36,,,
238,09/30/40 12:59:15 AM,2.37,,,
239,09/30/40 01:05:13 AM,2.38,,,
240,09/30/40 01:10:37 AM,2.39,,,
241,09/30/40 01:14:25 AM,2.40,,,
242,09/30/40 01:17:52 AM,2.41,,,
243,09/30/40 01:21:27 AM,2.42,,,
244,09/30/40 01:25:11 AM,2.43,,,
245,09/30/40 01:30:14 AM,2.44,,,
246,09/30/40 01:34:08 AM,2.45,,,
247,09/30/40 01:36:45 AM,2.46,,,
248,09/30/40 01:36:46 AM,2.47,,,
249,09/30/40 01:38:54 AM,2.48,,,
250,09/30/40 01:41:47 AM,2.49,,,
251,09/30/40 01:45:47 AM,2.50,,,
252,09/30/40 01:49:14 AM,2.51,,,
253,09/30/40 01:49:15 AM,2.52,,,
254,09/30/40 01:52:41 AM,2.53,,,
255,09/30/40 01:55:39 AM,2.54,,,
256,09/30/40 01:58:26 AM,2.55,,,
257,09/30/40 02:00:40 AM,2.56,,,
258,09/30/40 02:00:41 AM,2.57,,,
259,09/30/40 02:03:13 AM,2.58,,,
260,09/30/40 02:05:50 AM,2.59,,,
261,09/30/40 02:05:51 AM,2.60,,,
262,09/30/40 02:08:13 AM,2.61,,,
263,09/30/40 02:10:32 AM,2.62,,,
264,09/30/40 02:13:04 AM,2.63,,,
265,09/30/40 02:15:17 AM,2.64,,,
266,09/30/40 02:17:10 AM,2.65,,,
267,09/30/40 02:19:27 AM,2.66,,,
268,09/30/40 02:21:42 AM,2.67,,,
269,09/30/40 02:23:30 AM,2.68,,,
270,09/30/40 02:25:21 AM,2.69,,,
271,09/30/40 02:27:05 AM,2.70,,,
272,09/30/40 02:29:02 AM,2.71,,,
273,09/30/40 02:31:16 AM,2.72,,,
274,09/30/40 02:34:12 AM,2.73,,,
275,09/30/40 02:36:40 AM,2.74,,,
276,09/30/40 02:39:01 AM,2.75,,,
277,09/30/40 02:40:33 AM,2.76,,,
278,09/30/40 02:41:48 AM,2.77,,,
279,09/30/40 02:42:39 AM,2.78,,,
280,09/30/40 02:43:55 AM,2.79,,,
281,09/30/40 02:45:05 AM,2.80,,,
282,09/30/40 02:46:32 AM,2.81,,,
283,09/30/40 02:48:05 AM,2.82,,,
284,09/30/40 02:49:43 AM,2.83,,,
285,09/30/40 02:51:33 AM,2.84,,,
286,09/30/40 02:51:34 AM,2.85,,,
287,09/30/40 02:53:37 AM,2.86,,,
288,09/30/40 02:55:30 AM,2.87,,,
289,09/30/40 02:57:10 AM,2.88,,,
290,09/30/40 02:58:38 AM,2.89,,,
291,09/30/40 03:00:28 AM,2.90,,,
292,09/30/40 03:02:07 AM,2.91,,,
293,09/30/40 03:02:08 AM,2.92,,,
294,09/30/40 03:03:29 AM,2.93,,,
295,09/30/40 03:04:35 AM,2.94,,,
296,09/30/40 03:05:43 AM,2.95,,,
297,09/30/40 03:06:40 AM,2.96,,,
298,09/30/40 03:07:34 AM,2.97,,,
299,09/30/40 03:08:35 AM,2.98,,,
300,09/30/40 03:09:49 AM,2.99,,,
301,09/30/40 03:10:52 AM,3.00,,,
302,09/30/40 03:11:57 AM,3.01,,,
303,09/30/40 03:13:01 AM,3.02,,,
304,09/30/40 03:14:17 AM,3.03,,,
305,09/30/40 03:15:47 AM,3.04,,,
306,09/30/40 03:17:12 AM,3.05,,,
307,09/30/40 03:18:58 AM,3.06,,,
308,09/30/40 03:20:44 AM,3.07,,,
309,09/30/40 03:22:32 AM,3.08,,,
310,09/30/40 03:24:26 AM,3.09,,,
311,09/30/40 03:25:32 AM,3.10,,,
312,09/30/40 03:25:33 AM,3.11,,,
313,09/30/40 03:26:28 AM,3.12,,,
314,09/30/40 03:27:13 AM,3.13,,,
315,09/30/40 03:27:59 AM,3.14,,,
316,09/30/40 03:28:49 AM,3.15,,,
317,09/30/40 03:30:08 AM,3.16,,,
318,09/30/40 03:31:10 AM,3.17,,,
319,09/30/40 03:32:24 AM,3.18,,,
320,09/30/40 03:33:57 AM,3.19,,,
321,09/30/40 03:34:58 AM,3.20,,,
322,09/30/40 03:35:49 AM,3.21,,,
323,09/30/40 03:35:50 AM,3.22,,,
324,09/30/40 03:36:44 AM,3.23,,,
325,09/30/40 03:37:39 AM,3.24,,,
326,09/30/40 03:38:55 AM,3.25,,,
327,09/30/40 03:40:02 AM,3.26,,,
328,09/30/40 03:41:05 AM,3.27,,,
329,09/30/40 03:41:58 AM,3.28,,,
330,09/30/40 03:42:49 AM,3.29,,,
331,09/30/40 03:43:58 AM,3.30,,,
332,09/30/40 03:44:56 AM,3.31,,,
333,09/30/40 03:45:50 AM,3.32,,,
334,09/30/40 03:46:59 AM,3.33,,,
335,09/30/40 03:48:07 AM,3.34,,,
336,09/30/40 03:49:08 AM,3.35,,,
337,09/30/40 03:50:34 AM,3.36,,,
338,09/30/40 03:51:47 AM,3.37,,,
339,09/30/40 03:52:46 AM,3.38,,,
340,09/30/40 03:53:54 AM,3.39,,,
341,09/30/40 03:55:21 AM,3.40,,,
342,09/30/40 03:57:26 AM,3.41,,,
343,09/30/40 04:00:06 AM,3.42,,,
344,09/30/40 04:02:33 AM,3.43,,,
345,09/30/40 04:05:17 AM,3.44,,,
346,09/30/40 04:08:23 AM,3.45,,,
347,09/30/40 04:10:46 AM,3.46,,,
348,09/30/40 04:13:44 AM,3.47,,,
349,09/30/40 04:19:13 AM,3.48,,,
350,09/30/40 04:24:18 AM,3.49,,,
351,09/30/40 04:32:09 AM,3.50,,,
352,09/30/40 04:37:48 AM,3.51,,,
353,09/30/40 04:40:16 AM,3.52,,,
354,09/30/40 04:40:17 AM,3.53,,,
355,09/30/40 04:42:54 AM,3.54,,,
356,09/30/40 04:45:56 AM,3.55,,,
357,09/30/40 04:52:09 AM,3.56,,,
358,09/30/40 05:00:08 AM,3.57,,,
359,09/30/40 05:05:31 AM,3.58,,,
360,09/30/40 05:11:03 AM,3.59,,,
361,09/30/40 05:11:04 AM,3.60,,,
362,09/30/40 05:12:26 AM,3.61,,,
363,09/30/40 05:13:43 AM,3.62,,,
364,09/30/40 05:15:21 AM,3.63,,,
365,09/30/40 05:16:51 AM,3.64,,,
366,09/30/40 05:18:21 AM,3.65,,,
367,09/30/40 05:19:49 AM,3.66,,,
368,09/30/40 05:22:30 AM,3.67,,,
369,09/30/40 05:25:21 AM,3.68,,,
370,09/30/40 05:25:22 AM,3.69,,,
371,09/30/40 05:29:18 AM,3.70,,,
372,09/30/40 05:33:51 AM,3.71,,,
373,09/30/40 05:36:24 AM,3.72,,,
374,09/30/40 05:38:25 AM,3.73,,,
375,09/30/40 05:40:24 AM,3.74,,,
376,09/30/40 05:42:20 AM,3.75,,,
377,09/30/40 05:44:21 AM,3.76,,,
378,09/30/40 05:46:18 AM,3.77,,,
379,09/30/40 05:48:10 AM,3.78,,,
380,09/30/40 05:50:39 AM,3.79,,,
381,09/30/40 05:53:23 AM,3.80,,,
382,09/30/40 05:56:10 AM,3.81,,,
383,09/30/40 05:59:23 AM,3.82,,,
384,09/30/40 06:00:43 AM,3.83,,,
385,09/30/40 06:01:43 AM,3.84,,,
386,09/30/40 06:03:16 AM,3.85,,,
387,09/30/40 06:03:17 AM,3.86,,,
388,09/30/40 06:05:24 AM,3.87,,,
389,09/30/40 06:06:58 AM,3.88,,,
390,09/30/40 06:08:46 AM,3.89,,,
391,09/30/40 06:11:33 AM,3.90,,,
392,09/30/40 06:14:19 AM,3.91,,,
393,09/30/40 06:16:56 AM,3.92,,,
394,09/30/40 06:20:09 AM,3.93,,,
395,09/30/40 06:24:25 AM,3.94,,,
396,09/30/40 06:28:31 AM,3.95,,,
397,09/30/40 06:32:40 AM,3.96,,,
398,09/30/40 06:36:04 AM,3.97,,,
399,09/30/40 06:38:54 AM,3.98,,,
400,09/30/40 06:42:27 AM,3.99,,,
401,09/30/40 06:48:40 AM,4.00,,,
402,09/30/40 06:56:10 AM,4.01,,,
403,09/30/40 07:07:41 AM,4.02,,,
404,09/30/40 07:07:42 AM,4.03,,,
405,09/30/40 07:19:59 AM,4.04,,,
406,09/30/40 07:32:34 AM,4.05,,,
407,09/30/40 07:37:25 AM,4.06,,,
408,09/30/40 07:43:07 AM,4.07,,,
409,09/30/40 07:48:29 AM,4.08,,,
410,09/30/40 07:54:28 AM,4.09,,,
411,09/30/40 07:54:29 AM,4.10,,,
412,09/30/40 07:59:10 AM,4.11,,,
413,09/30/40 08:02:46 AM,4.12,,,
414,09/30/40 08:06:41 AM,4.13,,,
415,09/30/40 08:13:57 AM,4.14,,,
416,09/30/40 08:19:57 AM,4.15,,,
417,09/30/40 08:25:47 AM,4.16,,,
418,09/30/40 08:29:54 AM,4.17,,,
419,09/30/40 08:33:31 AM,4.18,,,
420,09/30/40 08:38:16 AM,4.19,,,
421,09/30/40 08:41:08 AM,4.20,,,
422,09/30/40 08:44:52 AM,4.21,,,
423,09/30/40 08:49:00 AM,4.22,,,
424,09/30/40 08:53:59 AM,4.23,,,
425,09/30/40 08:58:44 AM,4.24,,,
426,09/30/40 09:02:59 AM,4.25,,,
427,09/30/40 09:08:58 AM,4.26,,,
428,09/30/40 09:15:49 AM,4.27,,,
429,09/30/40 09:21:18 AM,4.28,,,
430,09/30/40 09:31:37 AM,4.29,,,
431,09/30/40 09:46:02 AM,4.30,,,
432,09/30/40 09:57:18 AM,4.31,,,
433,09/30/40 10:08:03 AM,4.32,,,
434,09/30/40 10:14:56 AM,4.33,,,
435,09/30/40 10:20:44 AM,4.34,,,
436,09/30/40 10:24:44 AM,4.35,,,
437,09/30/40 10:30:33 AM,4.36,,,
438,09/30/40 10:37:01 AM,4.37,,,
439,09/30/40 10:44:17 AM,4.38,,,
440,09/30/40 10:55:55 AM,4.39,,,
441,09/30/40 11:05:34 AM,4.40,,,
442,09/30/40 11:29:40 AM,4.41,,,
443,09/30/40 11:43:46 AM,4.42,,,
444,09/30/40 12:21:38 PM,4.43,,,
445,09/30/40 12:31:03 PM,4.44,,,
446,09/30/40 12:45:30 PM,4.45,,,
447,09/30/40 01:17:42 PM,4.46,,,
448,09/30/40 01:43:09 PM,4.47,,,
449,09/30/40 02:27:11 PM,4.48,,,
450,09/30/40 03:25:13 PM,4.49,,,
451,09/30/40 04:25:03 PM,4.50,,,
452,09/30/40 04:25:04 PM,4.51,,,
453,09/30/40 04:38:26 PM,4.52,,,
454,09/30/40 05:08:49 PM,4.53,,,
455,09/30/40 05:33:11 PM,4.54,,,
456,09/30/40 06:02:34 PM,4.55,,,
457,09/30/40 06:38:59 PM,4.56,,,
458,09/30/40 06:47:18 PM,4.57,,,
459,09/30/40 06:48:14 PM,4.58,,,
460,09/30/40 06:51:40 PM,4.59,,,
461,09/30/40 06:54:01 PM,4.60,,,
462,09/30/40 06:56:03 PM,4.61,,,
463,09/30/40 07:57:01 PM,4.62,,,
464,09/30/40 09:24:24 PM,4.63,,,
465,09/30/40 09:39:21 PM,4.64,,,
466,09/30/40 09:41:36 PM,4.65,,,
467,09/30/40 09:43:05 PM,4.66,,,
468,09/30/40 09:46:32 PM,4.67,,,
469,09/30/40 09:50:45 PM,4.68,,,
470,09/30/40 09:54:39 PM,4.69,,,
471,09/30/40 10:16:11 PM,4.70,,,
472,09/30/40 10:24:43 PM,4.71,,,
473,09/30/40 10:31:46 PM,4.72,,,
474,09/30/40 10:40:30 PM,4.73,,,
475,09/30/40 10:40:31 PM,4.74,,,
476,09/30/40 10:53:18 PM,4.75,,,
477,09/30/40 11:01:44 PM,4.76,,,
478,09/30/40 11:11:49 PM,4.77,,,
479,09/30/40 11:22:46 PM,4.78,,,
480,09/30/40 11:27:23 PM,4.79,,,
481,09/30/40 11:31:25 PM,4.80,,,
482,09/30/40 11:36:16 PM,4.81,,,
483,09/30/40 11:41:00 PM,4.82,,,
484,09/30/40 11:41:01 PM,4.83,,,
485,09/30/40 11:44:52 PM,4.84,,,
486,09/30/40 11:50:55 PM,4.85,,,
487,09/30/40 11:57:22 PM,4.86,,,
488,10/01/40 12:01:20 AM,4.87,,,
489,10/01/40 12:06:14 AM,4.88,,,
490,10/01/40 12:08:53 AM,4.89,,,
491,10/01/40 12:11:57 AM,4.90,,,
492,10/01/40 12:14:50 AM,4.91,,,
493,10/01/40 12:16:45 AM,4.92,,,
494,10/01/40 12:19:29 AM,4.93,,,
495,10/01/40 12:22:19 AM,4.94,,,
496,10/01/40 12:25:00 AM,4.95,,,
497,10/01/40 12:28:16 AM,4.96,,,
498,10/01/40 12:30:39 AM,4.97,,,
499,10/01/40 12:32:55 AM,4.98,,,
500,10/01/40 12:35:40 AM,4.99,,,
501,10/01/40 12:39:04 AM,5.00,,,
502,10/01/40 12:41:55 AM,5.01,,,
503,10/01/40 12:44:18 AM,5.02,,,
504,10/01/40 12:46:47 AM,5.03,,,
505,10/01/40 12:50:16 AM,5.04,,,
506,10/01/40 12:52:51 AM,5.05,,,
507,10/01/40 12:52:52 AM,5.06,,,
508,10/01/40 12:55:46 AM,5.07,,,
509,10/01/40 12:59:23 AM,5.08,,,
510,10/01/40 01:02:28 AM,5.09,,,
511,10/01/40 01:05:09 AM,5.10,,,
512,10/01/40 01:08:31 AM,5.11,,,
513,10/01/40 01:13:41 AM,5.12,,,
514,10/01/40 01:17:13 AM,5.13,,,
515,10/01/40 01:19:17 AM,5.14,,,
516,10/01/40 01:23:08 AM,5.15,,,
517,10/01/40 01:27:54 AM,5.16,,,
518,10/01/40 01:33:04 AM,5.17,,,
519,10/01/40 01:37:10 AM,5.18,,,
520,10/01/40 01:40:56 AM,5.19,,,
521,10/01/40 01:43:22 AM,5.20,,,
522,10/01/40 01:43:23 AM,5.21,,,
523,10/01/40 01:46:25 AM,5.22,,,
524,10/01/40 01:49:44 AM,5.23,,,
525,10/01/40 01:52:56 AM,5.24,,,
526,10/01/40 01:57:08 AM,5.25,,,
527,10/01/40 02:00:40 AM,5.26,,,
528,10/01/40 02:05:08 AM,5.27,,,
529,10/01/40 02:10:15 AM,5.28,,,
530,10/01/40 02:13:07 AM,5.29,,,
531,10/01/40 02:15:55 AM,5.30,,,
532,10/01/40 02:19:43 AM,5.31,,,
533,10/01/40 02:23:44 AM,5.32,,,
534,10/01/40 02:26:48 AM,5.33,,,
535,10/01/40 02:30:22 AM,5.34,,,
536,10/01/40 02:34:00 AM,5.35,,,
537,10/01/40 02:38:13 AM,5.36,,,
538,10/01/40 02:42:35 AM,5.37,,,
539,10/01/40 02:46:51 AM,5.38,,,
540,10/01/40 02:51:00 AM,5.39,,,
541,10/01/40 02:54:39 AM,5.40,,,
542,10/01/40 02:58:46 AM,5.41,,,
543,10/01/40 03:03:14 AM,5.42,,,
544,10/01/40 03:07:39 AM,5.43,,,
545,10/01/40 03:13:18 AM,5.44,,,
546,10/01/40 03:18:30 AM,5.45,,,
547,10/01/40 03:23:33 AM,5.46,,,
548,10/01/40 03:29:03 AM,5.47,,,
549,10/01/40 03:34:19 AM,5.48,,,
550,10/01/40 03:37:47 AM,5.49,,,
551,10/01/40 03:42:45 AM,5.50,,,
552,10/01/40 03:47:59 AM,5.51,,,
553,10/01/40 03:52:46 AM,5.52,,,
554,10/01/40 03:57:38 AM,5.53,,,
555,10/01/40 04:04:20 AM,5.54,,,
556,10/01/40 04:11:19 AM,5.55,,,
557,10/01/40 04:31:42 AM,5.56,,,
558,10/01/40 05:15:49 AM,5.57,,,
559,10/01/40 05:42:31 AM,5.58,,,
560,10/01/40 06:23:53 AM,5.59,,,
561,10/01/40 06:34:49 AM,5.60,,,
562,10/01/40 06:45:33 AM,5.61,,,
563,10/01/40 06:59:28 AM,5.62,,,
564,10/01/40 07:07:08 AM,5.63,,,
565,10/01/40 07:12:38 AM,5.64,,,
566,10/01/40 07:16:29 AM,5.65,,,
567,10/01/40 07:20:03 AM,5.66,,,
568,10/01/40 07:21:49 AM,5.67,,,
569,10/01/40 07:23:49 AM,5.68,,,
570,10/01/40 07:25:28 AM,5.69,,,
