"Plot Title: Range"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20309219, SEN S/N: 20309219, LBL: F)","Event, units (LGR S/N: 20309219, SEN S/N: 20309219)","Coupler Attached (LGR S/N: 20309219, SEN S/N: 20309219)","Host Connected (LGR S/N: 20309219, SEN S/N: 20309219)","Stopped (LGR S/N: 20309219, SEN S/N: 20309219)","End Of File (LGR S/N: 20309219, SEN S/N: 20309219)"
53,03/03/19 06:00:00 PM,50.819,,,,,
54,03/03/19 06:15:00 PM,50.466,,,,,
55,03/03/19 06:30:00 PM,50.113,,,,,
56,03/03/19 06:45:00 PM,49.937,,,,,
57,03/03/19 07:00:00 PM,49.937,,,,,
58,03/03/19 07:15:00 PM,50.113,,,,,
59,03/03/19 07:30:00 PM,50.113,,,,,
60,03/03/19 07:45:00 PM,50.113,,,,,
61,03/03/19 08:00:00 PM,50.113,,,,,
62,03/03/19 08:15:00 PM,49.937,,,,,
63,03/03/19 08:30:00 PM,49.937,,,,,
64,03/03/19 08:45:00 PM,49.937,,,,,
65,03/03/19 09:00:00 PM,49.759,,,,,
66,03/03/19 09:15:00 PM,49.582,,,,,
67,03/03/19 09:30:00 PM,49.582,,,,,
68,03/03/19 09:45:00 PM,49.228,,,,,
69,03/03/19 10:00:00 PM,49.050,,,,,
70,03/03/19 10:15:00 PM,48.871,,,,,
71,03/03/19 10:30:00 PM,49.050,,,,,
72,03/03/19 10:45:00 PM,49.228,,,,,
73,03/03/19 11:00:00 PM,49.228,,,,,
74,03/03/19 11:15:00 PM,49.228,,,,,
75,03/03/19 11:30:00 PM,49.228,,,,,
76,03/03/19 11:45:00 PM,49.050,,,,,
77,03/04/19 12:00:00 AM,48.871,,,,,
78,03/04/19 12:15:00 AM,49.050,,,,,
79,03/04/19 12:30:00 AM,49.050,,,,,
80,03/04/19 12:45:00 AM,49.050,,,,,
81,03/04/19 01:00:00 AM,49.228,,,,,
82,03/04/19 01:15:00 AM,49.228,,,,,
83,03/04/19 01:30:00 AM,49.404,,,,,
84,03/04/19 01:45:00 AM,49.228,,,,,
85,03/04/19 02:00:00 AM,49.228,,,,,
86,03/04/19 02:15:00 AM,49.228,,,,,
87,03/04/19 02:30:00 AM,49.050,,,,,
88,03/04/19 02:45:00 AM,48.871,,,,,
89,03/04/19 03:00:00 AM,48.695,,,,,
90,03/04/19 03:15:00 AM,48.517,,,,,
91,03/04/19 03:30:00 AM,48.339,,,,,
92,03/04/19 03:45:00 AM,48.339,,,,,
93,03/04/19 04:00:00 AM,48.339,,,,,
94,03/04/19 04:15:00 AM,48.160,,,,,
95,03/04/19 04:30:00 AM,47.982,,,,,
96,03/04/19 04:45:00 AM,47.802,,,,,
97,03/04/19 05:00:00 AM,47.802,,,,,
98,03/04/19 05:15:00 AM,47.624,,,,,
99,03/04/19 05:30:00 AM,46.728,,,,,
100,03/04/19 05:45:00 AM,46.188,,,,,
101,03/04/19 06:00:00 AM,46.008,,,,,
102,03/04/19 06:15:00 AM,45.648,,,,,
103,03/04/19 06:30:00 AM,44.922,,,,,
104,03/04/19 06:45:00 AM,45.104,,,,,
105,03/04/19 07:00:00 AM,46.369,,,,,
106,03/04/19 07:15:00 AM,47.982,,,,,
107,03/04/19 07:30:00 AM,49.582,,,,,
108,03/04/19 07:45:00 AM,50.643,,,,,
109,03/04/19 08:00:00 AM,55.537,,,,,
110,03/04/19 08:15:00 AM,56.404,,,,,
111,03/04/19 08:30:00 AM,59.164,,,,,
112,03/04/19 08:45:00 AM,59.164,,,,,
113,03/04/19 09:00:00 AM,60.024,,,,,
114,03/04/19 09:15:00 AM,60.368,,,,,
115,03/04/19 09:30:00 AM,59.680,,,,,
116,03/04/19 09:45:00 AM,57.958,,,,,
117,03/04/19 10:00:00 AM,58.476,,,,,
118,03/04/19 10:15:00 AM,59.164,,,,,
119,03/04/19 10:30:00 AM,59.851,,,,,
120,03/04/19 10:45:00 AM,59.680,,,,,
121,03/04/19 11:00:00 AM,60.539,,,,,
122,03/04/19 11:15:00 AM,63.626,,,,,
123,03/04/19 11:30:00 AM,65.851,,,,,
124,03/04/19 11:45:00 AM,64.825,,,,,
125,03/04/19 12:00:00 PM,64.481,,,,,
126,03/04/19 12:15:00 PM,64.310,,,,,
127,03/04/19 12:30:00 PM,64.652,,,,,
128,03/04/19 12:45:00 PM,62.769,,,,,
129,03/04/19 01:00:00 PM,61.741,,,,,
130,03/04/19 01:15:00 PM,64.310,,,,,
131,03/04/19 01:30:00 PM,66.537,,,,,
132,03/04/19 01:45:00 PM,65.167,,,,,
133,03/04/19 02:00:00 PM,62.769,,,,,
134,03/04/19 02:15:00 PM,60.368,,,,,
135,03/04/19 02:30:00 PM,57.785,,,,,
136,03/04/19 02:45:00 PM,56.404,,,,,
137,03/04/19 03:00:00 PM,56.057,,,,,
138,03/04/19 03:15:00 PM,57.096,,,,,
139,03/04/19 03:30:00 PM,56.750,,,,,
140,03/04/19 03:45:00 PM,57.096,,,,,
141,03/04/19 04:00:00 PM,57.785,,,,,
142,03/04/19 04:15:00 PM,57.268,,,,,
143,03/04/19 04:30:00 PM,56.577,,,,,
144,03/04/19 04:45:00 PM,56.230,,,,,
145,03/04/19 05:00:00 PM,55.711,,,,,
146,03/04/19 05:15:00 PM,54.842,,,,,
147,03/04/19 05:30:00 PM,53.449,,,,,
148,03/04/19 05:45:00 PM,52.225,,,,,
149,03/04/19 06:00:00 PM,50.995,,,,,
150,03/04/19 06:15:00 PM,50.290,,,,,
151,03/04/19 06:30:00 PM,49.582,,,,,
152,03/04/19 06:45:00 PM,49.228,,,,,
153,03/04/19 07:00:00 PM,48.871,,,,,
154,03/04/19 07:15:00 PM,48.695,,,,,
155,03/04/19 07:30:00 PM,48.695,,,,,
156,03/04/19 07:45:00 PM,48.695,,,,,
157,03/04/19 08:00:00 PM,48.871,,,,,
158,03/04/19 08:15:00 PM,48.695,,,,,
159,03/04/19 08:30:00 PM,48.517,,,,,
160,03/04/19 08:45:00 PM,47.982,,,,,
161,03/04/19 09:00:00 PM,48.160,,,,,
162,03/04/19 09:15:00 PM,48.339,,,,,
163,03/04/19 09:30:00 PM,48.339,,,,,
164,03/04/19 09:45:00 PM,48.160,,,,,
165,03/04/19 10:00:00 PM,47.624,,,,,
166,03/04/19 10:15:00 PM,47.446,,,,,
167,03/04/19 10:30:00 PM,47.266,,,,,
168,03/04/19 10:45:00 PM,47.446,,,,,
169,03/04/19 11:00:00 PM,47.802,,,,,
170,03/04/19 11:15:00 PM,48.339,,,,,
171,03/04/19 11:30:00 PM,48.339,,,,,
172,03/04/19 11:45:00 PM,48.339,,,,,
173,03/05/19 12:00:00 AM,48.339,,,,,
174,03/05/19 12:15:00 AM,48.339,,,,,
175,03/05/19 12:30:00 AM,48.339,,,,,
176,03/05/19 12:45:00 AM,48.339,,,,,
177,03/05/19 01:00:00 AM,48.339,,,,,
178,03/05/19 01:15:00 AM,48.339,,,,,
179,03/05/19 01:30:00 AM,48.517,,,,,
180,03/05/19 01:45:00 AM,48.871,,,,,
181,03/05/19 02:00:00 AM,48.695,,,,,
182,03/05/19 02:15:00 AM,48.695,,,,,
183,03/05/19 02:30:00 AM,48.695,,,,,
184,03/05/19 02:45:00 AM,49.050,,,,,
185,03/05/19 03:00:00 AM,49.404,,,,,
186,03/05/19 03:15:00 AM,49.582,,,,,
187,03/05/19 03:30:00 AM,49.404,,,,,
188,03/05/19 03:45:00 AM,49.404,,,,,
189,03/05/19 04:00:00 AM,49.759,,,,,
190,03/05/19 04:15:00 AM,49.582,,,,,
191,03/05/19 04:30:00 AM,49.228,,,,,
192,03/05/19 04:45:00 AM,49.228,,,,,
193,03/05/19 05:00:00 AM,49.228,,,,,
194,03/05/19 05:11:02 AM,,0.25,,,,
195,03/05/19 05:15:00 AM,49.228,,,,,
196,03/05/19 05:30:00 AM,49.404,,,,,
197,03/05/19 05:45:00 AM,49.582,,,,,
198,03/05/19 06:00:00 AM,49.582,,,,,
199,03/05/19 06:15:00 AM,49.404,,,,,
200,03/05/19 06:25:43 AM,,0.26,,,,
201,03/05/19 06:30:00 AM,49.404,,,,,
202,03/05/19 06:43:02 AM,,0.27,,,,
203,03/05/19 06:45:00 AM,49.228,,,,,
204,03/05/19 07:00:00 AM,49.228,,,,,
205,03/05/19 07:05:05 AM,,0.28,,,,
206,03/05/19 07:15:00 AM,49.404,,,,,
207,03/05/19 07:30:00 AM,49.582,,,,,
208,03/05/19 07:32:42 AM,,0.29,,,,
209,03/05/19 07:45:00 AM,50.113,,,,,
210,03/05/19 07:57:37 AM,,0.30,,,,
211,03/05/19 08:00:00 AM,50.819,,,,,
212,03/05/19 08:15:00 AM,52.225,,,,,
213,03/05/19 08:30:00 AM,53.100,,,,,
214,03/05/19 08:45:00 AM,53.973,,,,,
215,03/05/19 09:00:00 AM,54.322,,,,,
216,03/05/19 09:15:00 AM,53.449,,,,,
217,03/05/19 09:30:00 AM,53.798,,,,,
218,03/05/19 09:45:00 AM,54.147,,,,,
219,03/05/19 10:00:00 AM,53.100,,,,,
220,03/05/19 10:06:04 AM,,0.31,,,,
221,03/05/19 10:15:00 AM,52.576,,,,,
222,03/05/19 10:16:00 AM,,0.32,,,,
223,03/05/19 10:26:37 AM,,0.33,,,,
224,03/05/19 10:30:00 AM,52.401,,,,,
225,03/05/19 10:30:28 AM,,0.34,,,,
226,03/05/19 10:33:12 AM,,0.35,,,,
227,03/05/19 10:34:42 AM,,0.36,,,,
228,03/05/19 10:37:31 AM,,0.37,,,,
229,03/05/19 10:39:14 AM,,0.38,,,,
230,03/05/19 10:42:52 AM,,0.39,,,,
231,03/05/19 10:45:00 AM,52.050,,,,,
232,03/05/19 10:48:49 AM,,0.40,,,,
233,03/05/19 10:56:58 AM,,0.41,,,,
234,03/05/19 11:00:00 AM,52.750,,,,,
235,03/05/19 11:01:24 AM,,0.42,,,,
236,03/05/19 11:03:47 AM,,0.43,,,,
237,03/05/19 11:07:44 AM,,0.44,,,,
238,03/05/19 11:15:00 AM,53.274,,,,,
239,03/05/19 11:24:33 AM,,0.45,,,,
240,03/05/19 11:30:00 AM,52.925,,,,,
241,03/05/19 11:37:17 AM,,0.46,,,,
242,03/05/19 11:45:00 AM,54.495,,,,,
243,03/05/19 12:00:00 PM,56.057,,,,,
244,03/05/19 12:15:00 PM,58.993,,,,,
245,03/05/19 12:30:00 PM,60.883,,,,,
246,03/05/19 12:45:00 PM,59.508,,,,,
247,03/05/19 01:00:00 PM,57.785,,,,,
248,03/05/19 01:15:00 PM,58.476,,,,,
249,03/05/19 01:30:00 PM,58.647,,,,,
250,03/05/19 01:45:00 PM,59.337,,,,,
251,03/05/19 02:00:00 PM,59.337,,,,,
252,03/05/19 02:15:00 PM,60.539,,,,,
253,03/05/19 02:30:00 PM,62.425,,,,,
254,03/05/19 02:45:00 PM,60.368,,,,,
255,03/05/19 03:00:00 PM,58.303,,,,,
256,03/05/19 03:15:00 PM,57.268,,,,,
257,03/05/19 03:30:00 PM,58.993,,,,,
258,03/05/19 03:45:00 PM,61.227,,,,,
259,03/05/19 04:00:00 PM,61.569,,,,,
260,03/05/19 04:15:00 PM,61.398,,,,,
261,03/05/19 04:30:00 PM,60.195,,,,,
262,03/05/19 04:45:00 PM,57.958,,,,,
263,03/05/19 05:00:00 PM,56.404,,,,,
264,03/05/19 05:10:50 PM,,0.47,,,,
265,03/05/19 05:11:12 PM,,0.48,,,,
266,03/05/19 05:11:43 PM,,0.49,,,,
267,03/05/19 05:15:00 PM,55.537,,,,,
268,03/05/19 05:16:45 PM,,0.50,,,,
269,03/05/19 05:30:00 PM,54.147,,,,,
270,03/05/19 05:45:00 PM,53.973,,,,,
271,03/05/19 06:00:00 PM,54.322,,,,,
272,03/05/19 06:15:00 PM,54.495,,,,,
273,03/05/19 06:30:00 PM,54.842,,,,,
274,03/05/19 06:45:00 PM,54.842,,,,,
275,03/05/19 07:00:00 PM,54.842,,,,,
276,03/05/19 07:15:00 PM,54.147,,,,,
277,03/05/19 07:30:00 PM,53.798,,,,,
278,03/05/19 07:38:44 PM,,0.51,,,,
279,03/05/19 07:45:00 PM,53.623,,,,,
280,03/05/19 08:00:00 PM,53.449,,,,,
281,03/05/19 08:15:00 PM,53.449,,,,,
282,03/05/19 08:30:00 PM,53.449,,,,,
283,03/05/19 08:45:00 PM,53.449,,,,,
284,03/05/19 09:00:00 PM,53.274,,,,,
285,03/05/19 09:15:00 PM,53.100,,,,,
286,03/05/19 09:18:07 PM,,0.52,,,,
287,03/05/19 09:19:47 PM,,0.53,,,,
288,03/05/19 09:30:00 PM,52.925,,,,,
289,03/05/19 09:45:00 PM,52.925,,,,,
290,03/05/19 10:00:00 PM,53.274,,,,,
291,03/05/19 10:15:00 PM,53.274,,,,,
292,03/05/19 10:30:00 PM,53.449,,,,,
293,03/05/19 10:45:00 PM,53.274,,,,,
294,03/05/19 11:00:00 PM,52.925,,,,,
295,03/05/19 11:15:00 PM,52.925,,,,,
296,03/05/19 11:30:00 PM,52.925,,,,,
297,03/05/19 11:45:00 PM,52.925,,,,,
298,03/06/19 12:00:00 AM,52.925,,,,,
299,03/06/19 12:15:00 AM,52.925,,,,,
300,03/06/19 12:30:00 AM,53.100,,,,,
301,03/06/19 12:45:00 AM,53.798,,,,,
302,03/06/19 01:00:00 AM,53.973,,,,,
303,03/06/19 01:14:03 AM,,0.54,,,,
304,03/06/19 01:15:00 AM,53.973,,,,,
305,03/06/19 01:25:28 AM,,0.55,,,,
306,03/06/19 01:30:00 AM,53.449,,,,,
307,03/06/19 01:45:00 AM,53.274,,,,,
308,03/06/19 02:00:00 AM,53.449,,,,,
309,03/06/19 02:10:23 AM,,0.56,,,,
310,03/06/19 02:11:37 AM,,0.57,,,,
311,03/06/19 02:11:56 AM,,0.58,,,,
312,03/06/19 02:12:32 AM,,0.59,,,,
313,03/06/19 02:14:38 AM,,0.60,,,,
314,03/06/19 02:15:00 AM,53.449,,,,,
315,03/06/19 02:18:56 AM,,0.61,,,,
316,03/06/19 02:28:00 AM,,0.62,,,,
317,03/06/19 02:30:00 AM,52.925,,,,,
318,03/06/19 02:38:54 AM,,0.63,,,,
319,03/06/19 02:45:00 AM,52.750,,,,,
320,03/06/19 03:00:00 AM,52.925,,,,,
321,03/06/19 03:15:00 AM,52.925,,,,,
322,03/06/19 03:30:00 AM,52.925,,,,,
323,03/06/19 03:32:38 AM,,0.64,,,,
324,03/06/19 03:34:37 AM,,0.65,,,,
325,03/06/19 03:35:25 AM,,0.66,,,,
326,03/06/19 03:36:04 AM,,0.67,,,,
327,03/06/19 03:37:35 AM,,0.68,,,,
328,03/06/19 03:45:00 AM,52.925,,,,,
329,03/06/19 03:55:36 AM,,0.69,,,,
330,03/06/19 03:56:45 AM,,0.70,,,,
331,03/06/19 03:58:10 AM,,0.71,,,,
332,03/06/19 04:00:00 AM,52.925,,,,,
333,03/06/19 04:00:38 AM,,0.72,,,,
334,03/06/19 04:03:54 AM,,0.73,,,,
335,03/06/19 04:06:04 AM,,0.74,,,,
336,03/06/19 04:06:34 AM,,0.75,,,,
337,03/06/19 04:07:00 AM,,0.76,,,,
338,03/06/19 04:07:59 AM,,0.77,,,,
339,03/06/19 04:09:14 AM,,0.78,,,,
340,03/06/19 04:11:33 AM,,0.79,,,,
341,03/06/19 04:12:34 AM,,0.80,,,,
342,03/06/19 04:14:30 AM,,0.81,,,,
343,03/06/19 04:14:57 AM,,0.82,,,,
344,03/06/19 04:15:00 AM,52.750,,,,,
345,03/06/19 04:15:35 AM,,0.83,,,,
346,03/06/19 04:16:21 AM,,0.84,,,,
347,03/06/19 04:24:42 AM,,0.85,,,,
348,03/06/19 04:30:00 AM,52.750,,,,,
349,03/06/19 04:45:00 AM,52.750,,,,,
350,03/06/19 04:47:31 AM,,0.86,,,,
351,03/06/19 04:53:39 AM,,0.87,,,,
352,03/06/19 04:56:04 AM,,0.88,,,,
353,03/06/19 04:57:06 AM,,0.89,,,,
354,03/06/19 04:57:56 AM,,0.90,,,,
355,03/06/19 05:00:00 AM,52.576,,,,,
356,03/06/19 05:00:21 AM,,0.91,,,,
357,03/06/19 05:01:37 AM,,0.92,,,,
358,03/06/19 05:03:09 AM,,0.93,,,,
359,03/06/19 05:06:05 AM,,0.94,,,,
360,03/06/19 05:12:15 AM,,0.95,,,,
361,03/06/19 05:15:00 AM,52.750,,,,,
362,03/06/19 05:16:06 AM,,0.96,,,,
363,03/06/19 05:17:21 AM,,0.97,,,,
364,03/06/19 05:18:54 AM,,0.98,,,,
365,03/06/19 05:20:51 AM,,0.99,,,,
366,03/06/19 05:21:45 AM,,1.00,,,,
367,03/06/19 05:22:32 AM,,1.01,,,,
368,03/06/19 05:23:30 AM,,1.02,,,,
369,03/06/19 05:24:22 AM,,1.03,,,,
370,03/06/19 05:24:58 AM,,1.04,,,,
371,03/06/19 05:26:10 AM,,1.05,,,,
372,03/06/19 05:27:01 AM,,1.06,,,,
373,03/06/19 05:28:12 AM,,1.07,,,,
374,03/06/19 05:29:21 AM,,1.08,,,,
375,03/06/19 05:30:00 AM,52.750,,,,,
376,03/06/19 05:30:01 AM,,1.09,,,,
377,03/06/19 05:30:24 AM,,1.10,,,,
378,03/06/19 05:30:55 AM,,1.11,,,,
379,03/06/19 05:31:20 AM,,1.12,,,,
380,03/06/19 05:32:53 AM,,1.13,,,,
381,03/06/19 05:35:51 AM,,1.14,,,,
382,03/06/19 05:45:00 AM,52.750,,,,,
383,03/06/19 05:47:56 AM,,1.15,,,,
384,03/06/19 06:00:00 AM,52.750,,,,,
385,03/06/19 06:04:32 AM,,1.16,,,,
386,03/06/19 06:08:44 AM,,1.17,,,,
387,03/06/19 06:10:54 AM,,1.18,,,,
388,03/06/19 06:15:00 AM,52.925,,,,,
389,03/06/19 06:16:10 AM,,1.19,,,,
390,03/06/19 06:30:00 AM,53.274,,,,,
391,03/06/19 06:45:00 AM,53.274,,,,,
392,03/06/19 07:00:00 AM,53.798,,,,,
393,03/06/19 07:15:00 AM,54.147,,,,,
394,03/06/19 07:30:00 AM,54.669,,,,,
395,03/06/19 07:43:56 AM,,1.20,,,,
396,03/06/19 07:45:00 AM,54.842,,,,,
397,03/06/19 07:45:14 AM,,1.21,,,,
398,03/06/19 07:45:42 AM,,1.22,,,,
399,03/06/19 07:46:21 AM,,1.23,,,,
400,03/06/19 07:47:28 AM,,1.24,,,,
401,03/06/19 07:50:35 AM,,1.25,,,,
402,03/06/19 07:54:13 AM,,1.26,,,,
403,03/06/19 07:58:51 AM,,1.27,,,,
404,03/06/19 08:00:00 AM,54.842,,,,,
405,03/06/19 08:00:40 AM,,1.28,,,,
406,03/06/19 08:02:17 AM,,1.29,,,,
407,03/06/19 08:15:00 AM,55.364,,,,,
408,03/06/19 08:30:00 AM,56.404,,,,,
409,03/06/19 08:33:00 AM,,1.30,,,,
410,03/06/19 08:45:00 AM,58.993,,,,,
411,03/06/19 09:00:00 AM,59.337,,,,,
412,03/06/19 09:15:00 AM,59.508,,,,,
413,03/06/19 09:30:00 AM,59.680,,,,,
414,03/06/19 09:45:00 AM,60.368,,,,,
415,03/06/19 10:00:00 AM,60.712,,,,,
416,03/06/19 10:15:00 AM,62.083,,,,,
417,03/06/19 10:30:00 AM,63.282,,,,,
418,03/06/19 10:45:00 AM,62.598,,,,,
419,03/06/19 11:00:00 AM,59.337,,,,,
420,03/06/19 11:07:46 AM,,1.31,,,,
421,03/06/19 11:15:00 AM,59.164,,,,,
422,03/06/19 11:22:26 AM,,1.32,,,,
423,03/06/19 11:30:00 AM,60.024,,,,,
424,03/06/19 11:45:00 AM,61.741,,,,,
425,03/06/19 12:00:00 PM,63.282,,,,,
426,03/06/19 12:15:00 PM,64.139,,,,,
427,03/06/19 12:30:00 PM,64.481,,,,,
428,03/06/19 12:45:00 PM,64.825,,,,,
429,03/06/19 01:00:00 PM,65.509,,,,,
430,03/06/19 01:15:00 PM,66.366,,,,,
431,03/06/19 01:30:00 PM,69.107,,,,,
432,03/06/19 01:45:00 PM,70.995,,,,,
433,03/06/19 02:00:00 PM,70.824,,,,,
434,03/06/19 02:15:00 PM,69.449,,,,,
435,03/06/19 02:30:00 PM,68.763,,,,,
436,03/06/19 02:45:00 PM,68.763,,,,,
437,03/06/19 03:00:00 PM,70.824,,,,,
438,03/06/19 03:15:00 PM,70.824,,,,,
439,03/06/19 03:30:00 PM,73.062,,,,,
440,03/06/19 03:45:00 PM,70.308,,,,,
441,03/06/19 04:00:00 PM,64.825,,,,,
442,03/06/19 04:15:00 PM,61.569,,,,,
443,03/06/19 04:30:00 PM,58.303,,,,,
444,03/06/19 04:45:00 PM,56.230,,,,,
445,03/06/19 04:47:56 PM,,1.33,,,,
446,03/06/19 04:51:36 PM,,1.34,,,,
447,03/06/19 04:53:18 PM,,1.35,,,,
448,03/06/19 04:54:09 PM,,1.36,,,,
449,03/06/19 04:55:35 PM,,1.37,,,,
450,03/06/19 04:56:11 PM,,1.38,,,,
451,03/06/19 04:57:49 PM,,1.39,,,,
452,03/06/19 04:59:20 PM,,1.40,,,,
453,03/06/19 05:00:00 PM,55.364,,,,,
454,03/06/19 05:00:44 PM,,1.41,,,,
455,03/06/19 05:01:42 PM,,1.42,,,,
456,03/06/19 05:02:44 PM,,1.43,,,,
457,03/06/19 05:03:01 PM,,1.44,,,,
458,03/06/19 05:03:15 PM,,1.45,,,,
459,03/06/19 05:03:33 PM,,1.46,,,,
460,03/06/19 05:15:00 PM,55.537,,,,,
461,03/06/19 05:30:00 PM,53.973,,,,,
462,03/06/19 05:39:56 PM,,1.47,,,,
463,03/06/19 05:42:21 PM,,1.48,,,,
464,03/06/19 05:43:05 PM,,1.49,,,,
465,03/06/19 05:43:46 PM,,1.50,,,,
466,03/06/19 05:45:00 PM,53.100,,,,,
467,03/06/19 05:45:14 PM,,1.51,,,,
468,03/06/19 05:46:10 PM,,1.52,,,,
469,03/06/19 05:46:54 PM,,1.53,,,,
470,03/06/19 05:50:09 PM,,1.54,,,,
471,03/06/19 06:00:00 PM,52.225,,,,,
472,03/06/19 06:15:00 PM,52.050,,,,,
473,03/06/19 06:30:00 PM,51.699,,,,,
474,03/06/19 06:45:00 PM,51.523,,,,,
475,03/06/19 07:00:00 PM,51.346,,,,,
476,03/06/19 07:15:00 PM,51.346,,,,,
477,03/06/19 07:30:00 PM,51.172,,,,,
478,03/06/19 07:45:00 PM,51.172,,,,,
479,03/06/19 08:00:00 PM,51.172,,,,,
480,03/06/19 08:15:00 PM,50.995,,,,,
481,03/06/19 08:30:00 PM,50.995,,,,,
482,03/06/19 08:45:00 PM,50.466,,,,,
483,03/06/19 09:00:00 PM,50.113,,,,,
484,03/06/19 09:15:00 PM,49.937,,,,,
485,03/06/19 09:28:45 PM,,1.55,,,,
486,03/06/19 09:30:00 PM,50.290,,,,,
487,03/06/19 09:34:04 PM,,1.56,,,,
488,03/06/19 09:45:00 PM,50.643,,,,,
489,03/06/19 10:00:00 PM,50.643,,,,,
490,03/06/19 10:15:00 PM,50.466,,,,,
491,03/06/19 10:30:00 PM,50.643,,,,,
492,03/06/19 10:45:00 PM,50.466,,,,,
493,03/06/19 11:00:00 PM,50.290,,,,,
494,03/06/19 11:15:00 PM,50.466,,,,,
495,03/06/19 11:30:00 PM,50.290,,,,,
496,03/06/19 11:45:00 PM,50.113,,,,,
497,03/07/19 12:00:00 AM,49.937,,,,,
498,03/07/19 12:15:00 AM,49.582,,,,,
499,03/07/19 12:30:00 AM,49.404,,,,,
500,03/07/19 12:45:00 AM,49.050,,,,,
501,03/07/19 01:00:00 AM,49.050,,,,,
502,03/07/19 01:15:00 AM,49.050,,,,,
503,03/07/19 01:23:52 AM,,1.57,,,,
504,03/07/19 01:30:00 AM,49.228,,,,,
505,03/07/19 01:33:42 AM,,1.58,,,,
506,03/07/19 01:39:30 AM,,1.59,,,,
507,03/07/19 01:41:49 AM,,1.60,,,,
508,03/07/19 01:44:52 AM,,1.61,,,,
509,03/07/19 01:45:00 AM,49.050,,,,,
510,03/07/19 01:47:10 AM,,1.62,,,,
511,03/07/19 01:50:33 AM,,1.63,,,,
512,03/07/19 01:54:49 AM,,1.64,,,,
513,03/07/19 01:56:42 AM,,1.65,,,,
514,03/07/19 01:57:27 AM,,1.66,,,,
515,03/07/19 01:58:32 AM,,1.67,,,,
516,03/07/19 01:59:29 AM,,1.68,,,,
517,03/07/19 02:00:00 AM,48.871,,,,,
518,03/07/19 02:00:18 AM,,1.69,,,,
519,03/07/19 02:00:44 AM,,1.70,,,,
520,03/07/19 02:01:13 AM,,1.71,,,,
521,03/07/19 02:01:35 AM,,1.72,,,,
