"Plot Title: Landing"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Bad Battery (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
122,11/20/13 09:45:22 AM,1.19,,,,,
123,11/20/13 11:40:52 AM,1.20,,,,,
124,11/20/13 02:30:17 PM,1.21,,,,,
125,11/20/13 02:33:20 PM,1.22,,,,,
126,11/20/13 02:34:58 PM,1.23,,,,,
127,11/20/13 02:34:59 PM,1.24,,,,,
128,11/20/13 02:36:24 PM,1.25,,,,,
129,11/20/13 02:37:34 PM,1.26,,,,,
130,11/20/13 02:38:46 PM,1.27,,,,,
131,11/20/13 02:39:32 PM,1.28,,,,,
132,11/20/13 02:40:29 PM,1.29,,,,,
133,11/20/13 02:41:23 PM,1.30,,,,,
134,11/20/13 02:42:16 PM,1.31,,,,,
135,11/20/13 02:42:17 PM,1.32,,,,,
136,11/20/13 02:43:08 PM,1.33,,,,,
137,11/20/13 02:44:41 PM,1.34,,,,,
138,11/20/13 02:46:04 PM,1.35,,,,,
139,11/20/13 02:47:35 PM,1.36,,,,,
140,11/20/13 02:48:57 PM,1.37,,,,,
141,11/20/13 02:50:32 PM,1.38,,,,,
142,11/20/13 02:51:55 PM,1.39,,,,,
143,11/20/13 02:51:56 PM,1.40,,,,,
144,11/20/13 02:53:22 PM,1.41,,,,,
145,11/20/13 02:55:31 PM,1.42,,,,,
146,11/20/13 02:58:13 PM,1.43,,,,,
147,11/20/13 03:00:55 PM,1.44,,,,,
148,11/20/13 03:04:07 PM,1.45,,,,,
149,11/20/13 03:06:54 PM,1.46,,,,,
150,11/20/13 03:06:55 PM,1.47,,,,,
151,11/20/13 03:09:45 PM,1.48,,,,,
152,11/20/13 03:11:42 PM,1.49,,,,,
153,11/20/13 03:14:13 PM,1.50,,,,,
154,11/20/13 03:16:43 PM,1.51,,,,,
155,11/20/13 03:19:15 PM,1.52,,,,,
156,11/20/13 03:21:32 PM,1.53,,,,,
157,11/20/13 03:24:05 PM,1.54,,,,,
158,11/20/13 03:26:46 PM,1.55,,,,,
159,11/20/13 03:29:39 PM,1.56,,,,,
160,11/20/13 03:29:40 PM,1.57,,,,,
161,11/20/13 03:37:43 PM,1.58,,,,,
162,11/20/13 03:45:52 PM,1.59,,,,,
163,11/20/13 05:23:27 PM,1.60,,,,,
164,11/20/13 09:32:04 PM,1.61,,,,,
165,11/26/13 02:50:30 PM,,,,Logged,,
166,11/26/13 02:51:25 PM,1.61,,,,Logged,Logged
