"Plot Title: UNF"
"#","Date Time, GMT-08:00","Event, units (LGR S/N: 10592083, SEN S/N: 10592083, LBL: UNF)","Coupler Detached (LGR S/N: 10592083, SEN S/N: 10592083)","Coupler Attached (LGR S/N: 10592083, SEN S/N: 10592083)","Stopped (LGR S/N: 10592083, SEN S/N: 10592083)","End Of File (LGR S/N: 10592083, SEN S/N: 10592083)"
178,01/05/16 03:56:36 AM,1.76,,,,
179,01/05/16 03:56:58 AM,1.77,,,,
180,01/05/16 03:57:32 AM,1.78,,,,
181,01/05/16 03:58:22 AM,1.79,,,,
182,01/05/16 03:59:23 AM,1.80,,,,
183,01/05/16 04:00:43 AM,1.81,,,,
184,01/05/16 04:02:31 AM,1.82,,,,
185,01/05/16 04:04:54 AM,1.83,,,,
186,01/05/16 04:06:52 AM,1.84,,,,
187,01/05/16 04:08:49 AM,1.85,,,,
188,01/05/16 04:10:58 AM,1.86,,,,
189,01/05/16 04:12:31 AM,1.87,,,,
190,01/05/16 04:14:32 AM,1.88,,,,
191,01/05/16 04:17:28 AM,1.89,,,,
192,01/05/16 04:20:33 AM,1.90,,,,
193,01/05/16 04:23:40 AM,1.91,,,,
194,01/05/16 04:26:12 AM,1.92,,,,
195,01/05/16 04:28:40 AM,1.93,,,,
196,01/05/16 04:31:27 AM,1.94,,,,
197,01/05/16 04:34:24 AM,1.95,,,,
198,01/05/16 04:37:40 AM,1.96,,,,
199,01/05/16 04:41:17 AM,1.97,,,,
200,01/05/16 04:45:32 AM,1.98,,,,
201,01/05/16 04:48:49 AM,1.99,,,,
202,01/05/16 04:53:10 AM,2.00,,,,
203,01/05/16 04:56:10 AM,2.01,,,,
204,01/05/16 04:58:44 AM,2.02,,,,
205,01/05/16 05:00:33 AM,2.03,,,,
206,01/05/16 05:03:08 AM,2.04,,,,
207,01/05/16 05:05:53 AM,2.05,,,,
208,01/05/16 05:10:36 AM,2.06,,,,
209,01/05/16 05:26:00 AM,2.07,,,,
210,01/05/16 05:37:10 AM,2.08,,,,
211,01/05/16 05:44:14 AM,2.09,,,,
212,01/05/16 05:46:42 AM,2.10,,,,
213,01/05/16 05:51:11 AM,2.11,,,,
214,01/05/16 06:03:41 AM,2.12,,,,
215,01/05/16 06:24:35 AM,2.13,,,,
216,01/05/16 06:27:47 AM,2.14,,,,
217,01/05/16 06:36:42 AM,2.15,,,,
218,01/05/16 07:16:28 AM,2.16,,,,
219,01/05/16 09:10:52 AM,2.17,,,,
220,01/05/16 09:17:10 AM,2.18,,,,
221,01/05/16 09:20:40 AM,2.19,,,,
222,01/05/16 09:23:22 AM,2.20,,,,
223,01/05/16 09:26:02 AM,2.21,,,,
