"Plot Title: Landing"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 9668993, SEN S/N: 9668993)","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
259,01/01/12 04:54:36 AM,52.401,,,,
260,01/01/12 05:09:36 AM,53.798,,,,
261,01/01/12 05:24:36 AM,54.147,,,,
262,01/01/12 05:39:36 AM,54.322,,,,
263,01/01/12 05:54:36 AM,59.680,,,,
264,01/01/12 06:09:36 AM,58.993,,,,
265,01/01/12 06:24:36 AM,55.884,,,,
266,01/01/12 06:39:36 AM,60.024,,,,
267,01/01/12 06:54:36 AM,61.398,,,,
268,01/01/12 07:09:36 AM,60.883,,,,
269,01/01/12 07:24:36 AM,61.398,,,,
270,01/01/12 07:39:36 AM,61.398,,,,
271,01/01/12 07:54:36 AM,61.398,,,,
272,01/01/12 08:09:36 AM,61.398,,,,
273,01/01/12 08:24:36 AM,61.569,,,,
274,01/01/12 08:39:36 AM,61.398,,,,
275,01/01/12 08:54:36 AM,61.398,,,,
276,01/01/12 09:09:36 AM,62.254,,,,
277,01/01/12 09:24:36 AM,63.455,,,,
278,01/01/12 09:39:36 AM,64.310,,,,
279,01/01/12 09:54:36 AM,65.680,,,,
280,01/01/12 10:09:36 AM,68.077,,,,
281,01/01/12 10:24:36 AM,69.793,,,,
282,01/01/12 10:39:36 AM,72.545,,,,
283,01/01/12 10:54:36 AM,73.407,,,,
284,01/01/12 11:09:36 AM,74.271,,,,
285,01/01/12 11:24:36 AM,76.181,,,,
286,01/01/12 11:39:36 AM,77.400,,,,
287,01/01/12 11:54:36 AM,78.274,,,,
288,01/01/12 12:09:36 PM,77.225,,,,
289,01/01/12 12:24:36 PM,77.923,,,,
290,01/01/12 12:39:36 PM,79.326,,,,
291,01/01/12 12:54:36 PM,79.326,,,,
292,01/01/12 01:09:36 PM,78.800,,,,
293,01/01/12 01:24:36 PM,80.029,,,,
294,01/01/12 01:39:36 PM,78.274,,,,
295,01/01/12 01:54:36 PM,77.400,,,,
296,01/01/12 02:09:36 PM,75.312,,,,
297,01/01/12 02:24:36 PM,74.619,,,,
298,01/01/12 02:39:36 PM,74.098,,,,
299,01/01/12 02:54:36 PM,73.753,,,,
300,01/01/12 03:09:36 PM,73.753,,,,
301,01/01/12 03:24:36 PM,72.545,,,,
302,01/01/12 03:39:36 PM,70.480,,,,
303,01/01/12 03:54:36 PM,68.934,,,,
304,01/01/12 04:09:36 PM,67.050,,,,
305,01/01/12 04:24:36 PM,65.851,,,,
306,01/01/12 04:39:36 PM,63.968,,,,
307,01/01/12 04:54:36 PM,62.769,,,,
308,01/01/12 05:09:36 PM,60.883,,,,
309,01/01/12 05:24:36 PM,59.680,,,,
310,01/01/12 05:39:36 PM,59.164,,,,
311,01/01/12 05:54:36 PM,58.647,,,,
312,01/01/12 06:09:36 PM,58.647,,,,
313,01/01/12 06:24:36 PM,58.303,,,,
314,01/01/12 06:39:36 PM,57.441,,,,
315,01/01/12 06:54:36 PM,57.614,,,,
316,01/01/12 07:09:36 PM,57.268,,,,
317,01/01/12 07:24:36 PM,56.404,,,,
