"Plot Title: UQC"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10592087, SEN S/N: 10592087)","Event, units (LGR S/N: 10592087, SEN S/N: 10592087, LBL: UQC)","Coupler Detached (LGR S/N: 10592087, SEN S/N: 10592087)","Coupler Attached (LGR S/N: 10592087, SEN S/N: 10592087)","Host Connected (LGR S/N: 10592087, SEN S/N: 10592087)","End Of File (LGR S/N: 10592087, SEN S/N: 10592087)"
326,03/13/16 07:23:14 AM,,2.33,,,,
327,03/13/16 07:24:20 AM,,2.34,,,,
328,03/13/16 07:30:32 AM,54.669,,,,,
329,03/13/16 07:31:16 AM,,2.35,,,,
330,03/13/16 07:46:02 AM,,2.36,,,,
331,03/13/16 08:30:32 AM,55.189,,,,,
332,03/13/16 08:56:57 AM,,2.37,,,,
333,03/13/16 09:30:32 AM,55.711,,,,,
334,03/13/16 10:30:32 AM,56.230,,,,,
335,03/13/16 11:30:32 AM,56.404,,,,,
336,03/13/16 12:30:32 PM,56.750,,,,,
337,03/13/16 01:30:32 PM,56.057,,,,,
338,03/13/16 02:30:32 PM,55.189,,,,,
339,03/13/16 03:30:32 PM,55.189,,,,,
340,03/13/16 04:30:32 PM,55.364,,,,,
341,03/13/16 05:24:08 PM,,2.38,,,,
342,03/13/16 05:28:18 PM,,2.39,,,,
343,03/13/16 05:28:22 PM,,2.40,,,,
344,03/13/16 05:28:24 PM,,2.41,,,,
345,03/13/16 05:30:32 PM,54.669,,,,,
346,03/13/16 06:30:32 PM,54.669,,,,,
347,03/13/16 07:00:09 PM,,2.42,,,,
348,03/13/16 07:00:15 PM,,2.43,,,,
349,03/13/16 07:00:16 PM,,2.44,,,,
350,03/13/16 07:00:17 PM,,2.45,,,,
351,03/13/16 07:00:18 PM,,2.46,,,,
352,03/13/16 07:00:20 PM,,2.47,,,,
353,03/13/16 07:00:21 PM,,2.48,,,,
354,03/13/16 07:00:26 PM,,2.49,,,,
355,03/13/16 07:00:28 PM,,2.50,,,,
356,03/13/16 07:00:29 PM,,2.51,,,,
357,03/13/16 07:00:31 PM,,2.52,,,,
358,03/13/16 07:00:32 PM,,2.53,,,,
359,03/13/16 07:00:34 PM,,2.54,,,,
360,03/13/16 07:00:36 PM,,2.55,,,,
361,03/13/16 07:00:39 PM,,2.56,,,,
362,03/13/16 07:00:42 PM,,2.57,,,,
363,03/13/16 07:00:43 PM,,2.58,,,,
364,03/13/16 07:00:44 PM,,2.59,,,,
365,03/13/16 07:00:46 PM,,2.60,,,,
366,03/13/16 07:00:55 PM,,2.61,,,,
367,03/13/16 07:01:55 PM,,2.62,,,,
368,03/13/16 07:04:34 PM,,2.63,,,,
369,03/13/16 07:08:48 PM,,2.64,,,,
370,03/13/16 07:08:52 PM,,2.65,,,,
371,03/13/16 07:08:56 PM,,2.66,,,,
372,03/13/16 07:08:57 PM,,2.67,,,,
373,03/13/16 07:30:32 PM,55.364,,,,,
374,03/13/16 08:30:32 PM,55.364,,,,,
375,03/13/16 09:30:32 PM,55.364,,,,,
376,03/13/16 10:30:32 PM,55.189,,,,,
377,03/13/16 11:30:32 PM,53.623,,,,,
378,03/14/16 12:30:32 AM,53.100,,,,,
379,03/14/16 01:18:22 AM,,2.68,,,,
380,03/14/16 01:19:17 AM,,2.69,,,,
381,03/14/16 01:27:28 AM,,2.70,,,,
382,03/14/16 01:29:38 AM,,2.71,,,,
383,03/14/16 01:29:50 AM,,2.72,,,,
384,03/14/16 01:30:32 AM,53.274,,,,,
385,03/14/16 01:33:56 AM,,2.73,,,,
386,03/14/16 01:36:37 AM,,2.74,,,,
387,03/14/16 01:37:16 AM,,2.75,,,,
388,03/14/16 01:37:38 AM,,2.76,,,,
389,03/14/16 01:37:41 AM,,2.77,,,,
390,03/14/16 01:40:49 AM,,2.78,,,,
391,03/14/16 01:41:04 AM,,2.79,,,,
392,03/14/16 01:41:45 AM,,2.80,,,,
393,03/14/16 01:42:04 AM,,2.81,,,,
394,03/14/16 01:42:41 AM,,2.82,,,,
395,03/14/16 01:42:42 AM,,2.83,,,,
396,03/14/16 01:43:03 AM,,2.84,,,,
397,03/14/16 01:44:26 AM,,2.85,,,,
398,03/14/16 01:44:56 AM,,2.86,,,,
399,03/14/16 01:51:34 AM,,2.87,,,,
400,03/14/16 02:29:37 AM,,2.88,,,,
401,03/14/16 02:30:32 AM,52.925,,,,,
402,03/14/16 02:44:41 AM,,2.89,,,,
403,03/14/16 02:46:15 AM,,2.90,,,,
404,03/14/16 02:48:19 AM,,2.91,,,,
405,03/14/16 02:50:36 AM,,2.92,,,,
406,03/14/16 02:51:08 AM,,2.93,,,,
407,03/14/16 02:51:14 AM,,2.94,,,,
408,03/14/16 02:51:15 AM,,2.95,,,,
409,03/14/16 02:51:16 AM,,2.96,,,,
410,03/14/16 02:53:11 AM,,2.97,,,,
411,03/14/16 02:53:12 AM,,2.98,,,,
412,03/14/16 02:53:13 AM,,2.99,,,,
413,03/14/16 02:53:15 AM,,3.00,,,,
414,03/14/16 02:53:16 AM,,3.01,,,,
415,03/14/16 02:53:17 AM,,3.02,,,,
416,03/14/16 02:53:18 AM,,3.03,,,,
417,03/14/16 02:53:23 AM,,3.04,,,,
418,03/14/16 02:53:29 AM,,3.05,,,,
419,03/14/16 02:53:32 AM,,3.06,,,,
420,03/14/16 02:53:42 AM,,3.07,,,,
421,03/14/16 02:53:44 AM,,3.08,,,,
422,03/14/16 02:53:47 AM,,3.09,,,,
423,03/14/16 02:53:52 AM,,3.10,,,,
424,03/14/16 02:53:53 AM,,3.11,,,,
425,03/14/16 02:53:54 AM,,3.12,,,,
426,03/14/16 02:55:02 AM,,3.13,,,,
427,03/14/16 02:55:09 AM,,3.14,,,,
428,03/14/16 02:55:22 AM,,3.15,,,,
429,03/14/16 02:55:28 AM,,3.16,,,,
430,03/14/16 02:55:43 AM,,3.17,,,,
431,03/14/16 02:55:44 AM,,3.18,,,,
432,03/14/16 02:55:52 AM,,3.19,,,,
433,03/14/16 02:55:58 AM,,3.20,,,,
434,03/14/16 02:56:01 AM,,3.21,,,,
435,03/14/16 02:56:04 AM,,3.22,,,,
436,03/14/16 02:56:05 AM,,3.23,,,,
437,03/14/16 02:56:07 AM,,3.24,,,,
438,03/14/16 02:56:11 AM,,3.25,,,,
439,03/14/16 02:56:12 AM,,3.26,,,,
440,03/14/16 02:56:13 AM,,3.27,,,,
441,03/14/16 02:56:14 AM,,3.28,,,,
442,03/14/16 02:56:19 AM,,3.29,,,,
443,03/14/16 02:56:20 AM,,3.30,,,,
