"Plot Title: Landing_1"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10592082, SEN S/N: 10592082)","Event, units (LGR S/N: 10592082, SEN S/N: 10592082, LBL: Landing_1)","Coupler Attached (LGR S/N: 10592082, SEN S/N: 10592082)","Host Connected (LGR S/N: 10592082, SEN S/N: 10592082)","Coupler Detached (LGR S/N: 10592082, SEN S/N: 10592082)","End Of File (LGR S/N: 10592082, SEN S/N: 10592082)"
61,01/22/16 06:45:00 PM,55.711,,,,,
62,01/22/16 07:00:00 PM,55.884,,,,,
63,01/22/16 07:15:00 PM,55.884,,,,,
64,01/22/16 07:30:00 PM,55.884,,,,,
65,01/22/16 07:45:00 PM,56.057,,,,,
66,01/22/16 08:00:00 PM,56.057,,,,,
67,01/22/16 08:15:00 PM,56.057,,,,,
68,01/22/16 08:30:00 PM,56.057,,,,,
69,01/22/16 08:45:00 PM,56.057,,,,,
70,01/22/16 09:00:00 PM,56.057,,,,,
71,01/22/16 09:15:00 PM,56.057,,,,,
72,01/22/16 09:30:00 PM,55.884,,,,,
73,01/22/16 09:43:34 PM,,0.26,,,,
74,01/22/16 09:44:26 PM,,0.27,,,,
75,01/22/16 09:45:00 PM,55.884,,,,,
76,01/22/16 10:00:00 PM,55.884,,,,,
77,01/22/16 10:07:00 PM,,0.28,,,,
78,01/22/16 10:07:46 PM,,0.29,,,,
79,01/22/16 10:12:33 PM,,0.30,,,,
80,01/22/16 10:13:03 PM,,0.31,,,,
81,01/22/16 10:15:00 PM,55.884,,,,,
82,01/22/16 10:17:28 PM,,0.32,,,,
83,01/22/16 10:30:00 PM,54.147,,,,,
84,01/22/16 10:45:00 PM,52.925,,,,,
85,01/22/16 10:49:59 PM,,0.33,,,,
86,01/22/16 11:00:00 PM,52.401,,,,,
87,01/22/16 11:06:05 PM,,0.34,,,,
88,01/22/16 11:15:00 PM,52.050,,,,,
89,01/22/16 11:17:44 PM,,0.35,,,,
90,01/22/16 11:30:00 PM,51.699,,,,,
91,01/22/16 11:45:00 PM,51.523,,,,,
92,01/23/16 12:00:00 AM,51.523,,,,,
93,01/23/16 12:15:00 AM,51.523,,,,,
94,01/23/16 12:22:15 AM,,0.36,,,,
95,01/23/16 12:25:50 AM,,0.37,,,,
96,01/23/16 12:28:15 AM,,0.38,,,,
97,01/23/16 12:28:16 AM,,0.39,,,,
98,01/23/16 12:30:00 AM,51.523,,,,,
99,01/23/16 12:30:43 AM,,0.40,,,,
100,01/23/16 12:45:00 AM,51.346,,,,,
101,01/23/16 01:00:00 AM,51.172,,,,,
102,01/23/16 01:15:00 AM,50.995,,,,,
103,01/23/16 01:30:00 AM,50.819,,,,,
104,01/23/16 01:45:00 AM,50.995,,,,,
105,01/23/16 02:00:00 AM,51.172,,,,,
106,01/23/16 02:15:00 AM,51.172,,,,,
107,01/23/16 02:30:00 AM,51.346,,,,,
108,01/23/16 02:45:00 AM,51.523,,,,,
109,01/23/16 03:00:00 AM,51.523,,,,,
110,01/23/16 03:15:00 AM,51.699,,,,,
111,01/23/16 03:30:00 AM,52.050,,,,,
112,01/23/16 03:45:00 AM,52.050,,,,,
113,01/23/16 04:00:00 AM,51.523,,,,,
114,01/23/16 04:15:00 AM,50.643,,,,,
115,01/23/16 04:30:00 AM,49.937,,,,,
116,01/23/16 04:45:00 AM,49.937,,,,,
117,01/23/16 05:00:00 AM,49.759,,,,,
118,01/23/16 05:15:00 AM,49.582,,,,,
119,01/23/16 05:30:00 AM,49.404,,,,,
120,01/23/16 05:45:00 AM,49.050,,,,,
121,01/23/16 06:00:00 AM,48.871,,,,,
122,01/23/16 06:15:00 AM,48.517,,,,,
123,01/23/16 06:30:00 AM,48.339,,,,,
124,01/23/16 06:45:00 AM,48.160,,,,,
125,01/23/16 07:00:00 AM,47.802,,,,,
126,01/23/16 07:15:00 AM,47.802,,,,,
127,01/23/16 07:30:00 AM,48.160,,,,,
128,01/23/16 07:45:00 AM,48.695,,,,,
129,01/23/16 08:00:00 AM,49.228,,,,,
130,01/23/16 08:15:00 AM,49.759,,,,,
131,01/23/16 08:24:55 AM,,0.41,,,,
132,01/23/16 08:30:00 AM,50.290,,,,,
133,01/23/16 08:45:00 AM,50.643,,,,,
134,01/23/16 09:00:00 AM,51.346,,,,,
135,01/23/16 09:15:00 AM,51.874,,,,,
136,01/23/16 09:30:00 AM,53.274,,,,,
137,01/23/16 09:45:00 AM,53.274,,,,,
138,01/23/16 10:00:00 AM,53.973,,,,,
139,01/23/16 10:15:00 AM,53.623,,,,,
140,01/23/16 10:30:00 AM,53.449,,,,,
141,01/23/16 10:45:00 AM,54.322,,,,,
142,01/23/16 11:00:00 AM,55.189,,,,,
143,01/23/16 11:15:00 AM,57.958,,,,,
144,01/23/16 11:30:00 AM,58.303,,,,,
145,01/23/16 11:45:00 AM,57.958,,,,,
146,01/23/16 12:00:00 PM,57.958,,,,,
147,01/23/16 12:15:00 PM,59.508,,,,,
148,01/23/16 12:30:00 PM,60.195,,,,,
149,01/23/16 12:45:00 PM,62.254,,,,,
150,01/23/16 01:00:00 PM,62.940,,,,,
151,01/23/16 01:15:00 PM,61.741,,,,,
152,01/23/16 01:30:00 PM,63.455,,,,,
153,01/23/16 01:45:00 PM,62.083,,,,,
154,01/23/16 02:00:00 PM,60.883,,,,,
155,01/23/16 02:15:00 PM,60.195,,,,,
156,01/23/16 02:30:00 PM,57.614,,,,,
157,01/23/16 02:45:00 PM,59.851,,,,,
158,01/23/16 03:00:00 PM,63.968,,,,,
159,01/23/16 03:15:00 PM,58.993,,,,,
160,01/23/16 03:20:27 PM,,0.42,,,,
161,01/23/16 03:30:00 PM,55.364,,,,,
162,01/23/16 03:45:00 PM,55.711,,,,,
163,01/23/16 04:00:00 PM,54.842,,,,,
164,01/23/16 04:15:00 PM,53.623,,,,,
165,01/23/16 04:30:00 PM,53.449,,,,,
166,01/23/16 04:45:00 PM,53.623,,,,,
167,01/23/16 05:00:00 PM,52.750,,,,,
168,01/23/16 05:15:00 PM,52.050,,,,,
169,01/23/16 05:30:00 PM,51.346,,,,,
170,01/23/16 05:45:00 PM,50.819,,,,,
171,01/23/16 06:00:00 PM,50.643,,,,,
172,01/23/16 06:15:00 PM,49.937,,,,,
173,01/23/16 06:30:00 PM,49.759,,,,,
174,01/23/16 06:34:20 PM,,0.43,,,,
175,01/23/16 06:45:00 PM,49.582,,,,,
176,01/23/16 07:00:00 PM,49.228,,,,,
177,01/23/16 07:15:00 PM,48.695,,,,,
178,01/23/16 07:30:00 PM,48.339,,,,,
179,01/23/16 07:45:00 PM,47.802,,,,,
180,01/23/16 08:00:00 PM,47.266,,,,,
181,01/23/16 08:15:00 PM,47.266,,,,,
182,01/23/16 08:30:00 PM,47.446,,,,,
183,01/23/16 08:45:00 PM,47.266,,,,,
184,01/23/16 09:00:00 PM,47.446,,,,,
185,01/23/16 09:15:00 PM,46.908,,,,,
186,01/23/16 09:30:00 PM,46.369,,,,,
187,01/23/16 09:45:00 PM,46.008,,,,,
188,01/23/16 10:00:00 PM,45.828,,,,,
189,01/23/16 10:15:00 PM,45.466,,,,,
190,01/23/16 10:30:00 PM,45.286,,,,,
191,01/23/16 10:45:00 PM,45.104,,,,,
192,01/23/16 11:00:00 PM,44.922,,,,,
193,01/23/16 11:15:00 PM,45.104,,,,,
194,01/23/16 11:30:00 PM,45.104,,,,,
195,01/23/16 11:45:00 PM,45.104,,,,,
196,01/24/16 12:00:00 AM,45.104,,,,,
197,01/24/16 12:15:00 AM,45.104,,,,,
198,01/24/16 12:30:00 AM,44.922,,,,,
199,01/24/16 12:45:00 AM,44.922,,,,,
200,01/24/16 01:00:00 AM,44.922,,,,,
201,01/24/16 01:15:00 AM,45.104,,,,,
202,01/24/16 01:30:00 AM,45.466,,,,,
203,01/24/16 01:45:00 AM,45.466,,,,,
204,01/24/16 02:00:00 AM,45.286,,,,,
205,01/24/16 02:15:00 AM,45.466,,,,,
206,01/24/16 02:30:00 AM,45.286,,,,,
207,01/24/16 02:45:00 AM,45.104,,,,,
208,01/24/16 03:00:00 AM,44.922,,,,,
209,01/24/16 03:15:00 AM,44.742,,,,,
210,01/24/16 03:30:00 AM,44.560,,,,,
211,01/24/16 03:44:25 AM,,0.44,,,,
212,01/24/16 03:45:00 AM,44.742,,,,,
213,01/24/16 04:00:00 AM,45.104,,,,,
214,01/24/16 04:15:00 AM,45.104,,,,,
215,01/24/16 04:30:00 AM,45.466,,,,,
216,01/24/16 04:45:00 AM,45.104,,,,,
217,01/24/16 05:00:00 AM,45.104,,,,,
218,01/24/16 05:15:00 AM,45.466,,,,,
219,01/24/16 05:30:00 AM,45.648,,,,,
220,01/24/16 05:45:00 AM,46.008,,,,,
221,01/24/16 06:00:00 AM,46.188,,,,,
222,01/24/16 06:15:00 AM,46.548,,,,,
223,01/24/16 06:30:00 AM,46.548,,,,,
224,01/24/16 06:45:00 AM,46.369,,,,,
225,01/24/16 07:00:00 AM,46.008,,,,,
226,01/24/16 07:15:00 AM,45.648,,,,,
227,01/24/16 07:30:00 AM,45.286,,,,,
228,01/24/16 07:45:00 AM,45.104,,,,,
229,01/24/16 08:00:00 AM,45.104,,,,,
230,01/24/16 08:15:00 AM,45.466,,,,,
231,01/24/16 08:30:00 AM,46.008,,,,,
232,01/24/16 08:45:00 AM,46.908,,,,,
233,01/24/16 09:00:00 AM,48.339,,,,,
234,01/24/16 09:15:00 AM,50.819,,,,,
235,01/24/16 09:30:00 AM,52.576,,,,,
236,01/24/16 09:45:00 AM,53.798,,,,,
237,01/24/16 10:00:00 AM,54.322,,,,,
238,01/24/16 10:15:00 AM,54.842,,,,,
239,01/24/16 10:30:00 AM,55.364,,,,,
240,01/24/16 10:45:00 AM,55.711,,,,,
241,01/24/16 11:00:00 AM,56.057,,,,,
242,01/24/16 11:15:00 AM,56.577,,,,,
243,01/24/16 11:30:00 AM,57.441,,,,,
244,01/24/16 11:45:00 AM,58.476,,,,,
245,01/24/16 12:00:00 PM,58.131,,,,,
246,01/24/16 12:15:00 PM,59.164,,,,,
247,01/24/16 12:30:00 PM,60.883,,,,,
248,01/24/16 12:45:00 PM,63.797,,,,,
249,01/24/16 01:00:00 PM,65.680,,,,,
250,01/24/16 01:15:00 PM,68.077,,,,,
251,01/24/16 01:30:00 PM,65.167,,,,,
252,01/24/16 01:45:00 PM,66.193,,,,,
253,01/24/16 02:00:00 PM,67.050,,,,,
254,01/24/16 02:15:00 PM,64.825,,,,,
255,01/24/16 02:30:00 PM,67.221,,,,,
256,01/24/16 02:45:00 PM,74.619,,,,,
257,01/24/16 03:00:00 PM,79.326,,,,,
258,01/24/16 03:15:00 PM,78.449,,,,,
259,01/24/16 03:30:00 PM,63.626,,,,,
260,01/24/16 03:45:00 PM,58.820,,,,,
261,01/24/16 04:00:00 PM,56.750,,,,,
262,01/24/16 04:15:00 PM,55.884,,,,,
263,01/24/16 04:30:00 PM,55.017,,,,,
264,01/24/16 04:45:00 PM,53.973,,,,,
265,01/24/16 05:00:00 PM,53.100,,,,,
266,01/24/16 05:15:00 PM,51.699,,,,,
267,01/24/16 05:30:00 PM,50.290,,,,,
268,01/24/16 05:45:00 PM,49.228,,,,,
269,01/24/16 06:00:00 PM,48.160,,,,,
270,01/24/16 06:15:00 PM,47.624,,,,,
271,01/24/16 06:30:00 PM,47.088,,,,,
272,01/24/16 06:45:00 PM,46.548,,,,,
273,01/24/16 07:00:00 PM,46.188,,,,,
274,01/24/16 07:15:00 PM,45.648,,,,,
275,01/24/16 07:30:00 PM,45.466,,,,,
276,01/24/16 07:45:00 PM,45.286,,,,,
277,01/24/16 08:00:00 PM,45.286,,,,,
278,01/24/16 08:15:00 PM,45.286,,,,,
279,01/24/16 08:30:00 PM,46.008,,,,,
280,01/24/16 08:45:00 PM,46.008,,,,,
281,01/24/16 09:00:00 PM,45.828,,,,,
282,01/24/16 09:15:00 PM,45.648,,,,,
283,01/24/16 09:30:00 PM,45.828,,,,,
284,01/24/16 09:45:00 PM,45.828,,,,,
285,01/24/16 10:00:00 PM,45.828,,,,,
286,01/24/16 10:15:00 PM,45.828,,,,,
287,01/24/16 10:30:00 PM,45.648,,,,,
288,01/24/16 10:45:00 PM,45.286,,,,,
289,01/24/16 11:00:00 PM,45.104,,,,,
290,01/24/16 11:15:00 PM,44.742,,,,,
291,01/24/16 11:30:00 PM,44.742,,,,,
292,01/24/16 11:45:00 PM,44.560,,,,,
293,01/25/16 12:00:00 AM,44.560,,,,,
294,01/25/16 12:15:00 AM,44.379,,,,,
295,01/25/16 12:30:00 AM,44.379,,,,,
296,01/25/16 12:45:00 AM,44.560,,,,,
297,01/25/16 01:00:00 AM,44.560,,,,,
298,01/25/16 01:15:00 AM,44.560,,,,,
299,01/25/16 01:30:00 AM,44.560,,,,,
300,01/25/16 01:45:00 AM,44.379,,,,,
301,01/25/16 02:00:00 AM,44.195,,,,,
302,01/25/16 02:15:00 AM,44.013,,,,,
303,01/25/16 02:30:00 AM,43.648,,,,,
304,01/25/16 02:45:00 AM,43.648,,,,,
305,01/25/16 03:00:00 AM,43.648,,,,,
306,01/25/16 03:15:00 AM,43.466,,,,,
307,01/25/16 03:30:00 AM,43.282,,,,,
308,01/25/16 03:45:00 AM,43.282,,,,,
309,01/25/16 04:00:00 AM,43.282,,,,,
310,01/25/16 04:15:00 AM,43.099,,,,,
311,01/25/16 04:30:00 AM,43.099,,,,,
312,01/25/16 04:45:00 AM,43.099,,,,,
313,01/25/16 05:00:00 AM,43.099,,,,,
314,01/25/16 05:15:00 AM,43.099,,,,,
315,01/25/16 05:30:00 AM,43.099,,,,,
316,01/25/16 05:45:00 AM,43.282,,,,,
317,01/25/16 06:00:00 AM,43.648,,,,,
318,01/25/16 06:15:00 AM,43.831,,,,,
319,01/25/16 06:30:00 AM,44.013,,,,,
320,01/25/16 06:45:00 AM,44.013,,,,,
321,01/25/16 07:00:00 AM,43.831,,,,,
322,01/25/16 07:15:00 AM,43.648,,,,,
323,01/25/16 07:30:00 AM,43.648,,,,,
324,01/25/16 07:45:00 AM,44.013,,,,,
325,01/25/16 08:00:00 AM,44.195,,,,,
326,01/25/16 08:15:00 AM,44.560,,,,,
327,01/25/16 08:30:00 AM,45.104,,,,,
328,01/25/16 08:45:00 AM,45.648,,,,,
329,01/25/16 09:00:00 AM,47.088,,,,,
330,01/25/16 09:15:00 AM,48.517,,,,,
331,01/25/16 09:30:00 AM,49.759,,,,,
332,01/25/16 09:45:00 AM,51.172,,,,,
333,01/25/16 10:00:00 AM,52.925,,,,,
334,01/25/16 10:15:00 AM,55.189,,,,,
335,01/25/16 10:30:00 AM,57.614,,,,,
336,01/25/16 10:45:00 AM,58.993,,,,,
337,01/25/16 11:00:00 AM,60.712,,,,,
338,01/25/16 11:15:00 AM,62.940,,,,,
339,01/25/16 11:30:00 AM,64.996,,,,,
340,01/25/16 11:45:00 AM,66.366,,,,,
341,01/25/16 12:00:00 PM,67.050,,,,,
342,01/25/16 12:15:00 PM,68.934,,,,,
343,01/25/16 12:30:00 PM,69.449,,,,,
344,01/25/16 12:45:00 PM,70.308,,,,,
345,01/25/16 01:00:00 PM,70.995,,,,,
346,01/25/16 01:15:00 PM,70.308,,,,,
347,01/25/16 01:30:00 PM,71.339,,,,,
348,01/25/16 01:45:00 PM,68.934,,,,,
349,01/25/16 02:00:00 PM,70.137,,,,,
350,01/25/16 02:15:00 PM,68.592,,,,,
351,01/25/16 02:30:00 PM,67.392,,,,,
352,01/25/16 02:45:00 PM,65.851,,,,,
353,01/25/16 03:00:00 PM,63.797,,,,,
354,01/25/16 03:15:00 PM,63.282,,,,,
355,01/25/16 03:18:41 PM,,,Logged,,,
356,01/25/16 03:18:49 PM,,,,Logged,,
357,01/25/16 03:19:51 PM,,,,,Logged,
358,01/25/16 03:30:00 PM,65.338,,,,,
359,01/25/16 03:45:00 PM,63.111,,,,,
360,01/25/16 04:00:00 PM,61.569,,,,,
361,01/25/16 04:15:00 PM,60.712,,,,,
362,01/25/16 04:30:00 PM,59.508,,,,,
363,01/25/16 04:45:00 PM,58.476,,,,,
364,01/25/16 05:00:00 PM,57.614,,,,,
365,01/25/16 05:15:00 PM,57.096,,,,,
366,01/25/16 05:30:00 PM,56.057,,,,,
367,01/25/16 05:45:00 PM,54.669,,,,,
368,01/25/16 06:00:00 PM,53.623,,,,,
369,01/25/16 06:15:00 PM,52.750,,,,,
370,01/25/16 06:30:00 PM,52.050,,,,,
371,01/25/16 06:45:00 PM,51.523,,,,,
372,01/25/16 07:00:00 PM,50.995,,,,,
373,01/25/16 07:15:00 PM,50.643,,,,,
374,01/25/16 07:30:00 PM,50.290,,,,,
375,01/25/16 07:45:00 PM,50.113,,,,,
376,01/25/16 08:00:00 PM,50.290,,,,,
377,01/25/16 08:15:00 PM,50.466,,,,,
378,01/25/16 08:30:00 PM,50.466,,,,,
379,01/25/16 08:45:00 PM,50.643,,,,,
380,01/25/16 09:00:00 PM,50.290,,,,,
381,01/25/16 09:15:00 PM,49.937,,,,,
382,01/25/16 09:30:00 PM,49.759,,,,,
383,01/25/16 09:45:00 PM,49.582,,,,,
384,01/25/16 10:00:00 PM,49.228,,,,,
385,01/25/16 10:15:00 PM,49.050,,,,,
386,01/25/16 10:30:00 PM,48.695,,,,,
387,01/25/16 10:45:00 PM,48.695,,,,,
388,01/25/16 11:00:00 PM,48.695,,,,,
389,01/25/16 11:15:00 PM,48.517,,,,,
390,01/25/16 11:30:00 PM,48.339,,,,,
391,01/25/16 11:45:00 PM,48.160,,,,,
392,01/26/16 12:00:00 AM,47.982,,,,,
393,01/26/16 12:15:00 AM,47.802,,,,,
394,01/26/16 12:30:00 AM,47.802,,,,,
395,01/26/16 12:45:00 AM,47.624,,,,,
396,01/26/16 01:00:00 AM,47.446,,,,,
397,01/26/16 01:15:00 AM,47.266,,,,,
398,01/26/16 01:30:00 AM,47.266,,,,,
399,01/26/16 01:45:00 AM,47.446,,,,,
400,01/26/16 02:00:00 AM,47.624,,,,,
401,01/26/16 02:15:00 AM,48.160,,,,,
402,01/26/16 02:30:00 AM,48.695,,,,,
403,01/26/16 02:45:00 AM,49.050,,,,,
404,01/26/16 03:00:00 AM,49.050,,,,,
405,01/26/16 03:15:00 AM,48.871,,,,,
406,01/26/16 03:30:00 AM,48.695,,,,,
407,01/26/16 03:45:00 AM,48.871,,,,,
408,01/26/16 04:00:00 AM,48.871,,,,,
409,01/26/16 04:15:00 AM,48.871,,,,,
410,01/26/16 04:30:00 AM,48.871,,,,,
411,01/26/16 04:45:00 AM,48.871,,,,,
412,01/26/16 05:00:00 AM,48.695,,,,,
413,01/26/16 05:15:00 AM,48.160,,,,,
414,01/26/16 05:30:00 AM,47.802,,,,,
415,01/26/16 05:45:00 AM,47.446,,,,,
416,01/26/16 06:00:00 AM,46.908,,,,,
417,01/26/16 06:15:00 AM,46.369,,,,,
418,01/26/16 06:30:00 AM,46.008,,,,,
419,01/26/16 06:45:00 AM,45.648,,,,,
420,01/26/16 07:00:00 AM,45.466,,,,,
421,01/26/16 07:15:00 AM,45.648,,,,,
422,01/26/16 07:30:00 AM,45.648,,,,,
423,01/26/16 07:45:00 AM,45.828,,,,,
424,01/26/16 08:00:00 AM,45.828,,,,,
425,01/26/16 08:15:00 AM,46.188,,,,,
426,01/26/16 08:30:00 AM,47.088,,,,,
427,01/26/16 08:45:00 AM,47.982,,,,,
428,01/26/16 09:00:00 AM,48.871,,,,,
429,01/26/16 09:15:00 AM,50.290,,,,,
430,01/26/16 09:30:00 AM,50.995,,,,,
431,01/26/16 09:45:00 AM,51.699,,,,,
432,01/26/16 10:00:00 AM,52.925,,,,,
433,01/26/16 10:15:00 AM,53.449,,,,,
434,01/26/16 10:30:00 AM,55.537,,,,,
435,01/26/16 10:45:00 AM,57.614,,,,,
436,01/26/16 11:00:00 AM,60.024,,,,,
437,01/26/16 11:15:00 AM,62.425,,,,,
438,01/26/16 11:30:00 AM,63.282,,,,,
439,01/26/16 11:45:00 AM,64.481,,,,,
440,01/26/16 12:00:00 PM,65.680,,,,,
441,01/26/16 12:15:00 PM,65.509,,,,,
442,01/26/16 12:30:00 PM,65.851,,,,,
443,01/26/16 12:40:47 PM,,,Logged,,,
444,01/26/16 12:40:50 PM,,,,Logged,,
445,01/26/16 12:41:04 PM,,,,Logged,,
446,01/26/16 12:41:34 PM,,,,Logged,,
447,01/26/16 12:41:48 PM,,,,,Logged,
448,01/26/16 12:41:49 PM,,,Logged,,,
449,01/26/16 12:41:52 PM,,0.44,,Logged,,Logged
