"Plot Title: RLSM"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10592079, SEN S/N: 10592079)","Event, units (LGR S/N: 10592079, SEN S/N: 10592079, LBL: RLSM)","Coupler Detached (LGR S/N: 10592079, SEN S/N: 10592079)","End Of File (LGR S/N: 10592079, SEN S/N: 10592079)"
243,12/20/17 06:42:57 PM,38.061,,,
244,12/20/17 07:42:57 PM,38.061,,,
245,12/20/17 08:42:57 PM,38.629,,,
246,12/20/17 09:42:57 PM,38.818,,,
247,12/20/17 10:42:57 PM,36.145,,,
248,12/20/17 11:42:57 PM,36.338,,,
249,12/21/17 12:42:57 AM,35.758,,,
250,12/21/17 01:42:57 AM,39.384,,,
251,12/21/17 02:42:57 AM,37.488,,,
252,12/21/17 03:42:57 AM,37.870,,,
253,12/21/17 04:42:57 AM,39.007,,,
254,12/21/17 05:42:57 AM,39.007,,,
255,12/21/17 06:42:57 AM,37.679,,,
256,12/21/17 07:42:57 AM,39.760,,,
257,12/21/17 08:42:57 AM,45.828,,,
258,12/21/17 09:42:57 AM,58.820,,,
259,12/21/17 10:42:57 AM,83.579,,,
260,12/21/17 11:42:57 AM,92.926,,,
261,12/21/17 12:42:57 PM,89.384,,,
262,12/21/17 01:42:57 PM,79.151,,,
263,12/21/17 02:42:57 PM,62.940,,,
264,12/21/17 03:42:57 PM,52.225,,,
265,12/21/17 04:42:57 PM,44.379,,,
266,12/21/17 05:42:57 PM,38.629,,,
267,12/21/17 06:42:57 PM,36.723,,,
268,12/21/17 07:42:57 PM,37.107,,,
269,12/21/17 08:42:57 PM,38.818,,,
270,12/21/17 09:42:57 PM,37.297,,,
271,12/21/17 10:42:57 PM,35.951,,,
272,12/21/17 11:42:57 PM,36.338,,,
273,12/22/17 12:42:57 AM,33.805,,,
274,12/22/17 01:42:57 AM,34.394,,,
275,12/22/17 02:42:57 AM,39.573,,,
276,12/22/17 03:42:57 AM,39.384,,,
277,12/22/17 04:42:57 AM,37.488,,,
278,12/22/17 05:42:57 AM,34.590,,,
279,12/22/17 06:42:57 AM,36.531,,,
280,12/22/17 07:42:57 AM,41.439,,,
281,12/22/17 08:42:57 AM,50.113,,,
282,12/22/17 09:42:57 AM,61.912,,,
283,12/22/17 10:42:57 AM,81.442,,,
284,12/22/17 11:42:57 AM,87.552,,,
285,12/22/17 12:42:57 PM,90.309,,,
286,12/22/17 01:42:57 PM,78.800,,,
287,12/22/17 02:42:57 PM,64.996,,,
288,12/22/17 03:42:57 PM,57.096,,,
289,12/22/17 04:42:57 PM,48.160,,,
290,12/22/17 05:42:57 PM,43.466,,,
291,12/22/17 06:42:57 PM,44.742,,,
292,12/22/17 07:42:57 PM,44.922,,,
293,12/22/17 08:42:57 PM,45.648,,,
294,12/22/17 09:42:57 PM,47.446,,,
295,12/22/17 10:42:57 PM,46.369,,,
296,12/22/17 11:42:57 PM,44.922,,,
297,12/23/17 12:42:57 AM,42.732,,,
298,12/23/17 01:42:57 AM,41.810,,,
299,12/23/17 02:42:57 AM,44.922,,,
300,12/23/17 03:42:57 AM,41.994,,,
301,12/23/17 04:42:57 AM,40.509,,,
302,12/23/17 05:42:57 AM,42.363,,,
303,12/23/17 06:42:57 AM,43.099,,,
304,12/23/17 07:42:57 AM,44.013,,,
305,12/23/17 08:42:57 AM,47.982,,,
306,12/23/17 09:42:57 AM,57.614,,,
307,12/23/17 10:42:57 AM,75.484,,,
308,12/23/17 11:42:57 AM,91.425,,,
309,12/23/17 12:42:57 PM,91.053,,,
310,12/23/17 01:42:57 PM,69.622,,,
311,12/23/17 02:42:57 PM,63.797,,,
312,12/23/17 03:42:57 PM,59.337,,,
313,12/23/17 04:42:57 PM,52.750,,,
314,12/23/17 05:42:57 PM,49.582,,,
315,12/23/17 06:42:57 PM,49.228,,,
316,12/23/17 07:42:57 PM,49.404,,,
317,12/23/17 08:42:57 PM,48.871,,,
318,12/23/17 09:42:57 PM,50.290,,,
319,12/23/17 10:42:57 PM,49.228,,,
320,12/23/17 11:42:57 PM,48.339,,,
321,12/24/17 12:42:57 AM,47.982,,,
322,12/24/17 01:42:57 AM,47.982,,,
323,12/24/17 02:42:57 AM,47.624,,,
324,12/24/17 03:42:57 AM,48.517,,,
325,12/24/17 04:42:57 AM,47.446,,,
326,12/24/17 05:42:57 AM,47.802,,,
327,12/24/17 06:42:57 AM,48.339,,,
328,12/24/17 07:42:57 AM,50.113,,,
329,12/24/17 08:42:57 AM,48.871,,,
330,12/24/17 09:42:57 AM,51.346,,,
331,12/24/17 10:42:57 AM,56.577,,,
332,12/24/17 11:42:57 AM,61.741,,,
333,12/24/17 12:42:57 PM,55.884,,,
334,12/24/17 01:42:57 PM,55.017,,,
335,12/24/17 02:42:57 PM,58.303,,,
336,12/24/17 03:42:57 PM,55.884,,,
337,12/24/17 04:42:57 PM,51.523,,,
338,12/24/17 05:42:57 PM,49.404,,,
339,12/24/17 06:42:57 PM,49.050,,,
340,12/24/17 07:42:57 PM,49.404,,,
341,12/24/17 08:42:57 PM,50.466,,,
342,12/24/17 09:42:57 PM,50.466,,,
343,12/24/17 10:42:57 PM,51.523,,,
344,12/24/17 11:42:57 PM,50.995,,,
345,12/25/17 12:42:57 AM,48.517,,,
346,12/25/17 01:42:57 AM,47.088,,,
347,12/25/17 02:42:57 AM,46.548,,,
348,12/25/17 03:42:57 AM,47.088,,,
349,12/25/17 04:42:57 AM,50.819,,,
350,12/25/17 05:42:57 AM,50.113,,,
351,12/25/17 06:42:57 AM,49.228,,,
352,12/25/17 07:42:57 AM,49.404,,,
353,12/25/17 08:42:57 AM,56.923,,,
354,12/25/17 09:42:57 AM,57.268,,,
355,12/25/17 10:42:57 AM,65.851,,,
356,12/25/17 11:42:57 AM,73.407,,,
357,12/25/17 12:42:57 PM,93.115,,,
358,12/25/17 01:42:57 PM,70.651,,,
359,12/25/17 02:42:57 PM,64.481,,,
360,12/25/17 03:42:57 PM,64.481,,,
361,12/25/17 04:42:57 PM,59.851,,,
362,12/25/17 05:42:57 PM,57.958,,,
363,12/25/17 06:42:57 PM,56.577,,,
364,12/25/17 07:42:57 PM,55.189,,,
365,12/25/17 08:42:57 PM,54.147,,,
366,12/25/17 09:42:57 PM,56.404,,,
367,12/25/17 10:42:57 PM,55.537,,,
368,12/25/17 11:42:57 PM,55.884,,,
369,12/26/17 12:42:57 AM,54.322,,,
370,12/26/17 01:42:57 AM,54.669,,,
371,12/26/17 02:42:57 AM,51.523,,,
372,12/26/17 03:42:57 AM,48.339,,,
373,12/26/17 04:42:57 AM,49.050,,,
374,12/26/17 05:42:57 AM,47.624,,,
375,12/26/17 06:42:57 AM,48.871,,,
376,12/26/17 07:42:57 AM,48.517,,,
377,12/26/17 08:42:57 AM,57.096,,,
378,12/26/17 09:42:57 AM,67.564,,,
379,12/26/17 10:42:57 AM,93.304,,,
380,12/26/17 11:42:57 AM,100.683,,,
381,12/26/17 12:42:57 PM,101.484,,,
382,12/26/17 01:42:57 PM,93.304,,,
383,12/26/17 02:42:57 PM,77.574,,,
384,12/26/17 03:42:57 PM,66.366,,,
385,12/26/17 04:42:57 PM,57.096,,,
386,12/26/17 05:42:57 PM,50.995,,,
387,12/26/17 06:42:57 PM,48.339,,,
388,12/26/17 07:42:57 PM,46.369,,,
389,12/26/17 08:42:57 PM,47.802,,,
390,12/26/17 09:42:57 PM,50.113,,,
391,12/26/17 10:42:57 PM,47.446,,,
392,12/26/17 11:42:57 PM,47.266,,,
393,12/27/17 12:42:57 AM,45.104,,,
394,12/27/17 01:42:57 AM,48.871,,,
395,12/27/17 02:42:57 AM,46.369,,,
396,12/27/17 03:42:57 AM,45.466,,,
397,12/27/17 04:42:57 AM,44.742,,,
398,12/27/17 05:42:57 AM,47.266,,,
399,12/27/17 06:42:57 AM,48.695,,,
400,12/27/17 07:42:57 AM,49.759,,,
401,12/27/17 08:42:57 AM,58.303,,,
402,12/27/17 09:42:57 AM,68.763,,,
403,12/27/17 10:42:57 AM,93.873,,,
404,12/27/17 11:42:57 AM,96.555,,,
405,12/27/17 12:42:57 PM,96.555,,,
406,12/27/17 01:42:57 PM,84.295,,,
407,12/27/17 02:42:57 PM,77.050,,,
408,12/27/17 03:42:57 PM,66.022,,,
409,12/27/17 04:42:57 PM,57.958,,,
410,12/27/17 05:42:57 PM,53.100,,,
411,12/27/17 06:42:57 PM,52.750,,,
412,12/27/17 07:42:57 PM,51.523,,,
413,12/27/17 08:42:57 PM,51.172,,,
414,12/27/17 09:42:57 PM,50.819,,,
415,12/27/17 10:42:57 PM,50.995,,,
416,12/27/17 11:42:57 PM,50.113,,,
417,12/28/17 12:42:57 AM,46.369,,,
418,12/28/17 01:42:57 AM,47.982,,,
419,12/28/17 02:42:57 AM,47.088,,,
420,12/28/17 03:42:57 AM,47.446,,,
421,12/28/17 04:42:57 AM,48.871,,,
422,12/28/17 05:42:57 AM,49.582,,,
423,12/28/17 06:42:57 AM,48.339,,,
424,12/28/17 07:42:57 AM,47.446,,,
425,12/28/17 08:42:57 AM,56.750,,,
426,12/28/17 09:42:57 AM,68.934,,,
427,12/28/17 10:42:57 AM,95.016,,,
428,12/28/17 11:42:57 AM,103.923,,,
429,12/28/17 12:42:57 PM,101.685,,,
430,12/28/17 01:42:57 PM,91.987,,,
431,12/28/17 02:42:57 PM,78.800,,,
432,12/28/17 03:42:57 PM,68.934,,,
433,12/28/17 04:42:57 PM,61.054,,,
434,12/28/17 05:42:57 PM,56.923,,,
435,12/28/17 06:42:57 PM,58.131,,,
436,12/28/17 07:42:57 PM,55.017,,,
437,12/28/17 08:42:57 PM,56.923,,,
438,12/28/17 09:42:57 PM,57.958,,,
439,12/28/17 10:42:57 PM,56.750,,,
440,12/28/17 11:42:57 PM,58.476,,,
441,12/29/17 12:42:57 AM,58.647,,,
442,12/29/17 01:42:57 AM,55.537,,,
443,12/29/17 02:42:57 AM,56.923,,,
444,12/29/17 03:42:57 AM,56.057,,,
445,12/29/17 04:42:57 AM,53.274,,,
446,12/29/17 05:42:57 AM,52.401,,,
447,12/29/17 06:42:57 AM,55.189,,,
448,12/29/17 07:42:57 AM,54.842,,,
449,12/29/17 08:42:57 AM,59.851,,,
450,12/29/17 09:42:57 AM,75.139,,,
451,12/29/17 10:42:57 AM,99.885,,,
452,12/29/17 11:42:57 AM,109.828,,,
453,12/29/17 12:42:57 PM,103.307,,,
454,12/29/17 01:42:57 PM,99.291,,,
455,12/29/17 02:42:57 PM,86.277,,,
456,12/29/17 03:42:57 PM,74.098,,,
457,12/29/17 04:42:57 PM,64.825,,,
458,12/29/17 05:42:57 PM,59.164,,,
459,12/29/17 06:42:57 PM,58.820,,,
460,12/29/17 07:42:57 PM,58.131,,,
461,12/29/17 08:42:57 PM,58.303,,,
462,12/29/17 09:42:57 PM,58.820,,,
463,12/29/17 10:42:57 PM,58.476,,,
464,12/29/17 11:42:57 PM,58.131,,,
465,12/30/17 12:42:57 AM,58.476,,,
466,12/30/17 01:42:57 AM,58.303,,,
467,12/30/17 02:42:57 AM,58.303,,,
468,12/30/17 03:42:57 AM,55.884,,,
469,12/30/17 04:42:57 AM,49.759,,,
470,12/30/17 05:42:57 AM,54.495,,,
471,12/30/17 06:42:57 AM,54.322,,,
472,12/30/17 07:42:57 AM,56.404,,,
473,12/30/17 08:42:57 AM,60.712,,,
474,12/30/17 09:42:57 AM,71.856,,,
475,12/30/17 10:42:57 AM,89.384,,,
476,12/30/17 11:42:57 AM,95.400,,,
477,12/30/17 12:42:57 PM,95.016,,,
478,12/30/17 01:42:57 PM,95.976,,,
479,12/30/17 02:42:57 PM,70.824,,,
480,12/30/17 03:42:57 PM,68.248,,,
481,12/30/17 04:42:57 PM,59.851,,,
482,12/30/17 05:42:57 PM,54.842,,,
483,12/30/17 06:42:57 PM,55.189,,,
484,12/30/17 07:42:57 PM,54.842,,,
485,12/30/17 08:42:57 PM,55.364,,,
486,12/30/17 09:42:57 PM,53.449,,,
487,12/30/17 10:42:57 PM,56.750,,,
488,12/30/17 11:42:57 PM,56.057,,,
489,12/31/17 12:42:57 AM,55.364,,,
490,12/31/17 01:42:57 AM,56.057,,,
491,12/31/17 02:42:57 AM,56.057,,,
492,12/31/17 03:42:57 AM,55.711,,,
493,12/31/17 04:42:57 AM,55.364,,,
494,12/31/17 05:42:57 AM,54.669,,,
495,12/31/17 06:42:57 AM,49.228,,,
496,12/31/17 07:42:57 AM,48.339,,,
497,12/31/17 08:42:57 AM,50.643,,,
498,12/31/17 09:42:57 AM,59.508,,,
499,12/31/17 10:42:57 AM,71.512,,,
500,12/31/17 11:42:57 AM,62.425,,,
501,12/31/17 12:42:57 PM,62.425,,,
502,12/31/17 01:42:57 PM,54.842,,,
503,12/31/17 02:42:57 PM,53.449,,,
504,12/31/17 03:42:57 PM,52.576,,,
505,12/31/17 04:42:57 PM,51.523,,,
506,12/31/17 05:42:57 PM,49.937,,,
507,12/31/17 06:42:57 PM,49.582,,,
508,12/31/17 07:42:57 PM,49.228,,,
509,12/31/17 08:42:57 PM,49.228,,,
510,12/31/17 09:42:57 PM,49.050,,,
511,12/31/17 10:42:57 PM,49.404,,,
512,12/31/17 11:42:57 PM,49.404,,,
513,01/01/18 12:42:57 AM,47.802,,,
