"Plot Title: Landing"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
312,12/23/12 11:51:27 AM,3.10,,,,
313,12/23/12 11:53:07 AM,3.11,,,,
314,12/23/12 11:53:08 AM,3.12,,,,
315,12/23/12 11:55:10 AM,3.13,,,,
316,12/23/12 11:55:11 AM,3.14,,,,
317,12/23/12 11:56:52 AM,3.15,,,,
318,12/23/12 11:59:02 AM,3.16,,,,
319,12/23/12 12:01:31 PM,3.17,,,,
320,12/23/12 12:05:00 PM,3.18,,,,
321,12/23/12 12:09:02 PM,3.19,,,,
322,12/23/12 12:13:33 PM,3.20,,,,
323,12/23/12 12:15:17 PM,3.21,,,,
324,12/23/12 12:18:38 PM,3.22,,,,
325,12/23/12 12:20:50 PM,3.23,,,,
326,12/23/12 12:22:09 PM,3.24,,,,
327,12/23/12 12:23:17 PM,3.25,,,,
328,12/23/12 12:25:02 PM,3.26,,,,
329,12/23/12 12:26:16 PM,3.27,,,,
330,12/23/12 12:27:31 PM,3.28,,,,
331,12/23/12 12:29:05 PM,3.29,,,,
332,12/23/12 12:31:00 PM,3.30,,,,
333,12/23/12 12:32:36 PM,3.31,,,,
334,12/23/12 12:34:40 PM,3.32,,,,
335,12/23/12 12:34:41 PM,3.33,,,,
336,12/23/12 12:35:52 PM,3.34,,,,
337,12/23/12 12:36:55 PM,3.35,,,,
338,12/23/12 12:36:56 PM,3.36,,,,
339,12/23/12 12:37:47 PM,3.37,,,,
340,12/23/12 12:39:01 PM,3.38,,,,
341,12/23/12 12:40:07 PM,3.39,,,,
342,12/23/12 12:42:12 PM,3.40,,,,
343,12/23/12 12:43:47 PM,3.41,,,,
344,12/23/12 12:45:16 PM,3.42,,,,
345,12/23/12 12:47:30 PM,3.43,,,,
346,12/23/12 12:47:31 PM,3.44,,,,
347,12/23/12 12:49:08 PM,3.45,,,,
348,12/23/12 12:49:38 PM,3.46,,,,
349,12/23/12 12:50:24 PM,3.47,,,,
350,12/23/12 12:51:13 PM,3.48,,,,
351,12/23/12 12:51:14 PM,3.49,,,,
352,12/23/12 12:52:05 PM,3.50,,,,
353,12/23/12 12:52:51 PM,3.51,,,,
354,12/23/12 12:52:52 PM,3.52,,,,
355,12/23/12 12:53:58 PM,3.53,,,,
356,12/23/12 12:54:49 PM,3.54,,,,
357,12/23/12 12:55:40 PM,3.55,,,,
358,12/23/12 12:56:54 PM,3.56,,,,
359,12/23/12 12:58:00 PM,3.57,,,,
360,12/23/12 12:58:46 PM,3.58,,,,
361,12/23/12 12:59:37 PM,3.59,,,,
362,12/23/12 12:59:38 PM,3.60,,,,
363,12/23/12 01:00:45 PM,3.61,,,,
364,12/23/12 01:02:30 PM,3.62,,,,
365,12/23/12 01:07:00 PM,3.63,,,,
366,12/23/12 01:13:10 PM,3.64,,,,
367,12/23/12 01:18:58 PM,3.65,,,,
368,12/23/12 01:29:56 PM,3.66,,,,
369,12/23/12 01:35:00 PM,3.67,,,,
370,12/23/12 01:44:50 PM,3.68,,,,
371,12/23/12 01:48:35 PM,3.69,,,,
372,12/23/12 01:51:51 PM,3.70,,,,
373,12/23/12 01:52:37 PM,3.71,,,,
374,12/23/12 01:53:06 PM,3.72,,,,
375,12/23/12 01:53:49 PM,3.73,,,,
376,12/23/12 01:54:33 PM,3.74,,,,
377,12/23/12 01:55:33 PM,3.75,,,,
378,12/23/12 01:57:32 PM,3.76,,,,
379,12/23/12 01:59:10 PM,3.77,,,,
380,12/23/12 02:00:00 PM,3.78,,,,
381,12/23/12 02:01:04 PM,3.79,,,,
382,12/23/12 02:04:10 PM,3.80,,,,
383,12/23/12 02:04:55 PM,3.81,,,,
384,12/23/12 02:05:59 PM,3.82,,,,
385,12/23/12 02:07:10 PM,3.83,,,,
386,12/23/12 02:11:10 PM,3.84,,,,
387,12/23/12 02:16:58 PM,3.85,,,,
388,12/23/12 02:20:09 PM,3.86,,,,
389,12/23/12 02:21:27 PM,3.87,,,,
390,12/23/12 02:21:28 PM,3.88,,,,
391,12/23/12 02:24:49 PM,3.89,,,,
392,12/23/12 02:27:04 PM,3.90,,,,
393,12/23/12 02:28:24 PM,3.91,,,,
394,12/23/12 02:29:18 PM,3.92,,,,
395,12/23/12 02:32:43 PM,3.93,,,,
396,12/23/12 02:37:01 PM,3.94,,,,
397,12/23/12 02:37:02 PM,3.95,,,,
398,12/23/12 02:41:29 PM,3.96,,,,
399,12/23/12 02:43:08 PM,3.97,,,,
400,12/23/12 02:44:21 PM,3.98,,,,
401,12/23/12 02:46:18 PM,3.99,,,,
402,12/23/12 02:49:20 PM,4.00,,,,
403,12/23/12 02:49:21 PM,4.01,,,,
404,12/23/12 03:03:23 PM,4.02,,,,
405,12/23/12 03:03:24 PM,4.03,,,,
406,12/23/12 03:08:20 PM,4.04,,,,
407,12/23/12 03:09:00 PM,4.05,,,,
408,12/23/12 03:09:34 PM,4.06,,,,
409,12/23/12 03:11:23 PM,4.07,,,,
410,12/23/12 03:14:38 PM,4.08,,,,
411,12/23/12 03:16:53 PM,4.09,,,,
412,12/23/12 03:19:13 PM,4.10,,,,
413,12/23/12 03:20:05 PM,4.11,,,,
414,12/23/12 03:21:09 PM,4.12,,,,
415,12/23/12 03:22:17 PM,4.13,,,,
416,12/23/12 03:24:50 PM,4.14,,,,
417,12/23/12 03:26:36 PM,4.15,,,,
418,12/23/12 03:28:38 PM,4.16,,,,
419,12/23/12 03:29:12 PM,4.17,,,,
420,12/23/12 03:29:38 PM,4.18,,,,
421,12/23/12 03:30:02 PM,4.19,,,,
422,12/23/12 03:30:03 PM,4.20,,,,
423,12/23/12 03:31:15 PM,4.21,,,,
424,12/23/12 03:31:56 PM,4.22,,,,
425,12/23/12 03:33:25 PM,4.23,,,,
426,12/23/12 03:34:54 PM,4.24,,,,
427,12/23/12 03:36:32 PM,4.25,,,,
428,12/23/12 03:36:33 PM,4.26,,,,
429,12/23/12 03:38:10 PM,4.27,,,,
430,12/23/12 03:39:57 PM,4.28,,,,
431,12/23/12 03:40:52 PM,4.29,,,,
432,12/23/12 03:40:53 PM,4.30,,,,
433,12/23/12 03:42:01 PM,4.31,,,,
434,12/23/12 03:43:01 PM,4.32,,,,
435,12/23/12 03:43:02 PM,4.33,,,,
436,12/23/12 03:43:57 PM,4.34,,,,
437,12/23/12 03:44:47 PM,4.35,,,,
438,12/23/12 03:45:49 PM,4.36,,,,
439,12/23/12 03:46:42 PM,4.37,,,,
440,12/23/12 03:47:31 PM,4.38,,,,
441,12/23/12 03:48:07 PM,4.39,,,,
442,12/23/12 03:48:42 PM,4.40,,,,
443,12/23/12 03:49:15 PM,4.41,,,,
444,12/23/12 03:49:59 PM,4.42,,,,
445,12/23/12 03:50:00 PM,4.43,,,,
446,12/23/12 03:50:31 PM,4.44,,,,
447,12/23/12 03:50:32 PM,4.45,,,,
448,12/23/12 03:51:18 PM,4.46,,,,
