"Plot Title: Range"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20309219, SEN S/N: 20309219, LBL: F)","Event, units (LGR S/N: 20309219, SEN S/N: 20309219)","End Of File (LGR S/N: 20309219, SEN S/N: 20309219)"
225,03/19/19 12:00:00 AM,86.097,,
226,03/19/19 12:15:00 AM,101.887,,
227,03/19/19 12:30:00 AM,86.097,,
228,03/19/19 12:45:00 AM,61.227,,
229,03/19/19 01:00:00 AM,86.277,,
230,03/19/19 01:15:00 AM,152.793,,
231,03/19/19 01:30:00 AM,148.145,,
232,03/19/19 01:45:00 AM,72.891,,
233,03/19/19 02:00:00 AM,153.163,,
234,03/19/19 02:15:00 AM,184.811,,
235,03/19/19 02:30:00 AM,56.057,,
236,03/19/19 02:45:00 AM,23.436,,
237,03/19/19 03:00:00 AM,61.054,,
238,03/19/19 03:15:00 AM,50.995,,
239,03/19/19 03:30:00 AM,86.641,,
240,03/19/19 03:45:00 AM,102.290,,
241,03/19/19 04:00:00 AM,168.048,,
242,03/19/19 04:15:00 AM,4.197,,
243,03/19/19 04:30:00 AM,156.592,,
244,03/19/19 04:45:00 AM,24.093,,
245,03/19/19 05:00:00 AM,107.895,,
246,03/19/19 05:15:00 AM,70.995,,
247,03/19/19 05:30:00 AM,86.641,,
248,03/19/19 05:45:00 AM,108.964,,
249,03/19/19 06:00:00 AM,171.367,,
250,03/19/19 06:15:00 AM,57.268,,
251,03/19/19 06:30:00 AM,131.765,,
252,03/19/19 06:45:00 AM,23.875,,
253,03/19/19 07:00:00 AM,25.390,,
254,03/19/19 07:15:00 AM,64.652,,
255,03/19/19 07:30:00 AM,86.823,,
256,03/19/19 07:45:00 AM,29.790,,
257,03/19/19 08:00:00 AM,169.923,,
258,03/19/19 08:15:00 AM,4.197,,
259,03/19/19 08:30:00 AM,125.353,,
260,03/19/19 08:45:00 AM,22.552,,
261,03/19/19 09:00:00 AM,49.937,,
262,03/19/19 09:15:00 AM,27.302,,
263,03/19/19 09:30:00 AM,83.221,,
264,03/19/19 09:45:00 AM,26.458,,
265,03/19/19 10:00:00 AM,38.250,,
266,03/19/19 10:15:00 AM,32.218,,
267,03/19/19 10:30:00 AM,86.097,,
268,03/19/19 10:45:00 AM,104.954,,
269,03/19/19 11:00:00 AM,86.097,,
270,03/19/19 11:15:00 AM,88.833,,
271,03/19/19 11:30:00 AM,86.097,,
272,03/19/19 11:45:00 AM,84.834,,
273,03/19/19 12:00:00 PM,86.097,,
274,03/19/19 12:15:00 PM,97.916,,
275,03/19/19 12:30:00 PM,86.277,,
276,03/19/19 12:45:00 PM,217.571,,
277,03/19/19 01:00:00 PM,165.774,,
278,03/19/19 01:15:00 PM,184.811,,
279,03/19/19 01:30:00 PM,62.254,,
280,03/19/19 01:45:00 PM,21.659,,
281,03/19/19 02:00:00 PM,10.278,,
282,03/19/19 02:15:00 PM,27.511,,
283,03/19/19 02:30:00 PM,61.054,,
284,03/19/19 02:45:00 PM,27.721,,
285,03/19/19 03:00:00 PM,199.501,,
286,03/19/19 03:15:00 PM,34.981,,
287,03/19/19 03:30:00 PM,86.277,,
288,03/19/19 03:45:00 PM,89.938,,
289,03/19/19 04:00:00 PM,149.896,,
290,03/19/19 04:15:00 PM,57.268,,
291,03/19/19 04:30:00 PM,-38.870,,
292,03/19/19 04:45:00 PM,20.529,,
293,03/19/19 05:00:00 PM,156.592,,
294,03/19/19 05:15:00 PM,20.757,,
295,03/19/19 05:30:00 PM,69.793,,
296,03/19/19 05:45:00 PM,20.757,,
297,03/19/19 06:00:00 PM,65.680,,
298,03/19/19 06:15:00 PM,20.757,,
299,03/19/19 06:30:00 PM,141.219,,
300,03/19/19 06:45:00 PM,20.529,,
301,03/19/19 07:00:00 PM,178.552,,
302,03/19/19 07:15:00 PM,20.757,,
303,03/19/19 07:30:00 PM,67.735,,
304,03/19/19 07:45:00 PM,20.302,,
305,03/19/19 08:00:00 PM,193.082,,
306,03/19/19 08:15:00 PM,20.302,,
307,03/19/19 08:30:00 PM,327.231,,
308,03/19/19 08:45:00 PM,19.382,,
309,03/19/19 09:00:00 PM,257.452,,
310,03/19/19 09:15:00 PM,19.382,,
311,03/19/19 09:30:00 PM,47.624,,
312,03/19/19 09:45:00 PM,12.607,,
313,03/19/19 10:00:00 PM,133.452,,
314,03/19/19 10:15:00 PM,203.364,,
315,03/19/19 10:30:00 PM,147.114,,
316,03/19/19 10:45:00 PM,72.891,,
317,03/19/19 11:00:00 PM,141.534,,
318,03/19/19 11:15:00 PM,217.571,,
319,03/19/19 11:30:00 PM,147.456,,
320,03/19/19 11:45:00 PM,95.976,,
321,03/20/19 12:00:00 AM,140.592,,
322,03/20/19 12:15:00 AM,173.341,,
323,03/20/19 12:30:00 AM,164.885,,
324,03/20/19 12:45:00 AM,184.811,,
325,03/20/19 01:00:00 AM,62.940,,
326,03/20/19 01:15:00 AM,23.436,,
327,03/20/19 01:30:00 AM,83.221,,
328,03/20/19 01:45:00 AM,59.164,,
329,03/20/19 02:00:00 AM,86.641,,
330,03/20/19 02:15:00 AM,64.652,,
331,03/20/19 02:30:00 AM,160.612,,
332,03/20/19 02:45:00 AM,4.197,,
333,03/20/19 03:00:00 AM,67.735,,
334,03/20/19 03:15:00 AM,22.552,,
335,03/20/19 03:30:00 AM,140.281,,
336,03/20/19 03:45:00 AM,62.425,,
337,03/20/19 04:00:00 AM,86.641,,
338,03/20/19 04:15:00 AM,-29.598,,
339,03/20/19 04:30:00 AM,164.008,,
340,03/20/19 04:45:00 AM,57.268,,
341,03/20/19 05:00:00 AM,48.339,,
342,03/20/19 05:15:00 AM,22.995,,
343,03/20/19 05:30:00 AM,25.390,,
344,03/20/19 05:45:00 AM,54.322,,
345,03/20/19 06:00:00 AM,86.459,,
346,03/20/19 06:15:00 AM,405.693,,
347,03/20/19 06:30:00 AM,160.200,,
348,03/20/19 06:45:00 AM,4.197,,
349,03/20/19 07:00:00 AM,71.168,,
350,03/20/19 07:15:00 AM,22.107,,
351,03/20/19 07:30:00 AM,61.054,,
352,03/20/19 07:45:00 AM,54.147,,
353,03/20/19 08:00:00 AM,86.459,,
354,03/20/19 08:15:00 AM,11.581,,
355,03/20/19 08:30:00 AM,156.202,,
356,03/20/19 08:45:00 AM,57.268,,
357,03/20/19 09:00:00 AM,-7.044,,
358,03/20/19 09:15:00 AM,23.436,,
359,03/20/19 09:30:00 AM,38.250,,
360,03/20/19 09:45:00 AM,53.274,,
361,03/20/19 10:00:00 AM,86.641,,
362,03/20/19 10:15:00 AM,81.266,,
363,03/20/19 10:30:00 AM,168.048,,
