"Plot Title: HS"
"#","Date Time, GMT-08:00","Event, inches (LGR S/N: 10592078, SEN S/N: 10592078, LBL: HS)","Coupler Attached (LGR S/N: 10592078, SEN S/N: 10592078)","Stopped (LGR S/N: 10592078, SEN S/N: 10592078)","End Of File (LGR S/N: 10592078, SEN S/N: 10592078)"
174,02/08/15 07:46:27 AM,173.00,,,
175,02/08/15 07:49:22 AM,174.00,,,
176,02/08/15 07:56:53 AM,175.00,,,
177,02/08/15 08:03:42 AM,176.00,,,
178,02/08/15 08:07:00 AM,177.00,,,
179,02/08/15 08:09:48 AM,178.00,,,
180,02/08/15 08:14:05 AM,179.00,,,
181,02/08/15 08:14:59 AM,180.00,,,
182,02/08/15 08:15:56 AM,181.00,,,
183,02/08/15 08:17:43 AM,182.00,,,
184,02/08/15 08:19:40 AM,183.00,,,
185,02/08/15 08:21:45 AM,184.00,,,
186,02/08/15 08:22:21 AM,185.00,,,
187,02/08/15 08:22:35 AM,186.00,,,
188,02/08/15 08:22:48 AM,187.00,,,
189,02/08/15 08:24:03 AM,188.00,,,
190,02/08/15 08:25:49 AM,189.00,,,
191,02/08/15 08:26:43 AM,190.00,,,
192,02/08/15 08:29:07 AM,191.00,,,
193,02/08/15 08:30:02 AM,192.00,,,
194,02/08/15 08:30:57 AM,193.00,,,
195,02/08/15 08:33:36 AM,194.00,,,
196,02/08/15 10:18:22 AM,195.00,,,
197,02/08/15 10:21:29 AM,196.00,,,
198,02/08/15 10:22:32 AM,197.00,,,
199,02/08/15 10:26:14 AM,198.00,,,
200,02/08/15 10:29:44 AM,199.00,,,
201,02/08/15 10:31:49 AM,200.00,,,
202,02/08/15 10:35:42 AM,201.00,,,
203,02/08/15 10:36:37 AM,202.00,,,
204,02/08/15 10:37:51 AM,203.00,,,
205,02/08/15 10:47:56 AM,204.00,,,
206,02/08/15 11:02:11 AM,205.00,,,
207,02/08/15 11:15:21 AM,206.00,,,
208,02/08/15 11:17:57 AM,207.00,,,
209,02/08/15 11:19:22 AM,208.00,,,
210,02/08/15 11:19:56 AM,209.00,,,
211,02/08/15 11:21:42 AM,210.00,,,
212,02/08/15 11:45:25 AM,211.00,,,
213,02/08/15 11:53:29 AM,212.00,,,
214,02/08/15 11:57:24 AM,213.00,,,
215,02/08/15 12:06:13 PM,214.00,,,
216,02/08/15 12:19:09 PM,215.00,,,
217,02/08/15 12:21:39 PM,216.00,,,
218,02/08/15 12:24:29 PM,217.00,,,
219,02/08/15 12:41:07 PM,218.00,,,
220,02/08/15 12:51:14 PM,219.00,,,
221,02/08/15 12:53:38 PM,220.00,,,
222,02/08/15 01:14:31 PM,221.00,,,
223,02/08/15 01:41:33 PM,222.00,,,
224,02/08/15 02:06:31 PM,223.00,,,
225,02/08/15 02:07:02 PM,224.00,,,
226,02/08/15 02:07:58 PM,225.00,,,
227,02/08/15 02:08:52 PM,226.00,,,
228,02/08/15 02:11:22 PM,227.00,,,
229,02/08/15 02:16:50 PM,228.00,,,
230,02/08/15 03:18:04 PM,229.00,,,
231,02/08/15 11:07:17 PM,230.00,,,
232,02/08/15 11:08:57 PM,231.00,,,
233,02/08/15 11:25:29 PM,232.00,,,
234,02/08/15 11:26:13 PM,233.00,,,
235,02/09/15 09:53:42 AM,234.00,,,
236,02/11/15 09:42:55 AM,,Logged,,
237,02/11/15 09:43:27 AM,234.00,,Logged,Logged
