"Plot Title: UNF"
"#","Date Time, GMT-07:00","Event, units (LGR S/N: 10592083, SEN S/N: 10592083, LBL: UNF)","Coupler Attached (LGR S/N: 10592083, SEN S/N: 10592083)","Host Connected (LGR S/N: 10592083, SEN S/N: 10592083)","End Of File (LGR S/N: 10592083, SEN S/N: 10592083)"
65,09/19/40 12:05:27 PM,0.64,,,
66,09/19/40 12:07:41 PM,0.65,,,
67,09/19/40 12:09:35 PM,0.66,,,
68,09/19/40 12:11:48 PM,0.67,,,
69,09/19/40 12:13:12 PM,0.68,,,
70,09/19/40 12:16:19 PM,0.69,,,
71,09/19/40 12:18:14 PM,0.70,,,
72,09/19/40 12:20:20 PM,0.71,,,
73,09/19/40 12:22:54 PM,0.72,,,
74,09/19/40 12:25:47 PM,0.73,,,
75,09/19/40 12:28:04 PM,0.74,,,
76,09/19/40 12:32:15 PM,0.75,,,
77,09/19/40 12:34:35 PM,0.76,,,
78,09/19/40 12:36:53 PM,0.77,,,
79,09/19/40 12:38:12 PM,0.78,,,
80,09/19/40 12:39:50 PM,0.79,,,
81,09/19/40 12:41:17 PM,0.80,,,
82,09/19/40 12:43:01 PM,0.81,,,
83,09/19/40 12:44:15 PM,0.82,,,
84,09/19/40 12:45:30 PM,0.83,,,
85,09/19/40 12:47:13 PM,0.84,,,
86,09/19/40 12:48:39 PM,0.85,,,
87,09/19/40 12:50:22 PM,0.86,,,
88,09/19/40 12:53:00 PM,0.87,,,
89,09/19/40 12:55:11 PM,0.88,,,
90,09/19/40 12:56:48 PM,0.89,,,
91,09/19/40 12:59:10 PM,0.90,,,
92,09/19/40 01:00:50 PM,0.91,,,
93,09/19/40 01:01:57 PM,0.92,,,
94,09/19/40 01:05:52 PM,0.93,,,
95,09/19/40 01:21:06 PM,0.94,,,
96,09/19/40 01:28:50 PM,0.95,,,
97,09/19/40 01:33:44 PM,0.96,,,
98,09/19/40 01:39:42 PM,0.97,,,
99,09/19/40 01:42:21 PM,0.98,,,
100,09/19/40 01:45:16 PM,0.99,,,
101,09/19/40 01:49:50 PM,1.00,,,
102,09/19/40 02:01:35 PM,1.01,,,
103,09/19/40 02:10:49 PM,1.02,,,
104,09/19/40 02:22:28 PM,1.03,,,
105,09/19/40 02:28:56 PM,1.04,,,
106,09/19/40 02:29:18 PM,1.05,,,
107,09/19/40 02:29:28 PM,1.06,,,
108,09/19/40 02:29:42 PM,1.07,,,
109,09/19/40 02:29:58 PM,1.08,,,
110,09/19/40 02:30:20 PM,1.09,,,
111,09/19/40 02:30:36 PM,1.10,,,
112,09/19/40 02:31:14 PM,1.11,,,
113,09/19/40 02:33:04 PM,1.12,,,
114,09/19/40 02:41:28 PM,1.13,,,
115,09/19/40 02:46:21 PM,1.14,,,
116,09/19/40 02:57:09 PM,1.15,,,
117,09/19/40 04:03:24 PM,1.16,,,
118,09/20/40 01:28:19 AM,1.17,,,
119,09/20/40 01:32:38 AM,1.18,,,
120,09/20/40 01:35:55 AM,1.19,,,
121,09/20/40 02:08:17 AM,1.20,,,
122,09/20/40 05:11:20 AM,1.21,,,
123,09/20/40 05:34:19 AM,1.22,,,
124,09/20/40 06:48:13 AM,1.23,,,
125,09/20/40 06:53:05 AM,1.24,,,
126,09/20/40 06:56:30 AM,1.25,,,
127,09/20/40 06:59:36 AM,1.26,,,
128,09/20/40 07:03:43 AM,1.27,,,
129,09/20/40 07:08:17 AM,1.28,,,
130,09/20/40 07:14:14 AM,1.29,,,
131,09/20/40 07:19:21 AM,1.30,,,
132,09/20/40 07:26:30 AM,1.31,,,
133,09/20/40 08:26:28 AM,1.32,,,
134,09/20/40 08:41:57 AM,1.33,,,
135,09/20/40 09:00:25 AM,1.34,,,
136,09/20/40 09:08:26 AM,1.35,,,
137,09/20/40 09:12:37 AM,1.36,,,
138,09/20/40 09:17:25 AM,1.37,,,
139,09/20/40 09:21:23 AM,1.38,,,
140,09/20/40 09:25:12 AM,1.39,,,
141,09/20/40 09:40:18 AM,1.40,,,
142,09/20/40 11:04:50 AM,1.41,,,
143,09/20/40 11:06:53 AM,1.42,,,
144,09/20/40 12:38:38 PM,1.43,,,
145,09/20/40 12:38:56 PM,1.44,,,
146,09/20/40 12:39:16 PM,1.45,,,
147,09/20/40 12:39:42 PM,1.46,,,
148,09/20/40 12:40:18 PM,1.47,,,
149,09/20/40 12:45:09 PM,1.48,,,
150,09/20/40 12:55:31 PM,1.49,,,
151,09/20/40 03:37:07 PM,1.50,,,
152,09/20/40 03:41:40 PM,1.51,,,
153,09/20/40 03:46:31 PM,1.52,,,
154,09/20/40 03:50:06 PM,1.53,,,
155,09/22/40 10:47:45 AM,1.54,,,
156,09/22/40 10:59:53 AM,1.55,,,
157,09/22/40 11:03:02 AM,1.56,,,
158,09/22/40 11:07:08 AM,1.57,,,
159,09/22/40 11:12:41 AM,1.58,,,
160,09/22/40 12:40:39 PM,1.59,,,
161,09/22/40 01:16:39 PM,1.60,,,
162,09/22/40 01:43:43 PM,1.61,,,
163,09/22/40 01:46:55 PM,1.62,,,
164,09/22/40 01:50:18 PM,1.63,,,
165,09/22/40 02:14:24 PM,1.64,,,
166,09/22/40 02:31:26 PM,1.65,,,
167,09/22/40 02:40:31 PM,1.66,,,
168,09/22/40 02:47:52 PM,1.67,,,
169,09/22/40 03:00:24 PM,1.68,,,
170,09/22/40 03:05:22 PM,1.69,,,
171,09/22/40 03:16:15 PM,1.70,,,
172,09/22/40 03:27:54 PM,1.71,,,
173,09/22/40 03:29:36 PM,1.72,,,
174,09/22/40 03:30:48 PM,1.73,,,
175,09/22/40 03:32:20 PM,1.74,,,
176,09/22/40 03:35:38 PM,1.75,,,
177,09/22/40 04:10:33 PM,1.76,,,
178,09/22/40 04:15:24 PM,1.77,,,
179,09/22/40 04:18:09 PM,1.78,,,
180,09/22/40 04:44:08 PM,1.79,,,
181,09/22/40 04:51:07 PM,1.80,,,
182,09/22/40 04:51:52 PM,1.81,,,
183,09/22/40 04:52:23 PM,1.82,,,
184,09/22/40 04:52:59 PM,1.83,,,
185,09/22/40 04:53:43 PM,1.84,,,
186,09/22/40 04:54:30 PM,1.85,,,
187,09/22/40 04:55:10 PM,1.86,,,
188,09/22/40 04:55:57 PM,1.87,,,
189,09/22/40 04:57:13 PM,1.88,,,
190,09/22/40 04:58:49 PM,1.89,,,
191,09/22/40 05:00:12 PM,1.90,,,
192,09/22/40 05:02:20 PM,1.91,,,
193,09/22/40 05:04:49 PM,1.92,,,
194,09/22/40 05:06:44 PM,1.93,,,
195,09/22/40 05:07:53 PM,1.94,,,
196,09/22/40 05:09:30 PM,1.95,,,
197,09/22/40 05:10:33 PM,1.96,,,
198,09/22/40 05:11:56 PM,1.97,,,
199,09/22/40 05:14:00 PM,1.98,,,
200,09/22/40 05:17:16 PM,1.99,,,
201,09/22/40 05:20:27 PM,2.00,,,
202,09/22/40 05:23:58 PM,2.01,,,
203,09/22/40 05:26:50 PM,2.02,,,
204,09/22/40 05:31:09 PM,2.03,,,
205,09/22/40 05:32:29 PM,2.04,,,
206,09/22/40 05:32:57 PM,2.05,,,
207,09/22/40 05:33:13 PM,2.06,,,
208,09/22/40 05:33:40 PM,2.07,,,
209,09/22/40 05:34:27 PM,2.08,,,
210,09/22/40 05:34:57 PM,2.09,,,
211,09/22/40 05:35:12 PM,2.10,,,
212,09/22/40 05:35:39 PM,2.11,,,
213,09/22/40 05:36:30 PM,2.12,,,
214,09/22/40 05:38:11 PM,2.13,,,
215,09/22/40 05:38:59 PM,2.14,,,
216,09/22/40 05:40:08 PM,2.15,,,
217,09/22/40 05:41:47 PM,2.16,,,
218,09/22/40 05:45:23 PM,2.17,,,
219,09/22/40 05:48:26 PM,2.18,,,
220,09/22/40 05:51:27 PM,2.19,,,
221,09/22/40 05:54:04 PM,2.20,,,
222,09/22/40 05:55:46 PM,2.21,,,
223,09/22/40 05:58:24 PM,2.22,,,
224,09/22/40 06:01:41 PM,2.23,,,
225,09/22/40 06:04:47 PM,2.24,,,
226,09/22/40 06:08:43 PM,2.25,,,
227,09/22/40 06:12:39 PM,2.26,,,
228,09/22/40 06:17:19 PM,2.27,,,
229,09/22/40 06:20:41 PM,2.28,,,
230,09/22/40 06:23:23 PM,2.29,,,
231,09/22/40 06:25:37 PM,2.30,,,
232,09/22/40 06:27:43 PM,2.31,,,
233,09/22/40 06:29:55 PM,2.32,,,
234,09/22/40 06:32:15 PM,2.33,,,
235,09/22/40 06:35:04 PM,2.34,,,
236,09/22/40 06:39:40 PM,2.35,,,
237,09/22/40 06:44:31 PM,2.36,,,
238,09/22/40 06:47:41 PM,2.37,,,
239,09/22/40 06:51:29 PM,2.38,,,
240,09/22/40 06:57:08 PM,2.39,,,
241,09/22/40 07:35:09 PM,2.40,,,
242,09/22/40 08:02:03 PM,2.41,,,
243,09/22/40 08:13:24 PM,2.42,,,
244,09/22/40 09:44:54 PM,2.43,,,
245,09/22/40 09:47:08 PM,2.44,,,
246,09/22/40 11:38:45 PM,2.45,,,
247,09/23/40 12:04:40 AM,2.46,,,
248,09/23/40 12:12:35 AM,2.47,,,
249,09/23/40 12:15:30 AM,2.48,,,
250,09/23/40 01:16:30 AM,2.49,,,
251,09/23/40 01:19:01 AM,2.50,,,
252,09/23/40 03:01:30 AM,2.51,,,
253,09/23/40 03:58:19 AM,2.52,,,
254,09/23/40 11:04:21 AM,2.53,,,
255,09/28/40 03:27:49 AM,2.54,,,
256,09/28/40 03:40:30 AM,2.55,,,
257,09/28/40 03:46:54 AM,2.56,,,
258,09/28/40 03:53:45 AM,2.57,,,
259,09/28/40 04:02:03 AM,2.58,,,
260,09/28/40 04:08:10 AM,2.59,,,
261,09/28/40 04:21:51 AM,2.60,,,
262,09/28/40 04:29:27 AM,2.61,,,
263,09/28/40 04:34:33 AM,2.62,,,
264,09/28/40 04:40:06 AM,2.63,,,
265,09/28/40 04:44:06 AM,2.64,,,
266,09/28/40 04:48:52 AM,2.65,,,
267,09/28/40 04:54:31 AM,2.66,,,
268,09/28/40 05:03:12 AM,2.67,,,
269,09/28/40 05:12:59 AM,2.68,,,
270,09/28/40 05:18:32 AM,2.69,,,
271,09/28/40 05:24:48 AM,2.70,,,
272,09/28/40 05:32:20 AM,2.71,,,
273,09/28/40 05:34:58 AM,2.72,,,
274,09/28/40 05:37:52 AM,2.73,,,
275,09/28/40 05:47:37 AM,2.74,,,
276,09/28/40 06:06:05 AM,2.75,,,
277,09/28/40 06:28:53 AM,2.76,,,
278,09/28/40 06:45:43 AM,2.77,,,
279,09/28/40 06:57:37 AM,2.78,,,
280,09/28/40 07:06:29 AM,2.79,,,
281,09/28/40 07:09:15 AM,2.80,,,
282,09/28/40 07:12:00 AM,2.81,,,
283,09/28/40 07:14:23 AM,2.82,,,
284,09/28/40 07:19:17 AM,2.83,,,
285,09/28/40 07:24:32 AM,2.84,,,
286,09/28/40 07:29:52 AM,2.85,,,
287,09/28/40 07:41:41 AM,2.86,,,
288,09/28/40 07:46:57 AM,2.87,,,
289,09/28/40 07:52:31 AM,2.88,,,
290,09/28/40 08:01:22 AM,2.89,,,
291,09/28/40 08:09:38 AM,2.90,,,
292,09/28/40 08:17:17 AM,2.91,,,
293,09/28/40 08:26:39 AM,2.92,,,
294,09/28/40 08:48:37 AM,2.93,,,
295,09/28/40 02:32:11 PM,2.94,,,
296,09/28/40 02:35:49 PM,2.95,,,
297,09/28/40 04:01:18 PM,2.96,,,
298,09/29/40 10:42:41 PM,2.97,,,
299,09/29/40 10:54:01 PM,2.98,,,
300,09/29/40 10:58:05 PM,2.99,,,
301,09/29/40 11:12:24 PM,3.00,,,
302,09/29/40 11:28:54 PM,3.01,,,
303,09/29/40 11:39:39 PM,3.02,,,
304,09/29/40 11:49:53 PM,3.03,,,
305,09/29/40 11:57:18 PM,3.04,,,
306,09/30/40 12:10:16 AM,3.05,,,
307,09/30/40 12:23:43 AM,3.06,,,
308,09/30/40 12:39:33 AM,3.07,,,
309,09/30/40 12:46:28 AM,3.08,,,
310,09/30/40 12:52:46 AM,3.09,,,
311,09/30/40 12:57:40 AM,3.10,,,
312,09/30/40 01:04:05 AM,3.11,,,
313,09/30/40 01:08:20 AM,3.12,,,
314,09/30/40 01:13:02 AM,3.13,,,
315,09/30/40 01:17:31 AM,3.14,,,
316,09/30/40 01:22:23 AM,3.15,,,
317,09/30/40 01:27:36 AM,3.16,,,
318,09/30/40 01:31:41 AM,3.17,,,
319,09/30/40 01:35:25 AM,3.18,,,
320,09/30/40 01:39:43 AM,3.19,,,
321,09/30/40 01:42:48 AM,3.20,,,
322,09/30/40 01:46:41 AM,3.21,,,
323,09/30/40 01:50:10 AM,3.22,,,
324,09/30/40 01:53:36 AM,3.23,,,
325,09/30/40 01:56:46 AM,3.24,,,
326,09/30/40 02:00:17 AM,3.25,,,
327,09/30/40 02:04:04 AM,3.26,,,
328,09/30/40 02:08:22 AM,3.27,,,
329,09/30/40 02:11:22 AM,3.28,,,
330,09/30/40 02:14:34 AM,3.29,,,
331,09/30/40 02:17:26 AM,3.30,,,
332,09/30/40 02:20:29 AM,3.31,,,
333,09/30/40 02:22:38 AM,3.32,,,
334,09/30/40 02:25:53 AM,3.33,,,
335,09/30/40 02:28:09 AM,3.34,,,
336,09/30/40 02:30:41 AM,3.35,,,
337,09/30/40 02:32:50 AM,3.36,,,
338,09/30/40 02:35:21 AM,3.37,,,
339,09/30/40 02:37:45 AM,3.38,,,
340,09/30/40 02:40:29 AM,3.39,,,
341,09/30/40 02:42:10 AM,3.40,,,
342,09/30/40 02:44:38 AM,3.41,,,
343,09/30/40 02:46:36 AM,3.42,,,
344,09/30/40 02:49:10 AM,3.43,,,
345,09/30/40 02:51:26 AM,3.44,,,
346,09/30/40 02:53:55 AM,3.45,,,
347,09/30/40 02:56:20 AM,3.46,,,
348,09/30/40 02:58:12 AM,3.47,,,
349,09/30/40 02:59:36 AM,3.48,,,
350,09/30/40 03:01:49 AM,3.49,,,
351,09/30/40 03:03:47 AM,3.50,,,
352,09/30/40 03:05:55 AM,3.51,,,
353,09/30/40 03:07:28 AM,3.52,,,
354,09/30/40 03:09:15 AM,3.53,,,
355,09/30/40 03:10:55 AM,3.54,,,
356,09/30/40 03:13:11 AM,3.55,,,
357,09/30/40 03:15:19 AM,3.56,,,
358,09/30/40 03:17:36 AM,3.57,,,
359,09/30/40 03:19:31 AM,3.58,,,
360,09/30/40 03:21:23 AM,3.59,,,
361,09/30/40 03:23:25 AM,3.60,,,
362,09/30/40 03:25:36 AM,3.61,,,
363,09/30/40 03:27:01 AM,3.62,,,
364,09/30/40 03:28:31 AM,3.63,,,
365,09/30/40 03:30:08 AM,3.64,,,
366,09/30/40 03:32:25 AM,3.65,,,
367,09/30/40 03:34:41 AM,3.66,,,
368,09/30/40 03:36:29 AM,3.67,,,
369,09/30/40 03:37:45 AM,3.68,,,
370,09/30/40 03:39:12 AM,3.69,,,
371,09/30/40 03:40:29 AM,3.70,,,
372,09/30/40 03:41:38 AM,3.71,,,
373,09/30/40 03:43:01 AM,3.72,,,
374,09/30/40 03:44:22 AM,3.73,,,
375,09/30/40 03:45:41 AM,3.74,,,
376,09/30/40 03:47:08 AM,3.75,,,
377,09/30/40 03:48:26 AM,3.76,,,
378,09/30/40 03:49:47 AM,3.77,,,
379,09/30/40 03:51:11 AM,3.78,,,
380,09/30/40 03:52:38 AM,3.79,,,
381,09/30/40 03:53:36 AM,3.80,,,
382,09/30/40 03:54:50 AM,3.81,,,
383,09/30/40 03:55:47 AM,3.82,,,
384,09/30/40 03:56:45 AM,3.83,,,
385,09/30/40 03:57:44 AM,3.84,,,
386,09/30/40 03:58:47 AM,3.85,,,
387,09/30/40 04:00:10 AM,3.86,,,
388,09/30/40 04:01:58 AM,3.87,,,
389,09/30/40 04:03:15 AM,3.88,,,
390,09/30/40 04:04:48 AM,3.89,,,
391,09/30/40 04:05:53 AM,3.90,,,
392,09/30/40 04:06:54 AM,3.91,,,
393,09/30/40 04:07:50 AM,3.92,,,
394,09/30/40 04:09:02 AM,3.93,,,
395,09/30/40 04:09:59 AM,3.94,,,
396,09/30/40 04:11:04 AM,3.95,,,
397,09/30/40 04:11:51 AM,3.96,,,
398,09/30/40 04:12:42 AM,3.97,,,
399,09/30/40 04:13:25 AM,3.98,,,
400,09/30/40 04:14:23 AM,3.99,,,
401,09/30/40 04:15:15 AM,4.00,,,
402,09/30/40 04:16:19 AM,4.01,,,
403,09/30/40 04:17:27 AM,4.02,,,
404,09/30/40 04:19:16 AM,4.03,,,
405,09/30/40 04:20:13 AM,4.04,,,
406,09/30/40 04:21:22 AM,4.05,,,
407,09/30/40 04:22:18 AM,4.06,,,
408,09/30/40 04:23:42 AM,4.07,,,
409,09/30/40 04:24:56 AM,4.08,,,
410,09/30/40 04:26:27 AM,4.09,,,
411,09/30/40 04:27:50 AM,4.10,,,
412,09/30/40 04:29:23 AM,4.11,,,
413,09/30/40 04:30:46 AM,4.12,,,
414,09/30/40 04:31:57 AM,4.13,,,
415,09/30/40 04:32:52 AM,4.14,,,
416,09/30/40 04:34:00 AM,4.15,,,
417,09/30/40 04:35:30 AM,4.16,,,
418,09/30/40 04:37:05 AM,4.17,,,
419,09/30/40 04:38:15 AM,4.18,,,
420,09/30/40 04:39:15 AM,4.19,,,
421,09/30/40 04:40:02 AM,4.20,,,
422,09/30/40 04:40:51 AM,4.21,,,
423,09/30/40 04:41:49 AM,4.22,,,
424,09/30/40 04:43:08 AM,4.23,,,
425,09/30/40 04:44:21 AM,4.24,,,
426,09/30/40 04:45:42 AM,4.25,,,
427,09/30/40 04:47:15 AM,4.26,,,
428,09/30/40 04:49:17 AM,4.27,,,
429,09/30/40 04:50:35 AM,4.28,,,
430,09/30/40 04:52:45 AM,4.29,,,
431,09/30/40 04:55:52 AM,4.30,,,
432,09/30/40 04:58:15 AM,4.31,,,
433,09/30/40 05:00:59 AM,4.32,,,
434,09/30/40 05:04:25 AM,4.33,,,
435,09/30/40 05:07:50 AM,4.34,,,
436,09/30/40 05:11:05 AM,4.35,,,
437,09/30/40 05:12:34 AM,4.36,,,
438,09/30/40 05:13:39 AM,4.37,,,
439,09/30/40 05:14:55 AM,4.38,,,
440,09/30/40 05:16:26 AM,4.39,,,
441,09/30/40 05:17:50 AM,4.40,,,
442,09/30/40 05:19:05 AM,4.41,,,
443,09/30/40 05:21:08 AM,4.42,,,
444,09/30/40 05:24:06 AM,4.43,,,
445,09/30/40 05:25:43 AM,4.44,,,
446,09/30/40 05:27:44 AM,4.45,,,
447,09/30/40 05:30:37 AM,4.46,,,
448,09/30/40 05:33:01 AM,4.47,,,
449,09/30/40 05:33:52 AM,4.48,,,
450,09/30/40 05:34:46 AM,4.49,,,
451,09/30/40 05:36:17 AM,4.50,,,
452,09/30/40 05:37:38 AM,4.51,,,
453,09/30/40 05:38:58 AM,4.52,,,
454,09/30/40 05:41:19 AM,4.53,,,
455,09/30/40 05:44:02 AM,4.54,,,
456,09/30/40 05:48:07 AM,4.55,,,
457,09/30/40 05:51:03 AM,4.56,,,
458,09/30/40 05:53:52 AM,4.57,,,
459,09/30/40 05:56:13 AM,4.58,,,
460,09/30/40 05:57:22 AM,4.59,,,
461,09/30/40 06:00:23 AM,4.60,,,
462,09/30/40 06:03:39 AM,4.61,,,
463,09/30/40 06:08:22 AM,4.62,,,
464,09/30/40 06:12:40 AM,4.63,,,
465,09/30/40 06:17:28 AM,4.64,,,
466,09/30/40 06:20:00 AM,4.65,,,
467,09/30/40 06:23:36 AM,4.66,,,
468,09/30/40 06:30:12 AM,4.67,,,
469,09/30/40 06:33:49 AM,4.68,,,
470,09/30/40 06:37:10 AM,4.69,,,
471,09/30/40 06:39:27 AM,4.70,,,
472,09/30/40 06:47:18 AM,4.71,,,
473,09/30/40 06:50:30 AM,4.72,,,
474,09/30/40 06:55:56 AM,4.73,,,
475,09/30/40 07:10:21 AM,4.74,,,
476,09/30/40 07:24:19 AM,4.75,,,
477,09/30/40 07:35:50 AM,4.76,,,
478,09/30/40 07:44:32 AM,4.77,,,
479,09/30/40 07:53:24 AM,4.78,,,
480,09/30/40 07:57:35 AM,4.79,,,
481,09/30/40 08:00:44 AM,4.80,,,
482,09/30/40 08:06:35 AM,4.81,,,
483,09/30/40 08:11:55 AM,4.82,,,
484,09/30/40 08:15:23 AM,4.83,,,
485,09/30/40 08:21:27 AM,4.84,,,
486,09/30/40 08:26:54 AM,4.85,,,
487,09/30/40 08:33:21 AM,4.86,,,
488,09/30/40 08:38:32 AM,4.87,,,
489,09/30/40 08:43:32 AM,4.88,,,
490,09/30/40 08:45:57 AM,4.89,,,
491,09/30/40 08:48:41 AM,4.90,,,
492,09/30/40 08:51:48 AM,4.91,,,
493,09/30/40 08:54:52 AM,4.92,,,
494,09/30/40 08:58:00 AM,4.93,,,
495,09/30/40 09:00:51 AM,4.94,,,
496,09/30/40 09:03:27 AM,4.95,,,
497,09/30/40 09:09:38 AM,4.96,,,
498,09/30/40 09:16:47 AM,4.97,,,
499,09/30/40 09:23:25 AM,4.98,,,
500,09/30/40 09:30:05 AM,4.99,,,
501,09/30/40 09:38:10 AM,5.00,,,
502,09/30/40 09:43:33 AM,5.01,,,
503,09/30/40 09:48:46 AM,5.02,,,
504,09/30/40 09:59:16 AM,5.03,,,
505,09/30/40 10:05:27 AM,5.04,,,
506,09/30/40 10:09:13 AM,5.05,,,
507,09/30/40 10:14:51 AM,5.06,,,
508,09/30/40 10:21:12 AM,5.07,,,
509,09/30/40 10:25:54 AM,5.08,,,
510,09/30/40 10:30:39 AM,5.09,,,
511,09/30/40 10:35:19 AM,5.10,,,
512,09/30/40 10:38:52 AM,5.11,,,
513,09/30/40 10:42:05 AM,5.12,,,
514,09/30/40 10:45:59 AM,5.13,,,
515,09/30/40 10:52:31 AM,5.14,,,
516,09/30/40 11:02:57 AM,5.15,,,
517,09/30/40 11:07:14 AM,5.16,,,
518,09/30/40 11:28:23 AM,5.17,,,
519,09/30/40 12:07:49 PM,5.18,,,
520,09/30/40 12:45:17 PM,5.19,,,
521,09/30/40 12:57:50 PM,5.20,,,
522,09/30/40 01:17:36 PM,5.21,,,
523,09/30/40 01:25:47 PM,5.22,,,
524,09/30/40 01:44:24 PM,5.23,,,
525,09/30/40 02:11:11 PM,5.24,,,
526,09/30/40 03:01:29 PM,5.25,,,
527,09/30/40 03:25:45 PM,5.26,,,
528,09/30/40 03:48:10 PM,5.27,,,
529,09/30/40 04:22:20 PM,5.28,,,
530,09/30/40 04:33:29 PM,5.29,,,
531,09/30/40 04:38:42 PM,5.30,,,
532,09/30/40 04:42:54 PM,5.31,,,
533,09/30/40 04:56:32 PM,5.32,,,
534,09/30/40 05:21:23 PM,5.33,,,
535,09/30/40 05:34:41 PM,5.34,,,
536,09/30/40 05:53:18 PM,5.35,,,
537,09/30/40 05:57:15 PM,5.36,,,
538,09/30/40 06:04:59 PM,5.37,,,
539,09/30/40 06:17:33 PM,5.38,,,
540,09/30/40 06:36:59 PM,5.39,,,
541,09/30/40 06:43:36 PM,5.40,,,
542,09/30/40 06:47:47 PM,5.41,,,
543,09/30/40 06:51:43 PM,5.42,,,
544,09/30/40 06:56:10 PM,5.43,,,
545,09/30/40 07:00:54 PM,5.44,,,
546,09/30/40 07:03:55 PM,5.45,,,
547,09/30/40 07:13:12 PM,5.46,,,
548,09/30/40 08:26:11 PM,5.47,,,
549,09/30/40 08:50:36 PM,5.48,,,
550,09/30/40 09:17:28 PM,5.49,,,
551,09/30/40 09:24:13 PM,5.50,,,
552,09/30/40 09:28:08 PM,5.51,,,
553,09/30/40 09:34:14 PM,5.52,,,
554,09/30/40 09:36:21 PM,5.53,,,
555,09/30/40 09:37:36 PM,5.54,,,
556,09/30/40 09:38:53 PM,5.55,,,
557,09/30/40 09:39:53 PM,5.56,,,
558,09/30/40 09:41:09 PM,5.57,,,
559,09/30/40 09:42:23 PM,5.58,,,
560,09/30/40 09:44:23 PM,5.59,,,
561,09/30/40 09:46:31 PM,5.60,,,
562,09/30/40 09:48:23 PM,5.61,,,
563,09/30/40 09:51:14 PM,5.62,,,
564,09/30/40 09:53:43 PM,5.63,,,
565,09/30/40 09:56:36 PM,5.64,,,
566,09/30/40 10:02:21 PM,5.65,,,
567,09/30/40 10:09:52 PM,5.66,,,
568,09/30/40 10:14:30 PM,5.67,,,
569,09/30/40 10:18:23 PM,5.68,,,
