"Plot Title: RLNF"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10592085, SEN S/N: 10592085)","Event, units (LGR S/N: 10592085, SEN S/N: 10592085)","Coupler Detached (LGR S/N: 10592085, SEN S/N: 10592085)","Bad Battery (LGR S/N: 10592085, SEN S/N: 10592085)","Coupler Attached (LGR S/N: 10592085, SEN S/N: 10592085)","Host Connected (LGR S/N: 10592085, SEN S/N: 10592085)","Stopped (LGR S/N: 10592085, SEN S/N: 10592085)","End Of File (LGR S/N: 10592085, SEN S/N: 10592085)"
401,11/21/18 01:56:34 PM,,2.78,,,,,,
402,11/21/18 01:57:11 PM,,2.79,,,,,,
403,11/21/18 01:57:44 PM,,2.80,,,,,,
404,11/21/18 01:58:10 PM,,2.81,,,,,,
405,11/21/18 01:58:45 PM,,2.82,,,,,,
406,11/21/18 01:59:15 PM,,2.83,,,,,,
407,11/21/18 01:59:53 PM,,2.84,,,,,,
408,11/21/18 01:59:54 PM,,2.85,,,,,,
409,11/21/18 02:00:17 PM,,2.86,,,,,,
410,11/21/18 02:00:34 PM,,2.87,,,,,,
411,11/21/18 02:00:44 PM,,2.88,,,,,,
412,11/21/18 02:00:57 PM,,2.89,,,,,,
413,11/21/18 02:01:10 PM,,2.90,,,,,,
414,11/21/18 02:01:11 PM,,2.91,,,,,,
415,11/21/18 02:01:25 PM,,2.92,,,,,,
416,11/21/18 02:01:26 PM,,2.93,,,,,,
417,11/21/18 02:01:40 PM,,2.94,,,,,,
418,11/21/18 02:02:01 PM,,2.95,,,,,,
419,11/21/18 02:02:02 PM,,2.96,,,,,,
420,11/21/18 02:02:21 PM,,2.97,,,,,,
421,11/21/18 02:02:47 PM,,2.98,,,,,,
422,11/21/18 02:03:10 PM,,2.99,,,,,,
423,11/21/18 02:03:38 PM,,3.00,,,,,,
424,11/21/18 02:03:39 PM,,3.01,,,,,,
425,11/21/18 02:04:24 PM,,3.02,,,,,,
426,11/21/18 02:05:12 PM,,3.03,,,,,,
427,11/21/18 02:05:45 PM,,3.04,,,,,,
428,11/21/18 02:06:09 PM,,3.05,,,,,,
429,11/21/18 02:06:50 PM,,3.06,,,,,,
430,11/21/18 02:07:24 PM,,3.07,,,,,,
431,11/21/18 02:08:14 PM,,3.08,,,,,,
432,11/21/18 02:08:15 PM,,3.09,,,,,,
433,11/21/18 02:09:04 PM,,3.10,,,,,,
434,11/21/18 02:09:34 PM,,3.11,,,,,,
435,11/21/18 02:10:39 PM,,3.12,,,,,,
436,11/21/18 02:11:54 PM,,3.13,,,,,,
437,11/21/18 02:12:55 PM,,3.14,,,,,,
438,11/21/18 02:13:29 PM,,3.15,,,,,,
439,11/21/18 02:14:08 PM,,3.16,,,,,,
440,11/21/18 02:14:33 PM,,3.17,,,,,,
441,11/21/18 02:15:02 PM,,3.18,,,,,,
442,11/21/18 02:15:37 PM,,3.19,,,,,,
443,11/21/18 02:16:16 PM,,3.20,,,,,,
444,11/21/18 02:16:17 PM,,3.21,,,,,,
445,11/21/18 02:17:19 PM,,3.22,,,,,,
446,11/21/18 02:19:38 PM,55.537,,,,,,,
447,11/21/18 02:22:11 PM,,3.23,,,,,,
448,11/21/18 02:26:32 PM,,3.24,,,,,,
449,11/21/18 02:29:02 PM,,3.25,,,,,,
450,11/21/18 02:30:35 PM,,3.26,,,,,,
451,11/21/18 02:34:12 PM,,3.27,,,,,,
452,11/21/18 02:38:46 PM,,3.28,,,,,,
453,11/21/18 03:19:38 PM,55.017,,,,,,,
454,11/21/18 04:05:20 PM,,3.29,,,,,,
455,11/21/18 04:05:21 PM,,3.30,,,,,,
456,11/21/18 04:19:38 PM,55.537,,,,,,,
457,11/21/18 05:04:22 PM,,3.31,,,,,,
458,11/21/18 05:19:38 PM,55.189,,,,,,,
459,11/21/18 06:19:38 PM,54.842,,,,,,,
460,11/21/18 07:19:38 PM,54.842,,,,,,,
461,11/21/18 08:19:38 PM,55.189,,,,,,,
462,11/21/18 09:19:38 PM,54.842,,,,,,,
463,11/21/18 10:19:38 PM,54.669,,,,,,,
464,11/21/18 11:19:38 PM,54.842,,,,,,,
