"Plot Title: AL"
"#","Date Time, GMT-07:00","Event, inch (LGR S/N: 10592075, SEN S/N: 10592075)","Coupler Attached (LGR S/N: 10592075, SEN S/N: 10592075)","Stopped (LGR S/N: 10592075, SEN S/N: 10592075)","End Of File (LGR S/N: 10592075, SEN S/N: 10592075)"
251,12/02/14 06:49:22 AM,2.50,,,
252,12/02/14 06:50:13 AM,2.51,,,
253,12/02/14 06:51:15 AM,2.52,,,
254,12/02/14 06:52:36 AM,2.53,,,
255,12/02/14 06:54:06 AM,2.54,,,
256,12/02/14 06:55:38 AM,2.55,,,
257,12/02/14 06:57:01 AM,2.56,,,
258,12/02/14 06:58:20 AM,2.57,,,
259,12/02/14 07:00:17 AM,2.58,,,
260,12/02/14 07:02:09 AM,2.59,,,
261,12/02/14 07:04:35 AM,2.60,,,
262,12/02/14 07:07:34 AM,2.61,,,
263,12/02/14 07:11:10 AM,2.62,,,
264,12/02/14 07:14:49 AM,2.63,,,
265,12/02/14 07:18:50 AM,2.64,,,
266,12/02/14 07:23:20 AM,2.65,,,
267,12/02/14 07:26:56 AM,2.66,,,
268,12/02/14 07:33:19 AM,2.67,,,
269,12/02/14 07:39:24 AM,2.68,,,
270,12/02/14 07:46:05 AM,2.69,,,
271,12/02/14 07:50:22 AM,2.70,,,
272,12/02/14 07:54:00 AM,2.71,,,
273,12/02/14 07:58:09 AM,2.72,,,
274,12/02/14 08:01:32 AM,2.73,,,
275,12/02/14 08:04:58 AM,2.74,,,
276,12/02/14 08:10:13 AM,2.75,,,
277,12/02/14 08:15:50 AM,2.76,,,
278,12/02/14 08:15:51 AM,2.77,,,
279,12/02/14 08:20:42 AM,2.78,,,
280,12/02/14 08:26:04 AM,2.79,,,
281,12/02/14 08:26:05 AM,2.80,,,
282,12/02/14 08:30:55 AM,2.81,,,
283,12/02/14 08:42:01 AM,2.82,,,
284,12/02/14 08:52:21 AM,2.83,,,
285,12/02/14 09:03:27 AM,2.84,,,
286,12/02/14 09:03:28 AM,2.85,,,
287,12/02/14 10:33:02 AM,2.86,,,
288,12/02/14 10:41:46 AM,2.87,,,
289,12/02/14 10:48:19 AM,2.88,,,
290,12/02/14 10:50:46 AM,2.89,,,
291,12/02/14 10:50:47 AM,2.90,,,
292,12/02/14 10:53:02 AM,2.91,,,
293,12/02/14 10:55:00 AM,2.92,,,
294,12/02/14 10:57:23 AM,2.93,,,
295,12/02/14 11:02:10 AM,2.94,,,
296,12/02/14 11:06:14 AM,2.95,,,
297,12/02/14 11:12:30 AM,2.96,,,
298,12/02/14 12:36:11 PM,2.97,,,
299,12/02/14 12:39:35 PM,2.98,,,
300,12/02/14 12:42:24 PM,2.99,,,
301,12/02/14 12:45:03 PM,3.00,,,
302,12/02/14 12:45:04 PM,3.01,,,
303,12/02/14 12:48:52 PM,3.02,,,
304,12/02/14 12:49:51 PM,3.03,,,
305,12/02/14 12:50:34 PM,3.04,,,
306,12/02/14 12:51:08 PM,3.05,,,
307,12/02/14 12:51:09 PM,3.06,,,
308,12/02/14 12:51:57 PM,3.07,,,
309,12/02/14 12:53:12 PM,3.08,,,
310,12/02/14 12:53:13 PM,3.09,,,
311,12/02/14 12:54:20 PM,3.10,,,
312,12/02/14 12:55:53 PM,3.11,,,
313,12/02/14 12:58:56 PM,3.12,,,
314,12/02/14 01:01:50 PM,3.13,,,
315,12/02/14 01:03:54 PM,3.14,,,
316,12/02/14 01:07:55 PM,3.15,,,
317,12/02/14 01:11:59 PM,3.16,,,
318,12/02/14 03:57:15 PM,3.17,,,
319,12/02/14 04:08:29 PM,3.18,,,
320,12/02/14 04:12:11 PM,3.19,,,
321,12/02/14 04:16:27 PM,3.20,,,
322,12/02/14 04:20:26 PM,3.21,,,
323,12/02/14 04:36:10 PM,3.22,,,
324,12/02/14 04:55:10 PM,3.23,,,
325,12/02/14 05:00:33 PM,3.24,,,
326,12/02/14 05:01:50 PM,3.25,,,
327,12/02/14 05:01:51 PM,3.26,,,
328,12/02/14 05:21:24 PM,3.27,,,
329,12/02/14 11:20:06 PM,3.28,,,
330,12/02/14 11:48:22 PM,3.29,,,
331,12/02/14 11:53:50 PM,3.30,,,
332,12/02/14 11:59:49 PM,3.31,,,
333,12/02/14 11:59:50 PM,3.32,,,
334,12/03/14 12:04:16 AM,3.33,,,
