"Plot Title: UNF"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 9668993, SEN S/N: 9668993)","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Host Connected (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
325,12/04/18 12:48:59 PM,53.973,,,,,,
326,12/04/18 01:48:59 PM,54.147,,,,,,
327,12/04/18 02:48:59 PM,53.449,,,,,,
328,12/04/18 03:48:59 PM,51.874,,,,,,
329,12/04/18 04:28:13 PM,,1.82,,,,,
330,12/04/18 04:48:59 PM,49.937,,,,,,
331,12/04/18 05:48:59 PM,50.113,,,,,,
332,12/04/18 06:48:59 PM,50.466,,,,,,
333,12/04/18 07:48:59 PM,50.819,,,,,,
334,12/04/18 08:48:59 PM,51.172,,,,,,
335,12/04/18 09:20:33 PM,,1.83,,,,,
336,12/04/18 09:48:59 PM,49.759,,,,,,
337,12/04/18 10:23:14 PM,,1.84,,,,,
338,12/04/18 10:31:30 PM,,1.85,,,,,
339,12/04/18 10:38:01 PM,,1.86,,,,,
340,12/04/18 10:41:55 PM,,1.87,,,,,
341,12/04/18 10:46:21 PM,,1.88,,,,,
342,12/04/18 10:48:25 PM,,1.89,,,,,
343,12/04/18 10:48:59 PM,49.050,,,,,,
344,12/04/18 10:52:06 PM,,1.90,,,,,
345,12/04/18 10:55:32 PM,,1.91,,,,,
346,12/04/18 10:58:34 PM,,1.92,,,,,
347,12/04/18 11:00:38 PM,,1.93,,,,,
348,12/04/18 11:03:19 PM,,1.94,,,,,
349,12/04/18 11:04:55 PM,,1.95,,,,,
350,12/04/18 11:07:14 PM,,1.96,,,,,
351,12/04/18 11:08:51 PM,,1.97,,,,,
352,12/04/18 11:10:08 PM,,1.98,,,,,
353,12/04/18 11:11:43 PM,,1.99,,,,,
354,12/04/18 11:13:17 PM,,2.00,,,,,
355,12/04/18 11:14:26 PM,,2.01,,,,,
356,12/04/18 11:16:08 PM,,2.02,,,,,
357,12/04/18 11:18:05 PM,,2.03,,,,,
358,12/04/18 11:20:17 PM,,2.04,,,,,
359,12/04/18 11:22:52 PM,,2.05,,,,,
360,12/04/18 11:25:34 PM,,2.06,,,,,
361,12/04/18 11:28:36 PM,,2.07,,,,,
362,12/04/18 11:32:38 PM,,2.08,,,,,
363,12/04/18 11:36:24 PM,,2.09,,,,,
364,12/04/18 11:48:59 PM,47.446,,,,,,
365,12/05/18 12:48:59 AM,47.446,,,,,,
366,12/05/18 01:44:31 AM,,2.10,,,,,
367,12/05/18 01:48:59 AM,47.624,,,,,,
368,12/05/18 01:54:36 AM,,2.11,,,,,
369,12/05/18 02:21:42 AM,,2.12,,,,,
370,12/05/18 02:25:44 AM,,2.13,,,,,
371,12/05/18 02:48:59 AM,47.624,,,,,,
372,12/05/18 03:08:54 AM,,2.14,,,,,
373,12/05/18 03:34:45 AM,,2.15,,,,,
374,12/05/18 03:41:54 AM,,2.16,,,,,
375,12/05/18 03:48:59 AM,47.624,,,,,,
376,12/05/18 03:58:55 AM,,2.17,,,,,
377,12/05/18 04:06:26 AM,,2.18,,,,,
378,12/05/18 04:15:52 AM,,2.19,,,,,
379,12/05/18 04:25:04 AM,,2.20,,,,,
380,12/05/18 04:28:01 AM,,2.21,,,,,
381,12/05/18 04:48:59 AM,47.624,,,,,,
382,12/05/18 04:51:00 AM,,2.22,,,,,
383,12/05/18 05:02:33 AM,,2.23,,,,,
384,12/05/18 05:34:27 AM,,2.24,,,,,
385,12/05/18 05:39:00 AM,,2.25,,,,,
386,12/05/18 05:43:22 AM,,2.26,,,,,
387,12/05/18 05:48:59 AM,47.624,,,,,,
388,12/05/18 05:55:37 AM,,2.27,,,,,
389,12/05/18 06:48:59 AM,47.802,,,,,,
390,12/05/18 07:44:06 AM,,2.28,,,,,
391,12/05/18 07:48:59 AM,48.339,,,,,,
392,12/05/18 08:48:59 AM,49.582,,,,,,
393,12/05/18 09:48:59 AM,51.346,,,,,,
394,12/05/18 10:48:59 AM,52.750,,,,,,
395,12/05/18 11:48:59 AM,52.576,,,,,,
396,12/05/18 12:48:59 PM,53.798,,,,,,
397,12/05/18 01:09:38 PM,,,,Logged,,,
398,12/05/18 01:09:40 PM,,,Logged,,,,
399,12/05/18 01:09:43 PM,,,,Logged,,,
400,12/05/18 01:10:07 PM,,,,,Logged,,
401,12/05/18 01:10:27 PM,,2.28,,,,Logged,Logged
