"Plot Title: UNF"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 9668993, SEN S/N: 9668993)","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Host Connected (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
152,03/01/18 05:49:07 AM,,1.09,,,,,
153,03/01/18 05:51:55 AM,,1.10,,,,,
154,03/01/18 05:56:51 AM,,1.11,,,,,
155,03/01/18 06:06:48 AM,,1.12,,,,,
156,03/01/18 06:12:05 AM,,1.13,,,,,
157,03/01/18 06:18:57 AM,,1.14,,,,,
158,03/01/18 06:26:41 AM,,1.15,,,,,
159,03/01/18 06:33:50 AM,,1.16,,,,,
160,03/01/18 06:39:30 AM,50.113,,,,,,
161,03/01/18 06:41:49 AM,,1.17,,,,,
162,03/01/18 07:39:30 AM,50.113,,,,,,
163,03/01/18 07:43:40 AM,,1.18,,,,,
164,03/01/18 07:57:45 AM,,1.19,,,,,
165,03/01/18 08:39:30 AM,50.819,,,,,,
166,03/01/18 09:37:37 AM,,1.20,,,,,
167,03/01/18 09:39:12 AM,,1.21,,,,,
168,03/01/18 09:39:30 AM,50.819,,,,,,
169,03/01/18 09:41:09 AM,,1.22,,,,,
170,03/01/18 09:43:51 AM,,1.23,,,,,
171,03/01/18 09:45:07 AM,,1.24,,,,,
172,03/01/18 09:46:15 AM,,1.25,,,,,
173,03/01/18 09:47:04 AM,,1.26,,,,,
174,03/01/18 09:48:06 AM,,1.27,,,,,
175,03/01/18 09:49:03 AM,,1.28,,,,,
176,03/01/18 09:49:53 AM,,1.29,,,,,
177,03/01/18 09:50:19 AM,,1.30,,,,,
178,03/01/18 09:51:12 AM,,1.31,,,,,
179,03/01/18 09:51:56 AM,,1.32,,,,,
180,03/01/18 09:54:17 AM,,1.33,,,,,
181,03/01/18 10:05:57 AM,,1.34,,,,,
182,03/01/18 10:14:46 AM,,1.35,,,,,
183,03/01/18 10:24:38 AM,,1.36,,,,,
184,03/01/18 10:31:58 AM,,1.37,,,,,
185,03/01/18 10:39:30 AM,51.523,,,,,,
186,03/01/18 10:41:42 AM,,1.38,,,,,
187,03/01/18 10:43:08 AM,,1.39,,,,,
188,03/01/18 10:45:07 AM,,1.40,,,,,
189,03/01/18 10:51:17 AM,,1.41,,,,,
190,03/01/18 10:52:57 AM,,1.42,,,,,
191,03/01/18 10:54:10 AM,,1.43,,,,,
192,03/01/18 10:56:11 AM,,1.44,,,,,
193,03/01/18 11:02:18 AM,,1.45,,,,,
194,03/01/18 11:08:01 AM,,1.46,,,,,
195,03/01/18 11:09:40 AM,,1.47,,,,,
196,03/01/18 11:11:31 AM,,1.48,,,,,
197,03/01/18 11:13:26 AM,,1.49,,,,,
198,03/01/18 11:14:44 AM,,1.50,,,,,
199,03/01/18 11:16:47 AM,,1.51,,,,,
200,03/01/18 11:19:47 AM,,1.52,,,,,
201,03/01/18 11:21:23 AM,,1.53,,,,,
202,03/01/18 11:21:53 AM,,1.54,,,,,
203,03/01/18 11:23:03 AM,,1.55,,,,,
204,03/01/18 11:25:17 AM,,1.56,,,,,
205,03/01/18 11:37:57 AM,,1.57,,,,,
206,03/01/18 11:39:29 AM,,1.58,,,,,
207,03/01/18 11:39:30 AM,51.874,,,,,,
208,03/01/18 11:40:26 AM,,1.59,,,,,
209,03/01/18 11:42:29 AM,,1.60,,,,,
210,03/01/18 11:44:58 AM,,1.61,,,,,
211,03/01/18 11:45:44 AM,,1.62,,,,,
212,03/01/18 11:46:38 AM,,1.63,,,,,
213,03/01/18 11:47:39 AM,,1.64,,,,,
214,03/01/18 11:50:02 AM,,1.65,,,,,
215,03/01/18 11:52:12 AM,,1.66,,,,,
216,03/01/18 11:56:06 AM,,1.67,,,,,
217,03/01/18 11:58:24 AM,,1.68,,,,,
218,03/01/18 11:59:40 AM,,1.69,,,,,
219,03/01/18 12:01:16 PM,,1.70,,,,,
220,03/01/18 12:03:33 PM,,1.71,,,,,
221,03/01/18 12:04:42 PM,,1.72,,,,,
222,03/01/18 12:08:10 PM,,1.73,,,,,
223,03/01/18 12:10:18 PM,,1.74,,,,,
224,03/01/18 12:11:20 PM,,1.75,,,,,
225,03/01/18 12:12:51 PM,,1.76,,,,,
226,03/01/18 12:15:06 PM,,1.77,,,,,
227,03/01/18 12:15:42 PM,,1.78,,,,,
228,03/01/18 12:16:59 PM,,1.79,,,,,
229,03/01/18 12:20:07 PM,,1.80,,,,,
230,03/01/18 12:31:54 PM,,1.81,,,,,
231,03/01/18 12:36:03 PM,,1.82,,,,,
232,03/01/18 12:39:30 PM,51.699,,,,,,
