"Plot Title: UNF"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 9668993, SEN S/N: 9668993)","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Host Connected (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
314,03/22/18 05:50:49 AM,,2.70,,,,
315,03/22/18 05:52:42 AM,,2.71,,,,
316,03/22/18 05:54:12 AM,,2.72,,,,
317,03/22/18 05:55:47 AM,,2.73,,,,
318,03/22/18 05:57:22 AM,,2.74,,,,
319,03/22/18 05:58:47 AM,,2.75,,,,
320,03/22/18 06:00:23 AM,,2.76,,,,
321,03/22/18 06:03:01 AM,,2.77,,,,
322,03/22/18 06:04:48 AM,53.973,,,,,
323,03/22/18 06:05:37 AM,,2.78,,,,
324,03/22/18 06:08:43 AM,,2.79,,,,
325,03/22/18 06:11:32 AM,,2.80,,,,
326,03/22/18 06:14:18 AM,,2.81,,,,
327,03/22/18 06:16:15 AM,,2.82,,,,
328,03/22/18 06:20:12 AM,,2.83,,,,
329,03/22/18 06:24:15 AM,,2.84,,,,
330,03/22/18 06:27:23 AM,,2.85,,,,
331,03/22/18 06:30:04 AM,,2.86,,,,
332,03/22/18 06:32:46 AM,,2.87,,,,
333,03/22/18 06:35:09 AM,,2.88,,,,
334,03/22/18 06:38:06 AM,,2.89,,,,
335,03/22/18 06:39:31 AM,,2.90,,,,
336,03/22/18 06:40:57 AM,,2.91,,,,
337,03/22/18 06:42:07 AM,,2.92,,,,
338,03/22/18 06:44:16 AM,,2.93,,,,
339,03/22/18 06:46:01 AM,,2.94,,,,
340,03/22/18 06:47:52 AM,,2.95,,,,
341,03/22/18 06:48:35 AM,,2.96,,,,
342,03/22/18 06:49:22 AM,,2.97,,,,
343,03/22/18 06:50:14 AM,,2.98,,,,
344,03/22/18 06:50:51 AM,,2.99,,,,
345,03/22/18 06:51:35 AM,,3.00,,,,
346,03/22/18 06:52:45 AM,,3.01,,,,
347,03/22/18 06:53:22 AM,,3.02,,,,
348,03/22/18 06:54:39 AM,,3.03,,,,
349,03/22/18 06:55:26 AM,,3.04,,,,
350,03/22/18 06:56:20 AM,,3.05,,,,
351,03/22/18 06:57:38 AM,,3.06,,,,
352,03/22/18 07:01:27 AM,,3.07,,,,
353,03/22/18 07:02:40 AM,,3.08,,,,
354,03/22/18 07:04:43 AM,,3.09,,,,
355,03/22/18 07:04:48 AM,54.322,,,,,
356,03/22/18 07:05:40 AM,,3.10,,,,
357,03/22/18 07:07:17 AM,,3.11,,,,
358,03/22/18 07:09:43 AM,,3.12,,,,
359,03/22/18 07:10:42 AM,,3.13,,,,
360,03/22/18 07:11:33 AM,,3.14,,,,
361,03/22/18 07:12:22 AM,,3.15,,,,
362,03/22/18 07:13:11 AM,,3.16,,,,
363,03/22/18 07:15:20 AM,,3.17,,,,
364,03/22/18 07:19:04 AM,,3.18,,,,
365,03/22/18 07:22:18 AM,,3.19,,,,
366,03/22/18 07:24:53 AM,,3.20,,,,
367,03/22/18 07:27:38 AM,,3.21,,,,
368,03/22/18 07:31:10 AM,,3.22,,,,
369,03/22/18 07:35:30 AM,,3.23,,,,
370,03/22/18 07:38:53 AM,,3.24,,,,
371,03/22/18 07:45:52 AM,,3.25,,,,
372,03/22/18 07:56:52 AM,,3.26,,,,
373,03/22/18 08:04:48 AM,54.669,,,,,
374,03/22/18 08:11:27 AM,,3.27,,,,
375,03/22/18 08:21:34 AM,,3.28,,,,
376,03/22/18 08:26:47 AM,,3.29,,,,
377,03/22/18 08:51:39 AM,,3.30,,,,
378,03/22/18 09:04:48 AM,55.017,,,,,
379,03/22/18 10:04:33 AM,,3.31,,,,
380,03/22/18 10:04:48 AM,55.017,,,,,
381,03/22/18 11:04:48 AM,55.189,,,,,
382,03/22/18 11:13:35 AM,,3.32,,,,
383,03/22/18 11:23:05 AM,,3.33,,,,
384,03/22/18 12:04:48 PM,56.577,,,,,
385,03/22/18 01:04:48 PM,58.303,,,,,
386,03/22/18 02:04:48 PM,56.750,,,,,
387,03/22/18 03:04:48 PM,55.017,,,,,
388,03/22/18 04:04:48 PM,55.364,,,,,
389,03/22/18 05:04:48 PM,52.401,,,,,
390,03/22/18 06:04:48 PM,47.982,,,,,
391,03/22/18 07:04:48 PM,45.828,,,,,
392,03/22/18 08:04:48 PM,43.648,,,,,
393,03/22/18 09:04:48 PM,41.625,,,,,
394,03/22/18 10:04:48 PM,40.881,,,,,
395,03/22/18 11:04:48 PM,40.509,,,,,
396,03/23/18 12:04:48 AM,40.321,,,,,
397,03/23/18 01:04:48 AM,39.573,,,,,
398,03/23/18 02:04:48 AM,39.196,,,,,
399,03/23/18 03:04:48 AM,39.007,,,,,
400,03/23/18 04:04:48 AM,39.573,,,,,
401,03/23/18 05:04:48 AM,39.196,,,,,
402,03/23/18 06:04:48 AM,38.629,,,,,
403,03/23/18 07:04:48 AM,38.440,,,,,
404,03/23/18 08:04:48 AM,39.007,,,,,
405,03/23/18 09:04:48 AM,41.994,,,,,
406,03/23/18 10:04:48 AM,56.404,,,,,
407,03/23/18 11:04:48 AM,52.925,,,,,
408,03/23/18 12:04:48 PM,57.785,,,,,
409,03/23/18 01:04:48 PM,83.935,,,,,
410,03/23/18 02:04:48 PM,60.539,,,,,
411,03/23/18 03:04:48 PM,57.096,,,,,
412,03/23/18 04:04:48 PM,58.820,,,,,
413,03/23/18 05:04:48 PM,56.057,,,,,
414,03/23/18 06:04:48 PM,49.937,,,,,
415,03/23/18 07:04:48 PM,47.802,,,,,
416,03/23/18 08:04:48 PM,45.466,,,,,
417,03/23/18 09:04:48 PM,44.560,,,,,
418,03/23/18 10:04:48 PM,43.831,,,,,
419,03/23/18 11:04:48 PM,44.922,,,,,
420,03/24/18 12:04:48 AM,44.379,,,,,
421,03/24/18 01:04:48 AM,45.286,,,,,
422,03/24/18 01:43:28 AM,,3.34,,,,
423,03/24/18 02:04:48 AM,45.648,,,,,
424,03/24/18 02:55:09 AM,,3.35,,,,
425,03/24/18 02:58:02 AM,,3.36,,,,
426,03/24/18 03:00:35 AM,,3.37,,,,
427,03/24/18 03:02:22 AM,,3.38,,,,
428,03/24/18 03:04:48 AM,46.008,,,,,
429,03/24/18 03:05:33 AM,,3.39,,,,
430,03/24/18 03:09:11 AM,,3.40,,,,
431,03/24/18 03:13:48 AM,,3.41,,,,
432,03/24/18 04:04:48 AM,46.008,,,,,
433,03/24/18 04:42:01 AM,,3.42,,,,
434,03/24/18 05:04:13 AM,,3.43,,,,
435,03/24/18 05:04:48 AM,46.008,,,,,
436,03/24/18 05:18:04 AM,,3.44,,,,
437,03/24/18 05:22:30 AM,,3.45,,,,
438,03/24/18 05:25:37 AM,,3.46,,,,
439,03/24/18 05:45:55 AM,,3.47,,,,
440,03/24/18 06:04:48 AM,46.188,,,,,
441,03/24/18 07:04:48 AM,45.828,,,,,
442,03/24/18 08:04:48 AM,46.728,,,,,
443,03/24/18 09:04:48 AM,48.871,,,,,
