"Plot Title: UQC"
"#","Date Time, GMT-08:00","Event, inches (LGR S/N: 10592087, SEN S/N: 10592087)","Coupler Attached (LGR S/N: 10592087, SEN S/N: 10592087)","Stopped (LGR S/N: 10592087, SEN S/N: 10592087)","End Of File (LGR S/N: 10592087, SEN S/N: 10592087)"
165,11/30/14 10:43:14 AM,1.64,,,
166,11/30/14 10:43:56 AM,1.65,,,
167,11/30/14 10:45:48 AM,1.66,,,
168,11/30/14 10:51:18 AM,1.67,,,
169,12/01/14 09:43:48 AM,1.68,,,
170,12/01/14 12:05:11 PM,1.69,,,
171,12/01/14 12:24:19 PM,1.70,,,
172,12/02/14 01:13:06 AM,1.71,,,
173,12/02/14 01:29:05 AM,1.72,,,
174,12/02/14 01:54:25 AM,1.73,,,
175,12/02/14 01:54:26 AM,1.74,,,
176,12/02/14 02:21:16 AM,1.75,,,
177,12/02/14 02:24:15 AM,1.76,,,
178,12/02/14 02:29:16 AM,1.77,,,
179,12/02/14 02:34:15 AM,1.78,,,
180,12/02/14 02:37:40 AM,1.79,,,
181,12/02/14 02:45:56 AM,1.80,,,
182,12/02/14 02:58:24 AM,1.81,,,
183,12/02/14 03:11:02 AM,1.82,,,
184,12/02/14 03:52:45 AM,1.83,,,
185,12/02/14 04:02:23 AM,1.84,,,
186,12/02/14 04:22:22 AM,1.85,,,
187,12/02/14 04:28:19 AM,1.86,,,
188,12/02/14 04:31:51 AM,1.87,,,
189,12/02/14 04:37:39 AM,1.88,,,
190,12/02/14 04:41:18 AM,1.89,,,
191,12/02/14 04:44:07 AM,1.90,,,
192,12/02/14 04:46:49 AM,1.91,,,
193,12/02/14 04:48:53 AM,1.92,,,
194,12/02/14 04:50:40 AM,1.93,,,
195,12/02/14 04:53:18 AM,1.94,,,
196,12/02/14 04:55:16 AM,1.95,,,
197,12/02/14 04:57:35 AM,1.96,,,
198,12/02/14 04:59:35 AM,1.97,,,
199,12/02/14 05:01:30 AM,1.98,,,
200,12/02/14 05:03:05 AM,1.99,,,
201,12/02/14 05:04:49 AM,2.00,,,
202,12/02/14 05:06:24 AM,2.01,,,
203,12/02/14 05:07:46 AM,2.02,,,
204,12/02/14 05:09:16 AM,2.03,,,
205,12/02/14 05:11:11 AM,2.04,,,
206,12/02/14 05:13:05 AM,2.05,,,
207,12/02/14 05:14:40 AM,2.06,,,
208,12/02/14 05:16:34 AM,2.07,,,
209,12/02/14 05:18:09 AM,2.08,,,
210,12/02/14 05:19:26 AM,2.09,,,
211,12/02/14 05:20:57 AM,2.10,,,
212,12/02/14 05:22:32 AM,2.11,,,
213,12/02/14 05:23:54 AM,2.12,,,
214,12/02/14 05:23:55 AM,2.13,,,
215,12/02/14 05:25:16 AM,2.14,,,
216,12/02/14 05:26:19 AM,2.15,,,
217,12/02/14 05:27:26 AM,2.16,,,
218,12/02/14 05:28:35 AM,2.17,,,
219,12/02/14 05:29:46 AM,2.18,,,
220,12/02/14 05:30:57 AM,2.19,,,
221,12/02/14 05:30:58 AM,2.20,,,
222,12/02/14 05:31:51 AM,2.21,,,
223,12/02/14 05:32:44 AM,2.22,,,
224,12/02/14 05:32:45 AM,2.23,,,
225,12/02/14 05:33:46 AM,2.24,,,
226,12/02/14 05:34:42 AM,2.25,,,
227,12/02/14 05:36:04 AM,2.26,,,
228,12/02/14 05:37:42 AM,2.27,,,
229,12/02/14 05:38:59 AM,2.28,,,
230,12/02/14 05:40:06 AM,2.29,,,
231,12/02/14 05:41:21 AM,2.30,,,
232,12/02/14 05:42:51 AM,2.31,,,
233,12/02/14 05:44:31 AM,2.32,,,
234,12/02/14 05:45:57 AM,2.33,,,
235,12/02/14 05:47:17 AM,2.34,,,
236,12/02/14 05:48:14 AM,2.35,,,
237,12/02/14 05:49:27 AM,2.36,,,
238,12/02/14 05:50:43 AM,2.37,,,
239,12/02/14 05:52:04 AM,2.38,,,
240,12/02/14 05:53:31 AM,2.39,,,
241,12/02/14 05:55:03 AM,2.40,,,
242,12/02/14 05:56:35 AM,2.41,,,
243,12/02/14 05:58:32 AM,2.42,,,
244,12/02/14 06:00:26 AM,2.43,,,
245,12/02/14 06:03:06 AM,2.44,,,
246,12/02/14 06:06:09 AM,2.45,,,
247,12/02/14 06:06:10 AM,2.46,,,
248,12/02/14 06:09:31 AM,2.47,,,
249,12/02/14 06:13:24 AM,2.48,,,
250,12/02/14 06:13:25 AM,2.49,,,
251,12/02/14 06:16:56 AM,2.50,,,
252,12/02/14 06:20:25 AM,2.51,,,
253,12/02/14 06:24:16 AM,2.52,,,
254,12/02/14 06:29:51 AM,2.53,,,
255,12/02/14 06:34:32 AM,2.54,,,
256,12/02/14 06:40:47 AM,2.55,,,
257,12/02/14 06:45:20 AM,2.56,,,
258,12/02/14 06:48:59 AM,2.57,,,
259,12/02/14 06:52:42 AM,2.58,,,
260,12/02/14 06:57:06 AM,2.59,,,
261,12/02/14 07:00:29 AM,2.60,,,
262,12/02/14 07:04:40 AM,2.61,,,
263,12/02/14 07:04:41 AM,2.62,,,
264,12/02/14 07:09:37 AM,2.63,,,
265,12/02/14 07:14:25 AM,2.64,,,
266,12/02/14 07:19:23 AM,2.65,,,
267,12/02/14 07:24:21 AM,2.66,,,
268,12/02/14 07:29:05 AM,2.67,,,
269,12/02/14 07:39:54 AM,2.68,,,
270,12/02/14 07:49:46 AM,2.69,,,
271,12/02/14 08:01:24 AM,2.70,,,
272,12/02/14 08:01:25 AM,2.71,,,
273,12/02/14 09:29:44 AM,2.72,,,
274,12/02/14 09:39:07 AM,2.73,,,
275,12/02/14 09:46:28 AM,2.74,,,
276,12/02/14 09:49:20 AM,2.75,,,
277,12/02/14 09:51:29 AM,2.76,,,
278,12/02/14 09:53:28 AM,2.77,,,
279,12/02/14 09:53:29 AM,2.78,,,
280,12/02/14 09:57:16 AM,2.79,,,
281,12/02/14 10:01:40 AM,2.80,,,
282,12/02/14 10:05:04 AM,2.81,,,
283,12/02/14 11:06:30 AM,2.82,,,
284,12/02/14 11:28:29 AM,2.83,,,
285,12/02/14 11:33:30 AM,2.84,,,
286,12/02/14 11:35:55 AM,2.85,,,
287,12/02/14 11:36:46 AM,2.86,,,
288,12/02/14 11:37:28 AM,2.87,,,
289,12/02/14 11:38:55 AM,2.88,,,
290,12/02/14 11:38:56 AM,2.89,,,
291,12/02/14 11:41:29 AM,2.90,,,
