"Plot Title: AL"
"#","Date Time, GMT-08:00","Event, inch (LGR S/N: 10592075, SEN S/N: 10592075)","Coupler Detached (LGR S/N: 10592075, SEN S/N: 10592075)","Coupler Attached (LGR S/N: 10592075, SEN S/N: 10592075)","Stopped (LGR S/N: 10592075, SEN S/N: 10592075)","End Of File (LGR S/N: 10592075, SEN S/N: 10592075)"
82,01/05/16 01:31:38 AM,0.80,,,,
83,01/05/16 01:35:16 AM,0.81,,,,
84,01/05/16 01:38:58 AM,0.82,,,,
85,01/05/16 01:43:25 AM,0.83,,,,
86,01/05/16 01:48:49 AM,0.84,,,,
87,01/05/16 01:53:58 AM,0.85,,,,
88,01/05/16 02:00:55 AM,0.86,,,,
89,01/05/16 02:09:25 AM,0.87,,,,
90,01/05/16 02:09:26 AM,0.88,,,,
91,01/05/16 02:13:36 AM,0.89,,,,
92,01/05/16 02:13:37 AM,0.90,,,,
93,01/05/16 02:18:56 AM,0.91,,,,
94,01/05/16 02:18:57 AM,0.92,,,,
95,01/05/16 02:21:06 AM,0.93,,,,
96,01/05/16 02:23:39 AM,0.94,,,,
97,01/05/16 02:29:03 AM,0.95,,,,
98,01/05/16 02:34:08 AM,0.96,,,,
99,01/05/16 02:37:34 AM,0.97,,,,
100,01/05/16 02:40:36 AM,0.98,,,,
101,01/05/16 02:45:41 AM,0.99,,,,
102,01/05/16 02:58:27 AM,1.00,,,,
103,01/05/16 03:02:07 AM,1.01,,,,
104,01/05/16 03:02:08 AM,1.02,,,,
105,01/05/16 03:05:05 AM,1.03,,,,
106,01/05/16 03:07:41 AM,1.04,,,,
107,01/05/16 03:10:01 AM,1.05,,,,
108,01/05/16 03:12:16 AM,1.06,,,,
109,01/05/16 03:14:53 AM,1.07,,,,
110,01/05/16 03:16:30 AM,1.08,,,,
111,01/05/16 03:17:50 AM,1.09,,,,
112,01/05/16 03:19:27 AM,1.10,,,,
113,01/05/16 03:19:28 AM,1.11,,,,
114,01/05/16 03:21:06 AM,1.12,,,,
115,01/05/16 03:22:30 AM,1.13,,,,
116,01/05/16 03:22:31 AM,1.14,,,,
117,01/05/16 03:24:11 AM,1.15,,,,
118,01/05/16 03:25:39 AM,1.16,,,,
119,01/05/16 03:26:54 AM,1.17,,,,
120,01/05/16 03:27:51 AM,1.18,,,,
121,01/05/16 03:29:17 AM,1.19,,,,
122,01/05/16 03:30:48 AM,1.20,,,,
123,01/05/16 03:32:05 AM,1.21,,,,
124,01/05/16 03:32:06 AM,1.22,,,,
125,01/05/16 03:33:05 AM,1.23,,,,
126,01/05/16 03:34:17 AM,1.24,,,,
127,01/05/16 03:35:30 AM,1.25,,,,
128,01/05/16 03:36:32 AM,1.26,,,,
129,01/05/16 03:36:33 AM,1.27,,,,
130,01/05/16 03:37:12 AM,1.28,,,,
131,01/05/16 03:37:13 AM,1.29,,,,
132,01/05/16 03:37:59 AM,1.30,,,,
133,01/05/16 03:38:00 AM,1.31,,,,
134,01/05/16 03:38:56 AM,1.32,,,,
135,01/05/16 03:39:49 AM,1.33,,,,
136,01/05/16 03:40:44 AM,1.34,,,,
137,01/05/16 03:41:31 AM,1.35,,,,
138,01/05/16 03:42:15 AM,1.36,,,,
139,01/05/16 03:42:47 AM,1.37,,,,
140,01/05/16 03:42:48 AM,1.38,,,,
141,01/05/16 03:43:13 AM,1.39,,,,
142,01/05/16 03:43:35 AM,1.40,,,,
143,01/05/16 03:43:36 AM,1.41,,,,
144,01/05/16 03:44:09 AM,1.42,,,,
145,01/05/16 03:44:35 AM,1.43,,,,
146,01/05/16 03:44:36 AM,1.44,,,,
147,01/05/16 03:45:03 AM,1.45,,,,
148,01/05/16 03:45:35 AM,1.46,,,,
149,01/05/16 03:46:06 AM,1.47,,,,
150,01/05/16 03:46:38 AM,1.48,,,,
151,01/05/16 03:47:06 AM,1.49,,,,
152,01/05/16 03:47:46 AM,1.50,,,,
153,01/05/16 03:48:31 AM,1.51,,,,
154,01/05/16 03:48:32 AM,1.52,,,,
155,01/05/16 03:49:32 AM,1.53,,,,
156,01/05/16 03:51:13 AM,1.54,,,,
157,01/05/16 03:52:21 AM,1.55,,,,
158,01/05/16 03:53:03 AM,1.56,,,,
159,01/05/16 03:53:04 AM,1.57,,,,
160,01/05/16 03:54:11 AM,1.58,,,,
161,01/05/16 03:55:24 AM,1.59,,,,
162,01/05/16 03:56:51 AM,1.60,,,,
163,01/05/16 03:58:43 AM,1.61,,,,
164,01/05/16 04:01:21 AM,1.62,,,,
165,01/05/16 04:02:55 AM,1.63,,,,
166,01/05/16 04:04:11 AM,1.64,,,,
167,01/05/16 04:06:01 AM,1.65,,,,
168,01/05/16 04:08:08 AM,1.66,,,,
169,01/05/16 04:09:54 AM,1.67,,,,
170,01/05/16 04:12:18 AM,1.68,,,,
171,01/05/16 04:14:32 AM,1.69,,,,
172,01/05/16 04:16:50 AM,1.70,,,,
173,01/05/16 04:18:58 AM,1.71,,,,
174,01/05/16 04:21:06 AM,1.72,,,,
175,01/05/16 04:23:12 AM,1.73,,,,
176,01/05/16 04:26:15 AM,1.74,,,,
177,01/05/16 04:26:16 AM,1.75,,,,
178,01/05/16 04:29:35 AM,1.76,,,,
179,01/05/16 04:32:24 AM,1.77,,,,
180,01/05/16 04:35:46 AM,1.78,,,,
181,01/05/16 04:38:30 AM,1.79,,,,
182,01/05/16 04:43:08 AM,1.80,,,,
183,01/05/16 04:43:09 AM,1.81,,,,
184,01/05/16 04:47:01 AM,1.82,,,,
185,01/05/16 04:50:56 AM,1.83,,,,
186,01/05/16 04:53:08 AM,1.84,,,,
187,01/05/16 04:53:09 AM,1.85,,,,
188,01/05/16 04:55:17 AM,1.86,,,,
189,01/05/16 04:56:53 AM,1.87,,,,
190,01/05/16 04:58:29 AM,1.88,,,,
191,01/05/16 05:00:29 AM,1.89,,,,
192,01/05/16 05:04:10 AM,1.90,,,,
193,01/05/16 05:08:13 AM,1.91,,,,
194,01/05/16 05:08:14 AM,1.92,,,,
195,01/05/16 05:25:18 AM,1.93,,,,
196,01/05/16 05:35:31 AM,1.94,,,,
197,01/05/16 05:41:46 AM,1.95,,,,
198,01/05/16 05:41:47 AM,1.96,,,,
199,01/05/16 05:45:28 AM,1.97,,,,
200,01/05/16 05:50:55 AM,1.98,,,,
201,01/05/16 06:16:02 AM,1.99,,,,
202,01/05/16 06:23:59 AM,2.00,,,,
203,01/05/16 06:25:42 AM,2.01,,,,
204,01/05/16 06:49:27 AM,2.02,,,,
205,01/05/16 07:39:48 AM,2.03,,,,
206,01/05/16 09:06:58 AM,2.04,,,,
207,01/05/16 09:09:48 AM,2.05,,,,
208,01/05/16 09:13:59 AM,2.06,,,,
209,01/05/16 09:15:17 AM,2.07,,,,
210,01/05/16 09:16:38 AM,2.08,,,,
211,01/05/16 09:17:57 AM,2.09,,,,
212,01/05/16 09:17:58 AM,2.10,,,,
213,01/05/16 09:19:33 AM,2.11,,,,
214,01/05/16 09:23:01 AM,2.12,,,,
215,01/05/16 09:25:18 AM,2.13,,,,
216,01/05/16 09:27:17 AM,2.14,,,,
217,01/05/16 09:28:39 AM,2.15,,,,
218,01/05/16 09:31:05 AM,2.16,,,,
219,01/05/16 09:31:06 AM,2.17,,,,
220,01/05/16 09:35:54 AM,2.18,,,,
221,01/05/16 09:41:42 AM,2.19,,,,
222,01/05/16 09:41:43 AM,2.20,,,,
223,01/05/16 09:59:05 AM,2.21,,,,
224,01/05/16 10:18:39 AM,2.22,,,,
225,01/05/16 10:20:32 AM,2.23,,,,
226,01/05/16 10:23:20 AM,2.24,,,,
227,01/05/16 10:32:01 AM,2.25,,,,
228,01/05/16 10:35:23 AM,2.26,,,,
229,01/05/16 10:41:14 AM,2.27,,,,
230,01/05/16 11:24:34 AM,2.28,,,,
231,01/05/16 11:51:28 AM,2.29,,,,
232,01/05/16 12:02:57 PM,2.30,,,,
233,01/05/16 12:10:04 PM,2.31,,,,
234,01/05/16 12:15:48 PM,2.32,,,,
235,01/05/16 12:31:45 PM,2.33,,,,
236,01/05/16 02:48:19 PM,2.34,,,,
237,01/05/16 02:50:34 PM,2.35,,,,
238,01/05/16 02:51:22 PM,2.36,,,,
239,01/05/16 02:51:23 PM,2.37,,,,
240,01/05/16 02:53:35 PM,2.38,,,,
241,01/05/16 02:57:54 PM,2.39,,,,
242,01/05/16 03:00:05 PM,2.40,,,,
243,01/05/16 04:10:36 PM,2.41,,,,
244,01/05/16 04:10:37 PM,2.42,,,,
245,01/05/16 04:12:10 PM,2.43,,,,
246,01/05/16 04:21:12 PM,2.44,,,,
247,01/06/16 02:58:11 AM,2.45,,,,
248,01/06/16 02:58:12 AM,2.46,,,,
249,01/06/16 03:05:23 AM,2.47,,,,
250,01/06/16 03:05:24 AM,2.48,,,,
251,01/06/16 03:10:31 AM,2.49,,,,
252,01/06/16 03:17:54 AM,2.50,,,,
253,01/06/16 03:21:56 AM,2.51,,,,
254,01/06/16 03:24:08 AM,2.52,,,,
255,01/06/16 03:26:40 AM,2.53,,,,
256,01/06/16 03:29:56 AM,2.54,,,,
257,01/06/16 03:32:42 AM,2.55,,,,
258,01/06/16 03:35:10 AM,2.56,,,,
259,01/06/16 03:37:25 AM,2.57,,,,
260,01/06/16 03:40:53 AM,2.58,,,,
261,01/06/16 03:40:54 AM,2.59,,,,
262,01/06/16 03:44:40 AM,2.60,,,,
263,01/06/16 03:46:57 AM,2.61,,,,
264,01/06/16 03:48:34 AM,2.62,,,,
265,01/06/16 03:50:12 AM,2.63,,,,
266,01/06/16 03:50:13 AM,2.64,,,,
267,01/06/16 03:52:47 AM,2.65,,,,
268,01/06/16 03:56:45 AM,2.66,,,,
269,01/06/16 03:58:51 AM,2.67,,,,
270,01/06/16 04:00:36 AM,2.68,,,,
271,01/06/16 04:01:23 AM,2.69,,,,
272,01/06/16 04:03:47 AM,2.70,,,,
273,01/06/16 04:06:06 AM,2.71,,,,
274,01/06/16 04:07:14 AM,2.72,,,,
275,01/06/16 04:08:41 AM,2.73,,,,
276,01/06/16 04:10:53 AM,2.74,,,,
277,01/06/16 04:12:37 AM,2.75,,,,
278,01/06/16 04:14:44 AM,2.76,,,,
279,01/06/16 04:16:36 AM,2.77,,,,
280,01/06/16 04:18:43 AM,2.78,,,,
281,01/06/16 04:20:49 AM,2.79,,,,
282,01/06/16 04:20:50 AM,2.80,,,,
283,01/06/16 04:22:38 AM,2.81,,,,
284,01/06/16 04:23:46 AM,2.82,,,,
285,01/06/16 04:25:06 AM,2.83,,,,
286,01/06/16 04:26:26 AM,2.84,,,,
287,01/06/16 04:26:27 AM,2.85,,,,
288,01/06/16 04:28:05 AM,2.86,,,,
289,01/06/16 04:29:54 AM,2.87,,,,
290,01/06/16 04:31:27 AM,2.88,,,,
291,01/06/16 04:32:23 AM,2.89,,,,
292,01/06/16 04:33:37 AM,2.90,,,,
293,01/06/16 04:34:19 AM,2.91,,,,
294,01/06/16 04:35:24 AM,2.92,,,,
295,01/06/16 04:35:25 AM,2.93,,,,
296,01/06/16 04:36:36 AM,2.94,,,,
297,01/06/16 04:37:37 AM,2.95,,,,
298,01/06/16 04:38:52 AM,2.96,,,,
299,01/06/16 04:40:20 AM,2.97,,,,
300,01/06/16 04:41:50 AM,2.98,,,,
301,01/06/16 04:42:59 AM,2.99,,,,
302,01/06/16 04:44:14 AM,3.00,,,,
303,01/06/16 04:45:20 AM,3.01,,,,
304,01/06/16 04:47:03 AM,3.02,,,,
305,01/06/16 04:49:04 AM,3.03,,,,
306,01/06/16 04:50:08 AM,3.04,,,,
307,01/06/16 04:51:17 AM,3.05,,,,
308,01/06/16 04:52:53 AM,3.06,,,,
309,01/06/16 04:52:54 AM,3.07,,,,
310,01/06/16 04:54:25 AM,3.08,,,,
311,01/06/16 04:55:18 AM,3.09,,,,
312,01/06/16 04:56:01 AM,3.10,,,,
313,01/06/16 04:56:45 AM,3.11,,,,
314,01/06/16 04:57:36 AM,3.12,,,,
315,01/06/16 04:59:14 AM,3.13,,,,
316,01/06/16 04:59:15 AM,3.14,,,,
317,01/06/16 05:00:55 AM,3.15,,,,
318,01/06/16 05:02:13 AM,3.16,,,,
319,01/06/16 05:02:57 AM,3.17,,,,
320,01/06/16 05:03:48 AM,3.18,,,,
321,01/06/16 05:05:36 AM,3.19,,,,
322,01/06/16 05:09:56 AM,3.20,,,,
323,01/06/16 05:18:09 AM,3.21,,,,
324,01/06/16 05:22:16 AM,3.22,,,,
325,01/06/16 05:30:16 AM,3.23,,,,
326,01/06/16 05:30:17 AM,3.24,,,,
327,01/06/16 05:40:28 AM,3.25,,,,
328,01/06/16 05:40:29 AM,3.26,,,,
329,01/06/16 05:45:46 AM,3.27,,,,
330,01/06/16 06:48:32 AM,3.28,,,,
331,01/06/16 06:48:33 AM,3.29,,,,
332,01/06/16 06:55:03 AM,3.30,,,,
333,01/06/16 06:57:47 AM,3.31,,,,
334,01/06/16 06:57:48 AM,3.32,,,,
335,01/06/16 06:59:10 AM,3.33,,,,
336,01/06/16 07:00:36 AM,3.34,,,,
337,01/06/16 07:15:27 AM,3.35,,,,
338,01/06/16 07:20:00 AM,3.36,,,,
339,01/06/16 07:20:01 AM,3.37,,,,
340,01/06/16 07:21:32 AM,3.38,,,,
341,01/06/16 07:24:08 AM,3.39,,,,
342,01/06/16 07:25:35 AM,3.40,,,,
343,01/06/16 07:26:14 AM,3.41,,,,
344,01/06/16 07:26:15 AM,3.42,,,,
345,01/06/16 07:27:31 AM,3.43,,,,
346,01/06/16 07:27:32 AM,3.44,,,,
347,01/06/16 07:31:37 AM,3.45,,,,
348,01/06/16 07:40:16 AM,3.46,,,,
349,01/06/16 07:40:17 AM,3.47,,,,
350,01/06/16 07:51:26 AM,3.48,,,,
351,01/06/16 07:55:52 AM,3.49,,,,
352,01/06/16 07:55:53 AM,3.50,,,,
353,01/06/16 07:58:30 AM,3.51,,,,
354,01/06/16 08:01:46 AM,3.52,,,,
355,01/06/16 08:03:36 AM,3.53,,,,
356,01/06/16 08:05:18 AM,3.54,,,,
357,01/06/16 08:08:55 AM,3.55,,,,
358,01/06/16 08:08:56 AM,3.56,,,,
359,01/06/16 08:38:32 AM,3.57,,,,
360,01/06/16 09:50:51 AM,3.58,,,,
361,01/06/16 10:32:15 AM,3.59,,,,
362,01/06/16 10:43:43 AM,3.60,,,,
363,01/06/16 12:45:12 PM,3.61,,,,
364,01/06/16 08:54:10 PM,3.62,,,,
365,01/06/16 08:54:11 PM,3.63,,,,
366,01/06/16 10:32:34 PM,3.64,,,,
367,01/06/16 10:38:40 PM,3.65,,,,
368,01/06/16 11:53:58 PM,3.66,,,,
369,01/06/16 11:55:18 PM,3.67,,,,
370,01/06/16 11:57:10 PM,3.68,,,,
371,01/07/16 12:33:11 AM,3.69,,,,
372,01/07/16 01:33:23 AM,3.70,,,,
373,01/07/16 01:35:02 AM,3.71,,,,
374,01/07/16 01:37:15 AM,3.72,,,,
375,01/07/16 01:41:46 AM,3.73,,,,
376,01/07/16 02:09:01 AM,3.74,,,,
377,01/07/16 02:42:54 AM,3.75,,,,
378,01/07/16 02:49:26 AM,3.76,,,,
379,01/07/16 02:50:42 AM,3.77,,,,
380,01/07/16 02:52:29 AM,3.78,,,,
381,01/07/16 02:54:58 AM,3.79,,,,
382,01/07/16 02:58:15 AM,3.80,,,,
383,01/07/16 02:58:16 AM,3.81,,,,
384,01/07/16 03:00:48 AM,3.82,,,,
385,01/07/16 03:00:49 AM,3.83,,,,
386,01/07/16 03:07:01 AM,3.84,,,,
387,01/07/16 03:52:49 AM,3.85,,,,
388,01/07/16 04:01:38 AM,3.86,,,,
389,01/07/16 04:05:03 AM,3.87,,,,
390,01/07/16 04:09:56 AM,3.88,,,,
391,01/07/16 04:15:24 AM,3.89,,,,
392,01/07/16 04:27:10 AM,3.90,,,,
393,01/07/16 05:01:36 AM,3.91,,,,
394,01/07/16 05:11:50 AM,3.92,,,,
395,01/07/16 05:17:30 AM,3.93,,,,
396,01/07/16 05:17:31 AM,3.94,,,,
397,01/07/16 05:24:07 AM,3.95,,,,
398,01/07/16 05:47:18 AM,3.96,,,,
399,01/09/16 06:47:16 AM,3.97,,,,
400,01/13/16 01:26:56 AM,3.98,,,,
401,01/13/16 01:31:08 AM,3.99,,,,
402,01/13/16 01:33:58 AM,4.00,,,,
403,01/13/16 01:36:25 AM,4.01,,,,
404,01/13/16 01:38:27 AM,4.02,,,,
405,01/13/16 01:40:36 AM,4.03,,,,
406,01/13/16 01:43:15 AM,4.04,,,,
407,01/13/16 01:45:52 AM,4.05,,,,
408,01/13/16 01:45:53 AM,4.06,,,,
409,01/13/16 01:47:37 AM,4.07,,,,
410,01/13/16 01:47:38 AM,4.08,,,,
411,01/13/16 01:49:27 AM,4.09,,,,
412,01/13/16 01:50:39 AM,4.10,,,,
413,01/13/16 01:51:43 AM,4.11,,,,
414,01/13/16 01:52:54 AM,4.12,,,,
415,01/13/16 01:53:51 AM,4.13,,,,
416,01/13/16 01:54:52 AM,4.14,,,,
417,01/13/16 01:56:38 AM,4.15,,,,
418,01/13/16 01:56:39 AM,4.16,,,,
419,01/13/16 01:58:19 AM,4.17,,,,
420,01/13/16 02:00:00 AM,4.18,,,,
421,01/13/16 02:02:30 AM,4.19,,,,
422,01/13/16 02:04:17 AM,4.20,,,,
423,01/13/16 02:06:23 AM,4.21,,,,
424,01/13/16 02:09:06 AM,4.22,,,,
425,01/13/16 02:09:07 AM,4.23,,,,
426,01/13/16 02:15:22 AM,4.24,,,,
427,01/13/16 02:15:23 AM,4.25,,,,
428,01/13/16 02:21:04 AM,4.26,,,,
429,01/13/16 02:36:12 AM,4.27,,,,
430,01/13/16 02:36:13 AM,4.28,,,,
431,01/13/16 02:56:36 AM,4.29,,,,
432,01/13/16 04:09:03 AM,4.30,,,,
433,01/13/16 04:09:04 AM,4.31,,,,
434,01/13/16 05:00:03 AM,4.32,,,,
435,01/13/16 05:53:15 AM,4.33,,,,
436,01/14/16 01:13:09 PM,,,Logged,,
437,01/14/16 01:13:16 PM,4.33,,,Logged,Logged
