"Plot Title: RLNF"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10592085, SEN S/N: 10592085)","Event, units (LGR S/N: 10592085, SEN S/N: 10592085)","Coupler Detached (LGR S/N: 10592085, SEN S/N: 10592085)","End Of File (LGR S/N: 10592085, SEN S/N: 10592085)"
54,09/08/16 02:31:15 PM,94.825,,,
55,09/08/16 03:31:15 PM,91.800,,,
56,09/08/16 04:31:15 PM,86.459,,,
57,09/08/16 05:31:15 PM,69.278,,,
58,09/08/16 06:31:15 PM,62.769,,,
59,09/08/16 07:31:15 PM,57.441,,,
60,09/08/16 08:31:15 PM,53.798,,,
61,09/08/16 09:31:15 PM,52.576,,,
62,09/08/16 10:31:15 PM,53.274,,,
63,09/08/16 11:31:15 PM,53.100,,,
64,09/09/16 12:31:15 AM,54.495,,,
65,09/09/16 01:31:15 AM,53.798,,,
66,09/09/16 02:31:15 AM,55.189,,,
67,09/09/16 03:31:15 AM,56.404,,,
68,09/09/16 04:31:15 AM,56.750,,,
69,09/09/16 05:31:15 AM,56.577,,,
70,09/09/16 06:31:15 AM,56.057,,,
71,09/09/16 07:31:15 AM,55.537,,,
72,09/09/16 08:31:15 AM,56.750,,,
73,09/09/16 09:31:15 AM,58.303,,,
74,09/09/16 10:31:15 AM,60.883,,,
75,09/09/16 11:31:15 AM,65.509,,,
76,09/09/16 12:31:15 PM,71.168,,,
77,09/09/16 01:31:15 PM,93.873,,,
78,09/09/16 02:31:15 PM,96.555,,,
79,09/09/16 03:31:15 PM,95.207,,,
80,09/09/16 04:31:15 PM,89.384,,,
81,09/09/16 05:31:15 PM,69.278,,,
82,09/09/16 06:31:15 PM,62.769,,,
83,09/09/16 07:31:15 PM,56.577,,,
84,09/09/16 08:31:15 PM,52.925,,,
85,09/09/16 09:31:15 PM,51.346,,,
86,09/09/16 10:31:15 PM,50.643,,,
87,09/09/16 11:31:15 PM,51.172,,,
88,09/10/16 12:31:15 AM,54.147,,,
89,09/10/16 01:31:15 AM,55.017,,,
90,09/10/16 02:31:15 AM,54.842,,,
91,09/10/16 03:31:15 AM,51.874,,,
92,09/10/16 04:31:15 AM,49.759,,,
93,09/10/16 05:31:15 AM,49.582,,,
94,09/10/16 06:31:15 AM,50.290,,,
95,09/10/16 07:31:15 AM,53.973,,,
96,09/10/16 08:31:15 AM,53.274,,,
97,09/10/16 09:31:15 AM,56.404,,,
98,09/10/16 10:31:15 AM,61.569,,,
99,09/10/16 11:31:15 AM,66.708,,,
100,09/10/16 12:31:15 PM,72.028,,,
101,09/10/16 01:31:15 PM,93.304,,,
102,09/10/16 02:31:15 PM,96.942,,,
103,09/10/16 03:31:15 PM,94.633,,,
104,09/10/16 04:31:15 PM,88.282,,,
105,09/10/16 05:31:15 PM,69.622,,,
106,09/10/16 06:31:15 PM,62.598,,,
107,09/10/16 07:31:15 PM,56.577,,,
108,09/10/16 08:31:15 PM,54.495,,,
109,09/10/16 09:31:15 PM,53.449,,,
110,09/10/16 10:31:15 PM,51.699,,,
111,09/10/16 11:31:15 PM,51.874,,,
112,09/11/16 12:31:15 AM,50.995,,,
113,09/11/16 01:31:15 AM,49.937,,,
114,09/11/16 02:31:15 AM,49.050,,,
115,09/11/16 03:31:15 AM,48.517,,,
116,09/11/16 04:31:15 AM,48.160,,,
117,09/11/16 05:31:15 AM,47.802,,,
118,09/11/16 06:31:15 AM,47.624,,,
119,09/11/16 07:31:15 AM,47.982,,,
120,09/11/16 08:31:15 AM,49.582,,,
121,09/11/16 09:31:15 AM,54.669,,,
122,09/11/16 10:31:15 AM,60.539,,,
123,09/11/16 11:31:15 AM,64.310,,,
124,09/11/16 12:31:15 PM,72.028,,,
125,09/11/16 01:31:15 PM,88.099,,,
126,09/11/16 02:31:15 PM,91.240,,,
127,09/11/16 03:31:15 PM,89.755,,,
128,09/11/16 04:31:15 PM,83.043,,,
129,09/11/16 05:31:15 PM,64.825,,,
130,09/11/16 06:31:15 PM,59.680,,,
131,09/11/16 07:31:15 PM,56.230,,,
132,09/11/16 08:31:15 PM,54.842,,,
133,09/11/16 09:31:15 PM,54.147,,,
134,09/11/16 10:31:15 PM,53.274,,,
135,09/11/16 11:31:15 PM,52.401,,,
136,09/12/16 12:31:15 AM,52.401,,,
137,09/12/16 01:31:15 AM,52.050,,,
138,09/12/16 02:31:15 AM,51.874,,,
139,09/12/16 03:31:15 AM,51.172,,,
140,09/12/16 04:31:15 AM,50.466,,,
141,09/12/16 05:31:15 AM,50.113,,,
142,09/12/16 06:31:15 AM,49.937,,,
143,09/12/16 07:31:15 AM,50.113,,,
144,09/12/16 08:31:15 AM,51.523,,,
145,09/12/16 09:31:15 AM,55.017,,,
146,09/12/16 10:31:15 AM,60.368,,,
147,09/12/16 10:47:37 AM,,0.01,,Logged
