"Plot Title: UNF"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 9668993, SEN S/N: 9668993)","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Host Connected (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
153,03/04/19 02:30:00 AM,47.088,,,,,,
154,03/04/19 03:00:00 AM,47.088,,,,,,
155,03/04/19 03:30:00 AM,47.088,,,,,,
156,03/04/19 04:00:00 AM,46.908,,,,,,
157,03/04/19 04:30:00 AM,46.728,,,,,,
158,03/04/19 05:00:00 AM,46.548,,,,,,
159,03/04/19 05:01:18 AM,,0.76,,,,,
160,03/04/19 05:30:00 AM,46.008,,,,,,
161,03/04/19 06:00:00 AM,45.286,,,,,,
162,03/04/19 06:30:00 AM,45.104,,,,,,
163,03/04/19 07:00:00 AM,44.742,,,,,,
164,03/04/19 07:30:00 AM,45.286,,,,,,
165,03/04/19 08:00:00 AM,45.828,,,,,,
166,03/04/19 08:30:00 AM,46.908,,,,,,
167,03/04/19 09:00:00 AM,48.695,,,,,,
168,03/04/19 09:30:00 AM,50.819,,,,,,
169,03/04/19 10:00:00 AM,51.346,,,,,,
170,03/04/19 10:30:00 AM,51.699,,,,,,
171,03/04/19 11:00:00 AM,52.050,,,,,,
172,03/04/19 11:30:00 AM,53.274,,,,,,
173,03/04/19 12:00:00 PM,52.225,,,,,,
174,03/04/19 12:30:00 PM,51.874,,,,,,
175,03/04/19 01:00:00 PM,52.225,,,,,,
176,03/04/19 01:30:00 PM,52.925,,,,,,
177,03/04/19 02:00:00 PM,52.925,,,,,,
178,03/04/19 02:30:00 PM,52.225,,,,,,
179,03/04/19 03:00:00 PM,51.523,,,,,,
180,03/04/19 03:30:00 PM,51.346,,,,,,
181,03/04/19 04:00:00 PM,52.050,,,,,,
182,03/04/19 04:30:00 PM,51.699,,,,,,
183,03/04/19 05:00:00 PM,51.699,,,,,,
184,03/04/19 05:30:00 PM,50.819,,,,,,
185,03/04/19 06:00:00 PM,49.759,,,,,,
186,03/04/19 06:30:00 PM,48.871,,,,,,
