"Plot Title: RLSM"
"#","Date Time, GMT-08:00","Event, inches (LGR S/N: 10592084, SEN S/N: 10592084, LBL: RLSM)","Coupler Detached (LGR S/N: 10592084, SEN S/N: 10592084)","Coupler Attached (LGR S/N: 10592084, SEN S/N: 10592084)","Stopped (LGR S/N: 10592084, SEN S/N: 10592084)","End Of File (LGR S/N: 10592084, SEN S/N: 10592084)"
50,04/07/15 04:07:37 AM,48.00,,,,
51,04/07/15 04:08:12 AM,49.00,,,,
52,04/07/15 04:08:38 AM,50.00,,,,
53,04/07/15 04:09:27 AM,51.00,,,,
54,04/07/15 04:10:30 AM,52.00,,,,
55,04/07/15 04:11:44 AM,53.00,,,,
56,04/07/15 04:13:01 AM,54.00,,,,
57,04/07/15 04:14:31 AM,55.00,,,,
58,04/07/15 04:16:23 AM,56.00,,,,
59,04/07/15 04:18:55 AM,57.00,,,,
60,04/07/15 04:22:47 AM,58.00,,,,
61,04/07/15 04:25:26 AM,59.00,,,,
62,04/07/15 04:27:56 AM,60.00,,,,
63,04/07/15 04:31:36 AM,61.00,,,,
64,04/07/15 04:34:11 AM,62.00,,,,
65,04/07/15 04:36:43 AM,63.00,,,,
66,04/07/15 04:38:37 AM,64.00,,,,
67,04/07/15 04:40:34 AM,65.00,,,,
68,04/07/15 04:41:47 AM,66.00,,,,
69,04/07/15 04:43:53 AM,67.00,,,,
70,04/07/15 04:46:09 AM,68.00,,,,
71,04/07/15 04:49:33 AM,69.00,,,,
72,04/07/15 05:50:59 AM,70.00,,,,
73,04/07/15 06:55:28 AM,71.00,,,,
74,04/08/15 04:14:20 AM,72.00,,,,
75,04/08/15 04:42:42 AM,73.00,,,,
76,04/20/15 05:41:00 AM,74.00,,,,
77,04/21/15 05:50:48 AM,75.00,,,,
78,04/21/15 08:13:20 AM,76.00,,,,
79,04/21/15 11:03:42 PM,77.00,,,,
80,04/22/15 12:08:51 AM,78.00,,,,
81,04/22/15 12:47:33 AM,79.00,,,,
82,04/22/15 03:25:24 AM,80.00,,,,
83,04/22/15 05:34:10 AM,81.00,,,,
84,04/23/15 12:29:26 AM,82.00,,,,
85,04/24/15 09:39:15 PM,83.00,,,,
86,04/24/15 10:15:05 PM,84.00,,,,
87,04/24/15 10:19:28 PM,85.00,,,,
88,04/24/15 10:22:11 PM,86.00,,,,
89,04/24/15 10:25:08 PM,87.00,,,,
90,04/24/15 10:31:18 PM,88.00,,,,
91,04/24/15 10:42:18 PM,89.00,,,,
92,04/24/15 10:51:42 PM,90.00,,,,
93,04/24/15 10:58:41 PM,91.00,,,,
94,04/24/15 11:06:06 PM,92.00,,,,
95,04/24/15 11:13:38 PM,93.00,,,,
96,04/24/15 11:21:38 PM,94.00,,,,
97,04/24/15 11:24:38 PM,95.00,,,,
98,04/24/15 11:28:59 PM,96.00,,,,
99,04/24/15 11:32:45 PM,97.00,,,,
100,04/24/15 11:42:04 PM,98.00,,,,
101,04/24/15 11:50:27 PM,99.00,,,,
102,04/24/15 11:56:12 PM,100.00,,,,
103,04/25/15 12:01:01 AM,101.00,,,,
104,04/25/15 12:09:32 AM,102.00,,,,
105,04/25/15 12:16:51 AM,103.00,,,,
106,04/25/15 12:21:38 AM,104.00,,,,
107,04/25/15 12:25:44 AM,105.00,,,,
108,04/25/15 12:29:32 AM,106.00,,,,
109,04/25/15 12:31:26 AM,107.00,,,,
110,04/25/15 12:32:30 AM,108.00,,,,
111,04/25/15 12:34:26 AM,109.00,,,,
112,04/25/15 12:37:51 AM,110.00,,,,
113,04/25/15 12:42:59 AM,111.00,,,,
114,04/25/15 12:47:33 AM,112.00,,,,
115,04/25/15 12:51:03 AM,113.00,,,,
116,04/25/15 12:52:14 AM,114.00,,,,
117,04/25/15 12:54:21 AM,115.00,,,,
118,04/25/15 12:55:39 AM,116.00,,,,
119,04/25/15 12:58:00 AM,117.00,,,,
120,04/25/15 01:01:14 AM,118.00,,,,
121,04/25/15 01:06:40 AM,119.00,,,,
122,04/25/15 01:07:54 AM,120.00,,,,
123,04/25/15 01:09:37 AM,121.00,,,,
124,04/25/15 01:11:55 AM,122.00,,,,
125,04/25/15 01:13:07 AM,123.00,,,,
126,04/25/15 01:14:51 AM,124.00,,,,
127,04/25/15 01:19:28 AM,125.00,,,,
128,04/25/15 01:25:56 AM,126.00,,,,
129,04/25/15 01:30:07 AM,127.00,,,,
130,04/25/15 01:33:02 AM,128.00,,,,
131,04/25/15 01:35:18 AM,129.00,,,,
132,04/25/15 01:37:52 AM,130.00,,,,
133,04/25/15 01:41:16 AM,131.00,,,,
134,04/25/15 01:43:16 AM,132.00,,,,
135,04/25/15 01:44:37 AM,133.00,,,,
136,04/25/15 01:45:32 AM,134.00,,,,
137,04/25/15 01:46:21 AM,135.00,,,,
138,04/25/15 01:47:10 AM,136.00,,,,
139,04/25/15 01:49:08 AM,137.00,,,,
140,04/25/15 01:51:33 AM,138.00,,,,
141,04/25/15 01:52:44 AM,139.00,,,,
142,04/25/15 01:54:33 AM,140.00,,,,
143,04/25/15 01:56:45 AM,141.00,,,,
144,04/25/15 01:59:18 AM,142.00,,,,
145,04/25/15 02:01:21 AM,143.00,,,,
146,04/25/15 02:02:38 AM,144.00,,,,
147,04/25/15 02:03:49 AM,145.00,,,,
148,04/25/15 02:04:59 AM,146.00,,,,
149,04/25/15 02:06:14 AM,147.00,,,,
150,04/25/15 02:07:54 AM,148.00,,,,
151,04/25/15 02:09:53 AM,149.00,,,,
152,04/25/15 02:12:10 AM,150.00,,,,
153,04/25/15 02:15:18 AM,151.00,,,,
154,04/25/15 02:16:57 AM,152.00,,,,
155,04/25/15 02:19:06 AM,153.00,,,,
156,04/25/15 02:21:13 AM,154.00,,,,
157,04/25/15 02:22:53 AM,155.00,,,,
158,04/25/15 02:25:01 AM,156.00,,,,
159,04/25/15 02:28:05 AM,157.00,,,,
160,04/25/15 02:30:57 AM,158.00,,,,
161,04/25/15 02:34:09 AM,159.00,,,,
162,04/25/15 02:37:32 AM,160.00,,,,
163,04/25/15 02:40:12 AM,161.00,,,,
164,04/25/15 02:42:09 AM,162.00,,,,
165,04/25/15 02:44:00 AM,163.00,,,,
166,04/25/15 02:45:23 AM,164.00,,,,
167,04/25/15 02:46:55 AM,165.00,,,,
168,04/25/15 02:48:30 AM,166.00,,,,
169,04/25/15 02:49:57 AM,167.00,,,,
170,04/25/15 02:51:32 AM,168.00,,,,
171,04/25/15 02:52:59 AM,169.00,,,,
172,04/25/15 02:54:17 AM,170.00,,,,
173,04/25/15 02:56:03 AM,171.00,,,,
174,04/25/15 02:57:46 AM,172.00,,,,
175,04/25/15 02:59:33 AM,173.00,,,,
176,04/25/15 03:00:52 AM,174.00,,,,
177,04/25/15 03:02:03 AM,175.00,,,,
178,04/25/15 03:03:23 AM,176.00,,,,
179,04/25/15 03:05:05 AM,177.00,,,,
180,04/25/15 03:06:40 AM,178.00,,,,
181,04/25/15 03:07:53 AM,179.00,,,,
182,04/25/15 03:08:55 AM,180.00,,,,
183,04/25/15 03:10:03 AM,181.00,,,,
184,04/25/15 03:11:23 AM,182.00,,,,
185,04/25/15 03:13:25 AM,183.00,,,,
186,04/25/15 03:15:51 AM,184.00,,,,
187,04/25/15 03:19:01 AM,185.00,,,,
188,04/25/15 03:21:55 AM,186.00,,,,
189,04/25/15 03:27:21 AM,187.00,,,,
190,04/25/15 03:31:05 AM,188.00,,,,
191,04/25/15 03:34:34 AM,189.00,,,,
192,04/25/15 03:36:06 AM,190.00,,,,
193,04/25/15 03:37:16 AM,191.00,,,,
194,04/25/15 03:39:38 AM,192.00,,,,
195,04/25/15 03:44:15 AM,193.00,,,,
196,04/25/15 03:48:47 AM,194.00,,,,
197,04/25/15 03:53:01 AM,195.00,,,,
198,04/25/15 03:58:36 AM,196.00,,,,
199,04/25/15 04:11:22 AM,197.00,,,,
200,04/25/15 04:30:05 AM,198.00,,,,
201,04/25/15 04:52:25 AM,199.00,,,,
202,05/07/15 12:41:53 PM,200.00,,,,
203,05/07/15 01:24:55 PM,201.00,,,,
204,05/10/15 02:30:40 AM,202.00,,,,
205,05/15/15 09:59:18 AM,,,Logged,,
206,05/15/15 09:59:20 AM,202.00,,,Logged,Logged
