Date Time	11/24/97 inches of rain
08/08/82 14:24:04.0	355
08/08/82 14:24:38.5	356
08/08/82 14:50:41.5	357
08/08/82 15:00:43.5	358
08/08/82 17:08:53.5	359
08/08/82 22:14:27.5	360
08/08/82 22:24:35.0	361
08/08/82 22:26:54.0	362
08/08/82 22:28:43.5	363
08/08/82 22:29:32.5	364
08/08/82 22:31:29.0	365
08/08/82 22:32:39.5	366
08/08/82 22:33:48.0	367
08/08/82 22:36:32.0	368
08/08/82 22:37:34.5	369
08/08/82 22:38:12.5	370
08/08/82 22:40:48.0	371
08/08/82 23:02:13.0	372
08/08/82 23:26:07.5	373
08/08/82 23:34:19.0	374
08/08/82 23:36:11.0	375
08/08/82 23:37:55.0	376
08/08/82 23:39:05.5	377
08/08/82 23:41:33.0	378
08/08/82 23:45:47.0	379
08/08/82 23:48:54.0	380
08/08/82 23:51:16.5	381
08/08/82 23:53:20.0	382
08/08/82 23:54:26.5	383
08/08/82 23:55:54.0	384
08/08/82 23:58:45.5	385
08/09/82 00:01:36.5	386
08/09/82 00:03:36.0	387
08/09/82 00:04:58.0	388
08/09/82 00:06:37.0	389
08/09/82 00:09:42.0	390
08/09/82 00:11:05.0	391
08/09/82 00:12:07.5	392
08/09/82 00:13:35.5	393
08/09/82 00:15:15.0	394
08/09/82 00:16:30.0	395
08/09/82 00:17:57.5	396
08/09/82 00:20:25.0	397
08/09/82 00:21:34.0	398
08/09/82 00:22:32.0	399
08/09/82 00:23:21.0	400
08/09/82 00:25:03.0	401
08/09/82 00:27:43.0	402
08/09/82 00:30:07.5	403
08/09/82 00:35:03.5	404
08/09/82 00:40:16.0	405
08/09/82 00:47:29.0	406
08/09/82 00:51:17.0	407
08/09/82 00:56:46.0	408
08/09/82 01:04:45.5	409
08/09/82 01:20:12.5	410
08/09/82 01:21:33.5	411
08/09/82 01:22:23.5	412
08/09/82 01:24:24.0	413
08/09/82 01:43:51.5	414
08/09/82 01:45:39.5	415
08/09/82 01:47:03.5	416
08/09/82 01:50:18.0	417
08/09/82 01:51:56.5	418
08/09/82 01:53:02.5	419
08/09/82 01:54:05.0	420
08/09/82 01:55:50.5	421
08/09/82 01:59:25.0	422
08/09/82 02:00:33.0	423
08/09/82 02:01:02.5	424
08/09/82 02:01:53.5	425
08/09/82 02:03:31.5	426
08/11/82 19:58:15.0	427
08/11/82 20:25:54.5	428
08/11/82 20:36:50.5	429
08/11/82 20:55:13.5	430
08/11/82 20:59:21.5	431
08/11/82 21:00:24.5	432
08/11/82 21:00:52.5	433
08/11/82 21:02:08.5	434
08/11/82 21:40:02.5	435
08/11/82 21:43:35.5	436
08/11/82 21:45:39.5	437
08/11/82 21:47:05.0	438
08/11/82 21:47:59.0	439
08/11/82 21:49:06.0	440
08/11/82 21:50:03.0	441
08/11/82 21:51:40.5	442
08/11/82 21:52:06.5	443
08/11/82 21:52:27.0	444
08/11/82 21:52:48.0	445
08/11/82 21:53:00.5	446
08/11/82 21:53:14.0	447
08/11/82 21:53:25.5	448
08/11/82 21:53:40.5	449
08/11/82 21:53:54.0	450
08/11/82 21:54:06.0	451
08/11/82 21:54:32.0	452
08/11/82 21:54:59.0	453
08/11/82 21:55:18.5	454
08/11/82 21:55:38.5	455
08/11/82 21:55:59.0	456
08/11/82 21:56:27.5	457
08/11/82 21:57:04.5	458
08/11/82 21:58:13.0	459
08/11/82 22:00:01.0	460
08/11/82 22:01:42.0	461
08/11/82 22:04:14.5	462
08/11/82 22:08:33.5	463
08/11/82 22:14:20.0	464
08/11/82 22:16:09.5	465
08/11/82 22:18:05.5	466
08/11/82 22:19:36.0	467
08/11/82 22:22:32.5	468
08/11/82 22:24:28.0	469
08/11/82 22:25:22.0	470
08/11/82 22:26:12.5	471
08/11/82 22:26:51.5	472
08/11/82 22:27:46.5	473
08/11/82 22:29:16.5	474
08/11/82 22:30:22.0	475
08/11/82 22:31:14.0	476
08/11/82 22:31:49.0	477
08/11/82 22:32:10.5	478
08/11/82 22:32:27.0	479
08/11/82 22:32:42.0	480
08/11/82 22:32:57.0	481
08/11/82 22:33:15.0	482
08/11/82 22:33:38.0	483
08/11/82 22:34:15.0	484
08/11/82 22:36:06.5	485
08/11/82 22:37:53.0	486
08/11/82 22:39:45.5	487
08/11/82 22:41:21.0	488
08/11/82 22:42:54.0	489
08/11/82 22:43:27.5	490
08/11/82 22:44:10.5	491
08/11/82 22:44:53.5	492
08/11/82 22:45:29.0	493
08/11/82 22:46:00.5	494
08/11/82 22:46:39.0	495
08/11/82 22:47:09.0	496
08/11/82 22:47:38.5	497
08/11/82 22:48:02.0	498
08/11/82 22:48:32.5	499
08/11/82 22:48:54.0	500
08/11/82 22:49:09.5	501
08/11/82 22:49:21.5	502
08/11/82 22:49:36.5	503
08/11/82 22:49:52.0	504
08/11/82 22:50:13.0	505
08/11/82 22:50:32.5	506
08/11/82 22:50:50.0	507
08/11/82 22:51:02.0	508
08/11/82 22:51:18.0	509
08/11/82 22:51:35.0	510
08/11/82 22:51:53.0	511
08/11/82 22:52:14.5	512
08/11/82 22:52:35.0	513
08/11/82 22:52:59.0	514
08/11/82 22:53:18.5	515
08/11/82 22:53:38.0	516
08/11/82 22:53:58.5	517
08/11/82 22:54:17.5	518
08/11/82 22:54:37.5	519
08/11/82 22:54:54.0	520
08/11/82 22:55:17.0	521
08/11/82 22:55:41.0	522
08/11/82 22:56:07.0	523
08/11/82 22:56:48.0	524
08/11/82 22:58:31.0	525
08/11/82 22:59:49.0	526
08/11/82 23:01:19.5	527
08/11/82 23:02:04.0	528
08/11/82 23:02:48.0	529
08/11/82 23:03:44.5	530
08/11/82 23:04:23.5	531
08/11/82 23:05:29.5	532
08/11/82 23:06:51.5	533
08/11/82 23:09:06.5	534
08/11/82 23:10:48.5	535
08/11/82 23:13:10.0	536
08/11/82 23:15:56.5	537
08/11/82 23:19:10.0	538
08/11/82 23:22:22.5	539
08/11/82 23:25:51.0	540
08/11/82 23:29:17.5	541
08/11/82 23:31:34.5	542
08/11/82 23:33:52.5	543
08/11/82 23:35:58.5	544
08/11/82 23:38:10.0	545
08/11/82 23:41:37.0	546
08/11/82 23:46:21.0	547
08/11/82 23:53:00.0	548
08/11/82 23:58:01.0	549
08/12/82 00:01:20.5	550
08/12/82 00:10:11.5	551
08/12/82 00:38:16.5	552
08/12/82 00:51:03.0	553
08/12/82 01:09:33.5	554
08/12/82 01:22:40.0	555
08/12/82 01:41:27.5	556
08/12/82 03:25:43.0	557
08/16/82 16:48:05.5	558
08/16/82 16:53:35.0	559
08/16/82 16:58:17.5	560
08/16/82 17:01:45.0	561
08/16/82 17:07:47.5	562
08/16/82 17:13:06.5	563
08/16/82 17:25:03.5	564
08/16/82 17:35:37.0	565
08/16/82 17:44:36.0	566
08/16/82 18:18:34.5	567
08/16/82 18:23:37.0	568
08/16/82 19:50:32.0	569
08/16/82 20:03:52.0	570
08/16/82 20:09:01.0	571
08/16/82 20:17:26.0	572
08/16/82 20:23:07.0	573
08/16/82 20:27:37.5	574
08/16/82 20:35:58.0	575
08/16/82 20:43:01.5	576
08/16/82 20:51:46.5	577
08/16/82 21:16:31.0	578
08/16/82 21:35:51.5	579
08/16/82 21:41:46.0	580
08/16/82 21:51:37.0	581
08/16/82 22:52:23.0	582
08/16/82 22:55:34.0	583
08/16/82 22:58:10.5	584
08/16/82 23:00:15.0	585
08/16/82 23:02:13.5	586
08/16/82 23:03:58.5	587
08/16/82 23:06:02.0	588
08/16/82 23:09:13.5	589
08/16/82 23:19:21.5	590
08/16/82 23:50:11.5	591
08/16/82 23:54:39.5	592
