Serial Number:     202809     --     Series: Event (Rainfall event data)

Date Time	Event (Rainfall event data)
03/19/11 20:15:16.5	2.26
03/19/11 20:19:32.0	2.27
03/19/11 20:24:21.0	2.28
03/19/11 20:27:29.0	2.29
03/19/11 20:32:03.0	2.3
03/19/11 20:36:55.5	2.31
03/19/11 20:41:35.0	2.32
03/19/11 20:44:21.0	2.33
03/19/11 20:47:17.0	2.34
03/19/11 20:50:35.0	2.35
03/19/11 20:53:35.5	2.36
03/19/11 20:56:17.0	2.37
03/19/11 20:59:42.5	2.38
03/19/11 21:02:53.5	2.39
03/19/11 21:06:19.0	2.4
03/19/11 21:09:48.0	2.41
03/19/11 21:14:14.0	2.42
03/19/11 21:16:34.5	2.43
03/19/11 21:17:52.5	2.44
03/19/11 21:18:47.0	2.45
03/19/11 21:19:32.5	2.46
03/19/11 21:20:17.0	2.47
03/19/11 21:20:47.5	2.48
03/19/11 21:21:04.5	2.49
03/19/11 21:21:32.5	2.5
03/19/11 21:22:09.0	2.51
03/19/11 21:22:31.5	2.52
03/19/11 21:22:51.0	2.53
03/19/11 21:23:16.0	2.54
03/19/11 21:23:39.5	2.55
03/19/11 21:24:19.0	2.56
03/19/11 21:25:47.5	2.57
03/19/11 21:33:51.5	2.58
03/19/11 21:47:47.0	2.59
03/19/11 23:43:27.0	2.6
03/20/11 01:23:13.0	2.61
03/20/11 03:49:15.0	2.62
03/20/11 05:51:00.0	2.63
03/20/11 05:51:56.0	2.64
03/20/11 05:53:56.0	2.65
03/20/11 05:59:27.5	2.66
03/20/11 13:07:06.0	2.67
03/20/11 13:24:35.5	2.68
03/20/11 13:28:12.5	2.69
03/20/11 13:29:39.0	2.7
03/20/11 13:31:00.5	2.71
03/20/11 13:34:13.0	2.72
03/20/11 13:43:50.0	2.73
03/20/11 22:16:21.5	2.74
03/20/11 22:19:16.5	2.75
03/20/11 22:21:01.5	2.76
03/20/11 22:22:34.5	2.77
03/20/11 22:32:19.5	2.78
03/20/11 23:05:20.5	2.79
03/20/11 23:11:01.5	2.8
03/20/11 23:15:41.0	2.81
03/20/11 23:21:05.5	2.82
03/20/11 23:23:50.5	2.83
03/21/11 03:08:21.5	2.84
03/21/11 03:09:41.5	2.85
03/21/11 03:10:49.0	2.86
03/21/11 03:12:31.0	2.87
03/21/11 03:19:35.0	2.88
03/21/11 03:24:25.0	2.89
03/21/11 03:28:58.0	2.9
03/21/11 03:37:03.5	2.91
03/21/11 03:43:21.0	2.92
03/21/11 03:52:07.0	2.93
03/21/11 04:02:16.0	2.94
03/21/11 04:08:55.5	2.95
03/21/11 07:27:53.0	2.96
03/21/11 07:29:31.0	2.97
03/21/11 07:30:59.5	2.98
03/21/11 07:36:32.0	2.99
03/21/11 08:29:40.5	3
03/21/11 08:32:32.0	3.01
03/21/11 08:40:53.5	3.02
03/21/11 09:22:43.0	3.03
03/21/11 09:25:51.0	3.04
03/21/11 09:28:56.5	3.05
03/21/11 09:32:00.5	3.06
03/21/11 09:34:58.5	3.07
03/21/11 09:37:58.0	3.08
03/21/11 09:40:14.0	3.09
03/21/11 09:41:46.0	3.1
03/21/11 09:43:25.5	3.11
03/21/11 09:46:01.0	3.12
03/21/11 09:51:37.0	3.13
03/21/11 10:14:22.5	3.14
03/21/11 10:17:56.5	3.15
03/21/11 10:21:12.0	3.16
03/21/11 10:53:16.5	3.17
03/21/11 11:41:02.5	3.18
03/21/11 11:42:23.5	3.19
03/21/11 11:43:26.5	3.2
03/21/11 11:44:13.0	3.21
03/21/11 11:44:47.0	3.22
03/21/11 11:45:55.5	3.23
03/21/11 11:50:28.5	3.24
03/22/11 01:32:12.0	3.25
03/22/11 13:06:55.0	3.26
03/22/11 13:06:59.5	3.26
