Serial Number:      10024     --     Series: Event (rain bucket tip)			

Date Time	Event (Events)	Tip Value	Cumulative
12/14/2010 7:42:17	1.31	0.01	2.35
12/14/2010 7:51:28	1.32	0.01	2.36
12/14/2010 7:54:36	1.33	0.01	2.37
12/14/2010 8:13:51	1.34	0.01	2.38
12/14/2010 8:32:39	1.35	0.01	2.39
12/14/2010 8:47:46	1.36	0.01	2.4
12/14/2010 9:05:13	1.37	0.01	2.41
12/14/2010 9:53:31	1.38	0.01	2.42
12/14/2010 10:08:51	1.39	0.01	2.43
12/14/2010 11:53:52	1.4	0.01	2.44
12/14/2010 16:35:35	0.01	0.01	2.45
12/14/2010 17:00:13	0.02	0.01	2.46
12/14/2010 17:14:01	0.03	0.01	2.47
12/14/2010 17:16:11	0.04	0.01	2.48
12/14/2010 17:19:44	0.05	0.01	2.49
12/14/2010 17:22:52	0.06	0.01	2.5
12/14/2010 17:31:14	0.07	0.01	2.51
12/14/2010 17:36:42	0.08	0.01	2.52
12/14/2010 17:39:35	0.09	0.01	2.53
12/14/2010 17:41:27	0.1	0.01	2.54
12/14/2010 17:44:50	0.11	0.01	2.55
12/14/2010 17:52:30	0.12	0.01	2.56
12/14/2010 17:56:50	0.13	0.01	2.57
12/14/2010 17:58:35	0.14	0.01	2.58
12/14/2010 18:06:33	0.15	0.01	2.59
12/14/2010 18:33:02	0.16	0.01	2.6
12/14/2010 19:00:31	0.17	0.01	2.61
12/14/2010 19:10:37	0.18	0.01	2.62
12/14/2010 19:34:24	0.19	0.01	2.63
12/14/2010 19:55:45	0.2	0.01	2.64
12/14/2010 20:12:43	0.21	0.01	2.65
12/15/2010 5:57:38	0.22	0.01	2.66
12/16/2010 19:33:38	0.23	0.01	2.67
12/16/2010 21:08:30	0.24	0.01	2.68
12/16/2010 21:31:31	0.25	0.01	2.69
12/16/2010 23:06:29	0.26	0.01	2.7
12/16/2010 23:35:16	0.27	0.01	2.71
12/16/2010 23:45:34	0.28	0.01	2.72
12/16/2010 23:57:33	0.29	0.01	2.73
12/17/2010 0:28:09	0.3	0.01	2.74
12/17/2010 1:16:04	0.31	0.01	2.75
12/17/2010 1:38:11	0.32	0.01	2.76
12/17/2010 1:54:31	0.33	0.01	2.77
12/17/2010 11:50:01	0.34	0.01	2.78
12/17/2010 12:06:33	0.35	0.01	2.79
12/17/2010 12:17:34	0.36	0.01	2.8
12/17/2010 12:31:08	0.37	0.01	2.81
12/17/2010 12:40:07	0.38	0.01	2.82
12/17/2010 12:46:27	0.39	0.01	2.83
12/17/2010 12:51:41	0.4	0.01	2.84
12/17/2010 12:55:31	0.41	0.01	2.85
12/17/2010 13:00:08	0.42	0.01	2.86
12/17/2010 13:06:09	0.43	0.01	2.87
12/17/2010 13:10:44	0.44	0.01	2.88
12/17/2010 13:16:45	0.45	0.01	2.89
12/17/2010 13:26:39	0.46	0.01	2.9
12/17/2010 13:32:39	0.47	0.01	2.91
12/17/2010 13:37:32	0.48	0.01	2.92
12/17/2010 13:41:33	0.49	0.01	2.93
12/17/2010 13:44:19	0.5	0.01	2.94
12/17/2010 13:48:16	0.51	0.01	2.95
12/17/2010 13:52:17	0.52	0.01	2.96
12/17/2010 13:59:40	0.53	0.01	2.97
12/17/2010 14:06:09	0.54	0.01	2.98
12/17/2010 14:13:08	0.55	0.01	2.99
12/17/2010 14:19:12	0.56	0.01	3
12/17/2010 14:33:15	0.57	0.01	3.01
12/17/2010 14:45:02	0.58	0.01	3.02
12/17/2010 14:55:46	0.59	0.01	3.03
12/17/2010 15:07:59	0.6	0.01	3.04
12/17/2010 15:13:12	0.61	0.01	3.05
12/17/2010 15:18:02	0.62	0.01	3.06
12/17/2010 15:25:47	0.63	0.01	3.07
12/17/2010 15:31:23	0.64	0.01	3.08
12/17/2010 15:35:48	0.65	0.01	3.09
12/17/2010 15:38:49	0.66	0.01	3.1
12/17/2010 15:41:49	0.67	0.01	3.11
12/17/2010 15:44:15	0.68	0.01	3.12
12/17/2010 15:47:32	0.69	0.01	3.13
12/17/2010 15:55:33	0.7	0.01	3.14
12/17/2010 16:02:57	0.71	0.01	3.15
12/17/2010 16:07:38	0.72	0.01	3.16
12/17/2010 16:11:36	0.73	0.01	3.17
12/17/2010 16:13:20	0.74	0.01	3.18
