Serial Number:     202809     --     Series: Event (Rainfall event data)	
11/20/2010 13:47:20	1.25
11/20/2010 13:51:09	1.26
11/20/2010 16:41:28	1.27
11/20/2010 16:45:19	1.28
11/20/2010 16:56:52	1.29
11/20/2010 17:00:45	1.3
11/20/2010 17:01:10	1.31
11/20/2010 17:01:29	1.32
11/20/2010 17:02:05	1.33
11/20/2010 17:43:08	1.34
11/20/2010 18:11:26	1.35
11/20/2010 18:20:13	1.36
11/20/2010 18:21:05	1.37
11/20/2010 18:21:50	1.38
11/20/2010 18:22:39	1.39
11/20/2010 18:24:20	1.4
11/20/2010 18:24:40	1.41
11/20/2010 18:25:04	1.42
11/20/2010 18:25:16	1.43
11/20/2010 18:25:37	1.44
11/20/2010 18:27:20	1.45
11/20/2010 18:31:42	1.46
11/20/2010 18:40:44	1.47
11/20/2010 18:42:37	1.48
11/20/2010 18:44:16	1.49
11/20/2010 18:46:10	1.5
11/20/2010 18:46:40	1.51
11/20/2010 18:46:56	1.52
11/20/2010 18:47:11	1.53
11/20/2010 18:47:26	1.54
11/20/2010 18:47:40	1.55
11/20/2010 18:48:04	1.56
11/20/2010 18:48:29	1.57
11/20/2010 18:49:08	1.58
11/20/2010 18:49:55	1.59
11/20/2010 18:50:59	1.6
11/20/2010 18:53:08	1.61
11/20/2010 18:57:17	1.62
11/20/2010 19:00:47	1.63
11/20/2010 19:04:57	1.64
11/20/2010 19:14:56	1.65
11/20/2010 19:35:41	1.66
11/20/2010 19:49:50	1.67
11/20/2010 19:55:46	1.68
11/20/2010 20:00:29	1.69
11/20/2010 20:04:46	1.7
11/20/2010 20:06:57	1.71
11/20/2010 20:09:09	1.72
11/20/2010 20:10:20	1.73
11/20/2010 20:11:26	1.74
11/20/2010 20:12:08	1.75
11/20/2010 20:13:04	1.76
11/20/2010 20:14:45	1.77
11/20/2010 20:16:48	1.78
11/20/2010 20:38:04	1.79
11/20/2010 20:43:33	1.8
11/20/2010 21:06:32	1.81
11/20/2010 22:10:39	1.82
11/21/2010 2:02:34	1.83
11/21/2010 2:04:38	1.84
11/21/2010 2:57:05	1.85
11/21/2010 2:57:36	1.86
11/21/2010 2:58:31	1.87
11/21/2010 2:59:41	1.88
11/21/2010 3:00:48	1.89
11/21/2010 3:02:10	1.9
11/21/2010 3:03:15	1.91
11/21/2010 3:04:01	1.92
11/21/2010 3:04:49	1.93
11/21/2010 3:05:36	1.94
11/21/2010 3:06:28	1.95
11/21/2010 3:07:22	1.96
11/21/2010 3:07:53	1.97
11/21/2010 3:08:44	1.98
11/21/2010 3:10:15	1.99
11/21/2010 3:13:13	2
11/21/2010 3:15:39	2.01
11/21/2010 3:17:14	2.02
11/21/2010 3:18:21	2.03
11/21/2010 3:21:03	2.04
11/21/2010 3:23:39	2.05
11/21/2010 3:26:59	2.06
11/21/2010 3:29:55	2.07
11/21/2010 3:33:51	2.08
11/21/2010 3:39:08	2.09
11/21/2010 6:09:36	2.1
11/21/2010 6:37:16	2.11
11/21/2010 7:57:34	2.12
11/21/2010 17:45:22	2.13
11/21/2010 17:50:33	2.14
11/21/2010 17:53:02	2.15
11/21/2010 17:54:59	2.16
11/21/2010 17:56:36	2.17
11/21/2010 18:03:25	2.18
11/21/2010 21:50:30	2.19
11/21/2010 21:54:31	2.2
11/21/2010 21:54:53	2.21
11/21/2010 21:55:10	2.22
11/21/2010 21:55:39	2.23
11/21/2010 21:56:31	2.24
11/21/2010 21:58:22	2.25
11/21/2010 22:44:22	2.26
11/21/2010 22:49:04	2.27
11/22/2010 2:54:10	2.28
11/22/2010 5:18:08	2.29
11/22/2010 5:59:49	2.3
11/22/2010 7:04:00	2.31
11/22/2010 7:09:48	2.32
11/22/2010 7:12:22	2.33
11/22/2010 7:15:15	2.34
11/22/2010 7:20:06	2.35
11/23/2010 1:04:14	2.36
11/23/2010 1:13:58	2.37
11/23/2010 1:32:18	2.38
11/23/2010 1:37:47	2.39
11/23/2010 1:45:23	2.4
11/23/2010 1:52:25	2.41
11/23/2010 1:57:21	2.42
11/23/2010 1:58:52	2.43
11/23/2010 2:05:22	2.44
11/23/2010 2:20:59	2.45
11/23/2010 3:47:00	2.46
11/23/2010 5:06:30	2.47
11/23/2010 5:21:50	2.48
11/23/2010 5:25:30	2.49
11/23/2010 5:28:08	2.5
11/23/2010 5:31:09	2.51
11/23/2010 5:32:48	2.52
11/23/2010 5:34:25	2.53
11/23/2010 5:36:27	2.54
11/23/2010 5:38:18	2.55
11/23/2010 5:41:26	2.56
11/23/2010 5:42:18	2.57
11/23/2010 5:44:46	2.58
11/23/2010 5:47:09	2.59
11/23/2010 5:48:40	2.6
11/23/2010 5:50:35	2.61
11/23/2010 5:55:29	2.62
11/23/2010 5:59:45	2.63
11/23/2010 6:01:01	2.64
11/23/2010 6:01:43	2.65
11/23/2010 6:02:29	2.66
11/23/2010 6:43:37	2.67
11/23/2010 6:51:06	2.68
11/23/2010 6:55:35	2.69
11/23/2010 6:56:34	2.7
11/23/2010 6:57:56	2.71
11/23/2010 7:00:31	2.72
11/23/2010 7:29:21	2.73
11/23/2010 7:31:05	2.74
11/23/2010 7:33:04	2.75
11/23/2010 7:34:56	2.76
11/23/2010 7:53:29	2.77
11/23/2010 8:04:39	2.78
11/23/2010 8:11:01	2.79
11/23/2010 8:15:45	2.8
11/23/2010 8:25:19	2.81
11/23/2010 8:30:32	2.82
11/23/2010 9:29:31	2.83
11/23/2010 10:27:00	2.84
11/23/2010 10:31:44	2.85
11/23/2010 10:36:51	2.86
11/23/2010 10:46:30	2.87
11/23/2010 10:58:12	2.88
11/23/2010 10:59:49	2.89
11/23/2010 11:02:20	2.9
