Date Time	1/100 INCHES OF RAIN
12/13/00 16:04:00.5	270
12/13/00 16:17:09.0	271
12/13/00 16:23:57.0	272
12/13/00 16:32:46.5	273
12/13/00 16:32:47.0	274
12/13/00 16:40:16.0	275
12/13/00 16:44:08.5	276
12/13/00 16:49:27.0	277
12/13/00 16:55:13.0	278
12/13/00 17:01:49.5	279
12/13/00 17:12:08.5	280
12/13/00 17:18:52.0	281
12/13/00 17:23:45.5	282
12/13/00 17:30:18.0	283
12/13/00 17:38:22.5	284
12/13/00 17:46:08.0	285
12/13/00 17:50:22.5	286
12/13/00 17:50:23.0	287
12/13/00 18:18:48.0	288
12/13/00 19:11:51.0	289
12/13/00 19:27:22.5	290
12/13/00 19:27:23.0	291
12/13/00 19:30:41.5	292
12/13/00 19:35:07.5	293
12/13/00 19:40:16.5	294
12/13/00 19:59:00.0	295
12/13/00 21:50:11.5	296
12/13/00 22:20:22.0	297
12/13/00 22:28:07.0	298
12/14/00 00:23:05.5	299
12/14/00 00:34:57.5	300
12/14/00 00:34:58.0	301
12/14/00 00:41:32.0	302
12/14/00 00:48:32.0	303
12/14/00 00:57:58.0	304
12/14/00 01:01:16.5	305
12/14/00 01:04:42.0	306
12/14/00 01:04:42.5	307
12/14/00 01:08:29.0	308
12/14/00 01:13:02.0	309
12/14/00 01:18:54.5	310
12/14/00 01:52:11.0	311
12/14/00 01:54:11.5	312
12/14/00 01:55:17.0	313
12/14/00 01:57:06.5	314
12/14/00 01:58:22.0	315
12/14/00 01:58:22.5	316
12/14/00 02:06:09.0	317
12/14/00 02:10:16.0	318
12/14/00 02:33:10.5	319
12/14/00 05:46:55.0	320
12/14/00 17:10:15.0	321
12/14/00 17:40:06.5	322
12/14/00 17:49:13.0	323
12/14/00 17:49:13.5	324
12/14/00 17:55:32.5	325
12/14/00 18:01:19.5	326
12/14/00 18:01:20.0	327
12/14/00 18:06:45.5	328
12/14/00 18:12:08.5	329
12/14/00 18:18:48.0	330
12/14/00 18:25:03.5	331
12/14/00 18:35:05.5	332
12/14/00 18:46:22.0	333
12/14/00 19:29:50.5	334
12/14/00 19:39:04.5	335
12/14/00 19:51:29.5	336
12/14/00 19:51:30.0	337
12/14/00 19:59:09.0	338
12/14/00 20:03:58.5	339
12/14/00 20:10:36.0	340
12/14/00 20:21:22.5	341
12/14/00 20:21:23.0	342
12/14/00 20:34:54.0	343
12/14/00 21:41:18.0	344
12/14/00 21:49:54.0	345
12/14/00 22:19:10.0	346
12/14/00 22:22:37.5	347
12/14/00 22:32:29.5	348
12/14/00 22:50:53.5	349
12/14/00 22:50:54.0	350
12/14/00 23:33:18.5	351
12/15/00 00:12:00.5	352
12/15/00 00:45:05.5	353
12/15/00 00:59:14.5	354
12/15/00 00:59:15.0	355
12/15/00 01:11:46.0	356
12/15/00 01:26:29.5	357
12/15/00 01:33:27.5	358
12/15/00 02:47:56.0	359
12/15/00 02:47:56.5	360
12/15/00 03:20:01.5	361
12/15/00 03:37:31.0	362
12/15/00 03:37:31.5	363
12/15/00 04:08:19.0	364
12/15/00 06:51:05.5	365
12/15/00 06:51:06.0	366
01/07/01 23:36:37.5	367
01/07/01 23:50:05.0	368
01/08/01 00:02:55.5	369
01/08/01 00:09:44.5	370
01/08/01 00:14:14.5	371
01/08/01 00:18:27.5	372
01/08/01 00:25:45.5	373
01/08/01 00:29:30.0	374
01/08/01 00:35:59.0	375
01/08/01 00:35:59.5	376
01/08/01 00:39:56.5	377
01/08/01 01:21:54.0	378
01/08/01 01:34:13.5	379
01/08/01 01:41:50.5	380
01/08/01 01:45:54.0	381
01/08/01 01:45:54.5	382
01/08/01 01:49:21.5	383
01/08/01 01:50:15.0	384
01/08/01 01:53:17.5	385
01/08/01 01:56:05.5	386
01/08/01 01:57:24.0	387
01/08/01 01:58:35.5	388
01/08/01 02:01:00.5	389
01/08/01 02:02:55.5	390
01/08/01 02:04:22.0	391
01/08/01 02:04:59.0	392
01/08/01 02:07:25.5	393
01/08/01 02:09:41.0	394
01/08/01 02:11:51.5	395
01/08/01 02:11:52.0	396
01/08/01 02:14:30.5	397
01/08/01 02:17:42.5	398
01/08/01 02:18:47.5	399
01/08/01 02:20:01.0	400
01/08/01 02:21:12.0	401
01/08/01 02:22:58.5	402
01/08/01 02:24:13.5	403
01/08/01 02:25:48.5	404
01/08/01 02:25:49.0	405
01/08/01 02:27:34.0	406
01/08/01 02:27:34.5	407
01/08/01 02:29:07.0	408
01/08/01 02:30:32.0	409
01/08/01 02:32:13.0	410
01/08/01 02:33:44.5	411
01/08/01 02:36:34.0	412
01/08/01 02:36:34.5	413
01/08/01 02:38:39.0	414
01/08/01 02:41:57.5	415
01/08/01 02:44:11.5	416
01/08/01 02:46:03.0	417
01/08/01 02:47:29.0	418
01/08/01 02:49:31.5	419
01/08/01 02:51:57.5	420
01/08/01 02:51:58.0	421
01/08/01 02:54:33.5	422
01/08/01 02:56:28.5	423
01/08/01 02:58:05.0	424
01/08/01 02:59:38.0	425
01/08/01 03:01:26.5	426
01/08/01 03:01:27.0	427
01/08/01 03:03:19.0	428
01/08/01 03:08:17.0	429
01/08/01 03:13:49.0	430
01/08/01 03:13:49.5	431
01/08/01 03:24:34.5	432
01/08/01 03:31:10.0	433
01/08/01 03:36:49.0	434
01/08/01 04:09:47.0	435
01/08/01 04:09:47.5	436
01/08/01 06:33:13.0	437
01/08/01 07:00:31.5	438
01/08/01 07:02:38.5	439
01/08/01 07:04:17.0	440
01/08/01 07:04:17.5	441
01/08/01 07:09:05.0	442
01/08/01 07:11:12.0	443
01/08/01 07:11:12.5	444
01/08/01 07:18:39.5	445
01/08/01 07:50:05.0	446
01/08/01 07:51:22.0	447
01/08/01 07:52:04.5	448
01/08/01 07:53:31.0	449
01/08/01 07:54:56.0	450
01/08/01 08:02:10.5	451
01/08/01 08:03:09.5	452
01/08/01 08:03:10.0	453
01/08/01 08:06:16.0	454
01/08/01 08:14:37.0	455
01/08/01 08:14:37.5	456
01/08/01 08:16:14.5	457
01/08/01 08:16:58.0	458
01/08/01 08:16:58.5	459
01/08/01 08:18:01.5	460
01/08/01 08:18:53.5	461
01/08/01 08:19:57.0	462
01/08/01 08:19:57.5	463
01/08/01 08:21:14.5	464
01/08/01 08:25:04.5	465
01/08/01 08:27:23.0	466
01/08/01 08:40:56.5	467
01/08/01 09:26:06.0	468
01/08/01 09:26:06.5	469
01/08/01 09:49:47.0	470
01/08/01 09:49:47.5	471
01/08/01 10:03:20.0	472
01/08/01 10:03:20.5	473
01/08/01 17:23:32.5	474
01/09/01 15:18:43.5	475
01/09/01 16:52:03.5	476
01/09/01 18:58:07.0	477
01/09/01 19:19:31.5	478
01/09/01 20:18:51.0	479
01/09/01 20:18:51.5	480
01/10/01 08:37:42.0	481
01/10/01 08:59:29.0	482
01/10/01 09:12:19.0	483
01/10/01 09:16:04.5	484
01/10/01 09:17:44.0	485
01/10/01 09:18:54.0	486
01/10/01 09:20:37.5	487
01/10/01 09:22:52.0	488
01/10/01 09:24:49.5	489
01/10/01 09:26:17.5	490
01/10/01 09:27:18.5	491
01/10/01 09:28:29.0	492
01/10/01 09:28:29.5	493
01/10/01 09:30:15.0	494
01/10/01 09:31:56.0	495
01/10/01 09:34:13.5	496
01/10/01 09:37:17.0	497
01/10/01 09:37:17.5	498
01/10/01 09:40:48.5	499
01/10/01 09:43:46.5	500
01/10/01 09:46:50.0	501
01/10/01 09:49:10.5	502
01/10/01 09:49:11.0	503
01/10/01 09:52:10.5	504
01/10/01 09:54:48.0	505
01/10/01 09:58:43.0	506
01/10/01 10:01:45.0	507
01/10/01 10:04:17.5	508
01/10/01 10:05:54.0	509
01/10/01 10:07:34.5	510
01/10/01 10:08:50.5	511
01/10/01 10:09:56.0	512
01/10/01 10:10:48.5	513
01/10/01 10:12:34.5	514
01/10/01 10:14:19.0	515
01/10/01 10:16:40.0	516
01/10/01 10:18:48.5	517
01/10/01 10:20:24.0	518
01/10/01 10:20:24.5	519
01/10/01 10:22:15.0	520
01/10/01 10:24:52.5	521
01/10/01 10:28:55.0	522
01/10/01 10:44:49.0	523
01/10/01 10:50:54.5	524
01/10/01 10:52:33.0	525
01/10/01 10:53:14.5	526
01/10/01 10:54:09.0	527
01/10/01 10:55:34.0	528
01/10/01 10:55:34.5	529
01/10/01 10:56:26.0	530
01/10/01 10:57:03.5	531
01/10/01 10:59:06.0	532
01/10/01 10:59:06.5	533
01/10/01 11:01:26.5	534
01/10/01 11:03:24.5	535
01/10/01 11:05:23.5	536
01/10/01 11:07:02.5	537
01/10/01 11:08:10.0	538
01/10/01 11:09:58.5	539
01/10/01 11:11:23.0	540
01/10/01 11:13:01.5	541
01/10/01 11:14:32.5	542
01/10/01 11:15:43.0	543
01/10/01 11:17:06.5	544
01/10/01 11:18:52.0	545
01/10/01 11:19:58.5	546
01/10/01 11:21:30.0	547
01/10/01 11:22:55.0	548
01/10/01 11:25:20.0	549
01/10/01 11:27:59.0	550
01/10/01 11:32:00.5	551
01/10/01 11:35:05.5	552
01/10/01 11:37:29.5	553
01/10/01 11:37:30.0	554
01/10/01 11:39:22.0	555
01/10/01 11:40:19.5	556
01/10/01 11:41:41.0	557
01/10/01 11:43:19.5	558
01/10/01 11:44:34.5	559
01/10/01 11:45:54.0	560
01/10/01 11:47:22.5	561
01/10/01 11:48:23.0	562
01/10/01 11:49:30.0	563
01/10/01 11:50:58.5	564
01/10/01 11:51:58.0	565
01/10/01 11:52:39.5	566
01/10/01 11:54:05.0	567
01/10/01 11:55:38.0	568
01/10/01 11:56:36.0	569
01/10/01 11:56:36.5	570
01/10/01 11:57:45.0	571
01/10/01 11:59:32.5	572
01/10/01 12:02:36.0	573
01/10/01 12:06:13.0	574
01/10/01 12:25:32.0	575
01/10/01 12:29:57.5	576
01/10/01 12:40:34.0	577
01/10/01 12:42:44.0	578
01/10/01 12:44:21.0	579
01/10/01 13:03:22.5	580
01/10/01 13:09:47.5	581
01/10/01 13:14:48.5	582
01/10/01 13:20:23.5	583
01/10/01 13:20:24.0	584
01/10/01 13:29:29.0	585
01/10/01 13:43:02.5	586
01/10/01 13:46:07.5	587
01/10/01 13:50:32.0	588
01/10/01 13:52:45.5	589
01/10/01 13:54:07.0	590
01/10/01 13:55:16.5	591
01/10/01 13:55:17.0	592
01/10/01 13:57:36.0	593
01/10/01 13:59:53.5	594
01/10/01 14:02:49.5	595
01/10/01 14:06:08.0	596
01/10/01 14:07:52.5	597
01/10/01 14:09:42.0	598
01/10/01 14:09:42.5	599
01/10/01 14:10:49.0	600
01/10/01 14:10:49.5	601
01/10/01 14:11:04.0	602
01/10/01 14:11:04.5	603
01/10/01 14:11:28.5	604
01/10/01 14:12:11.0	605
01/10/01 14:13:48.5	606
01/10/01 14:14:16.5	607
01/10/01 14:15:05.5	608
01/10/01 14:16:28.0	609
01/10/01 14:18:36.0	610
01/10/01 14:23:34.0	611
01/10/01 14:37:14.5	612
01/10/01 14:58:35.5	613
01/10/01 15:44:43.0	614
01/10/01 15:48:33.0	615
01/10/01 22:54:39.5	616
01/10/01 22:56:57.0	617
01/10/01 22:58:15.5	618
01/10/01 22:58:49.5	619
01/10/01 22:58:50.0	620
01/10/01 22:59:23.5	621
01/10/01 22:59:24.0	622
01/10/01 22:59:56.5	623
01/10/01 23:00:36.0	624
01/10/01 23:01:30.5	625
01/10/01 23:10:04.0	626
01/11/01 00:54:42.0	627
01/11/01 03:20:16.0	628
01/11/01 03:34:59.0	629
01/11/01 06:41:07.0	630
01/11/01 06:43:11.0	631
01/11/01 06:48:29.0	632
01/11/01 10:15:39.0	633
01/11/01 10:21:27.5	634
01/11/01 10:26:00.0	635
01/11/01 10:35:57.5	636
01/11/01 10:42:44.0	637
01/11/01 10:51:15.0	638
01/11/01 10:51:15.5	639
01/11/01 10:56:07.0	640
01/11/01 11:00:33.0	641
01/11/01 11:03:22.5	642
01/11/01 11:07:04.0	643
01/11/01 11:09:19.5	644
01/11/01 11:11:28.0	645
01/11/01 11:13:35.5	646
01/11/01 11:15:45.0	647
01/11/01 11:17:41.0	648
01/11/01 11:19:35.0	649
01/11/01 11:21:19.5	650
01/11/01 11:23:22.0	651
01/11/01 11:25:54.0	652
01/11/01 11:27:43.5	653
01/11/01 11:30:47.5	654
01/11/01 11:34:13.0	655
01/11/01 11:36:42.5	656
01/11/01 11:38:55.5	657
01/11/01 11:41:51.0	658
01/11/01 11:45:56.5	659
01/11/01 11:49:29.5	660
01/11/01 11:54:23.5	661
01/11/01 12:00:26.0	662
01/11/01 12:22:07.0	663
01/11/01 12:28:15.0	664
01/11/01 12:32:23.0	665
01/11/01 12:32:23.5	666
01/11/01 12:47:24.0	667
01/11/01 12:58:41.5	668
01/11/01 13:00:34.0	669
01/11/01 13:05:29.0	670
01/11/01 13:16:53.5	671
01/11/01 13:23:21.0	672
01/11/01 13:25:42.0	673
01/11/01 13:25:42.5	674
01/11/01 13:37:18.5	675
01/11/01 13:37:19.0	676
01/11/01 13:42:47.5	677
01/11/01 13:54:34.0	678
01/11/01 13:54:34.5	679
01/11/01 14:10:35.5	680
01/11/01 14:14:52.5	681
01/11/01 14:17:32.5	682
01/11/01 14:19:28.0	683
01/11/01 14:21:17.0	684
01/11/01 14:21:17.5	685
01/11/01 14:25:05.0	686
01/11/01 14:39:22.0	687
01/11/01 14:43:58.5	688
01/11/01 14:43:59.0	689
01/11/01 14:47:08.5	690
01/11/01 14:50:47.0	691
01/11/01 14:53:46.0	692
01/11/01 14:55:49.0	693
01/11/01 14:59:55.0	694
01/11/01 15:03:41.5	695
01/11/01 15:05:53.5	696
01/11/01 15:07:56.5	697
01/11/01 15:09:51.0	698
01/11/01 15:11:45.5	699
01/11/01 15:12:51.0	700
01/11/01 15:14:26.5	701
01/11/01 15:15:57.0	702
01/11/01 15:19:53.0	703
01/11/01 15:19:53.5	704
01/11/01 15:21:40.0	705
01/11/01 15:23:14.5	706
01/11/01 15:24:21.5	707
01/11/01 15:25:59.0	708
01/11/01 15:39:27.0	709
01/11/01 15:45:08.0	710
01/11/01 15:46:26.0	711
01/11/01 15:47:58.0	712
01/11/01 15:51:54.5	713
01/11/01 15:56:06.0	714
01/11/01 15:58:37.5	715
01/11/01 15:59:02.5	716
01/11/01 15:59:29.5	717
01/11/01 16:00:04.5	718
01/11/01 16:00:35.5	719
01/11/01 16:03:01.5	720
01/11/01 16:03:56.0	721
01/11/01 16:04:43.5	722
01/11/01 16:05:02.5	723
01/11/01 16:06:18.5	724
01/11/01 16:09:07.5	725
01/11/01 16:31:49.5	726
01/11/01 16:46:21.5	727
01/11/01 17:02:36.5	728
01/11/01 17:10:44.0	729
01/11/01 17:17:35.5	730
01/11/01 17:18:54.0	731
01/11/01 17:20:40.0	732
01/11/01 17:22:30.0	733
01/11/01 17:41:30.5	734
01/11/01 17:44:34.0	735
01/11/01 17:51:01.5	736
01/11/01 17:59:52.5	737
01/11/01 18:01:50.5	738
01/11/01 18:05:12.0	739
